row_type,model,seed,train_mechanism,eval_mechanism,temperature,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,graph-transformer,17,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,2.455945,32,37,36,0.277778,0.583333,0.051787,1.115814,0.679981,0.116455,4.8,1.0,1.0,1
seed,serialized-token,11,nominal+high_force+edge_shift+catch_heavy,no_catch,0.664058,32,37,36,0.694444,0.666667,0.081902,0.82114,0.484648,0.17719,4.025,1.0,1.0,1
seed,serialized-token,11,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.664058,32,37,36,0.583333,0.583333,0.186389,0.93228,0.565803,0.186977,4.375,1.0,1.0,1
seed,serialized-token,11,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.664058,32,37,36,0.388889,0.555556,0.080772,1.140609,0.700409,0.128086,4.8,1.0,1.0,1
seed,serialized-token,13,nominal+high_force+edge_shift+catch_heavy,no_catch,2.40566,32,37,36,0.305556,0.666667,0.054287,1.097317,0.663811,0.280776,4.025,1.0,1.0,1
seed,serialized-token,13,nominal+high_force+edge_shift+catch_heavy,edge_high_force,2.40566,32,37,36,0.583333,0.583333,0.16744,1.048773,0.628226,0.152818,4.35,1.0,1.0,1
seed,serialized-token,13,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,2.40566,32,37,36,0.277778,0.583333,0.053254,1.138361,0.692486,0.106819,4.825,1.0,1.0,1
seed,serialized-token,17,nominal+high_force+edge_shift+catch_heavy,no_catch,2.444541,32,37,36,0.277778,0.694444,0.042018,1.106255,0.669778,0.263561,4.025,1.0,1.0,1
seed,serialized-token,17,nominal+high_force+edge_shift+catch_heavy,edge_high_force,2.444541,32,37,36,0.555556,0.555556,0.131106,1.035617,0.619767,0.150026,4.4,1.0,1.0,1
seed,serialized-token,17,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,2.444541,32,37,36,0.277778,0.583333,0.041395,1.137603,0.692784,0.115311,4.8,1.0,1.0,1
