row_type,policy,train_mechanism,eval_mechanism,seed,background_objects,total_objects_n,samples,threshold,dense_recompute_rate,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,wpu_gated_t0.40,nominal+high_force+edge_shift+catch_heavy,no_catch,13,32,37,36,0.4,1.0,0.638889,0.777778,0.060511,0.985843,0.589602,0.1996,4.075,1.0,0.0,1
seed,wpu_gated_t0.45,nominal+high_force+edge_shift+catch_heavy,no_catch,13,32,37,36,0.45,1.0,0.638889,0.777778,0.060511,0.985843,0.589602,0.1996,4.075,1.0,0.0,1
seed,wpu_gated_t0.50,nominal+high_force+edge_shift+catch_heavy,no_catch,13,32,37,36,0.5,1.0,0.638889,0.777778,0.060511,0.985843,0.589602,0.1996,4.075,1.0,0.0,1
seed,wpu_gated_t0.55,nominal+high_force+edge_shift+catch_heavy,no_catch,13,32,37,36,0.55,1.0,0.638889,0.777778,0.060511,0.985843,0.589602,0.1996,4.075,1.0,0.0,1
seed,wpu_gated_t0.60,nominal+high_force+edge_shift+catch_heavy,no_catch,13,32,37,36,0.6,1.0,0.638889,0.777778,0.060511,0.985843,0.589602,0.1996,4.075,1.0,0.0,1
seed,wpu_gated_t0.65,nominal+high_force+edge_shift+catch_heavy,no_catch,13,32,37,36,0.65,1.0,0.638889,0.777778,0.060511,0.985843,0.589602,0.1996,4.075,1.0,0.0,1
seed,wpu_sparse,nominal+high_force+edge_shift+catch_heavy,edge_high_force,13,32,37,36,-1.0,0.0,0.305556,0.638889,0.961724,1.124056,0.683313,0.040086,4.425,1.0,0.0,1
seed,wpu_local_dense,nominal+high_force+edge_shift+catch_heavy,edge_high_force,13,32,37,36,-1.0,1.0,0.638889,0.638889,0.995855,1.006201,0.590887,0.167165,4.425,1.0,1.0,1
seed,wpu_gated_t0.34,nominal+high_force+edge_shift+catch_heavy,edge_high_force,13,32,37,36,0.34,0.0,0.305556,0.638889,0.961724,1.124056,0.683313,0.040086,4.425,1.0,0.0,1
seed,wpu_gated_t0.40,nominal+high_force+edge_shift+catch_heavy,edge_high_force,13,32,37,36,0.4,1.0,0.638889,0.638889,0.995855,1.006201,0.590887,0.167165,4.425,1.0,0.0,1
seed,wpu_gated_t0.45,nominal+high_force+edge_shift+catch_heavy,edge_high_force,13,32,37,36,0.45,1.0,0.638889,0.638889,0.995855,1.006201,0.590887,0.167165,4.425,1.0,0.0,1
seed,wpu_gated_t0.50,nominal+high_force+edge_shift+catch_heavy,edge_high_force,13,32,37,36,0.5,1.0,0.638889,0.638889,0.995855,1.006201,0.590887,0.167165,4.425,1.0,0.0,1
seed,wpu_gated_t0.55,nominal+high_force+edge_shift+catch_heavy,edge_high_force,13,32,37,36,0.55,1.0,0.638889,0.638889,0.995855,1.006201,0.590887,0.167165,4.425,1.0,0.0,1
seed,wpu_gated_t0.60,nominal+high_force+edge_shift+catch_heavy,edge_high_force,13,32,37,36,0.6,1.0,0.638889,0.638889,0.995855,1.006201,0.590887,0.167165,4.425,1.0,0.0,1
seed,wpu_gated_t0.65,nominal+high_force+edge_shift+catch_heavy,edge_high_force,13,32,37,36,0.65,1.0,0.638889,0.638889,0.995855,1.006201,0.590887,0.167165,4.425,1.0,0.0,1
seed,wpu_sparse,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,13,32,37,36,-1.0,0.0,0.472222,0.694444,0.082963,1.086506,0.658749,0.123634,4.825,1.0,0.0,1
seed,wpu_local_dense,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,13,32,37,36,-1.0,1.0,0.416667,0.694444,0.09569,1.198361,0.723536,0.111191,4.825,1.0,1.0,1
seed,wpu_gated_t0.34,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,13,32,37,36,0.34,0.0,0.472222,0.694444,0.082963,1.086506,0.658749,0.123634,4.825,1.0,0.0,1
seed,wpu_gated_t0.40,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,13,32,37,36,0.4,1.0,0.416667,0.694444,0.09569,1.198361,0.723536,0.111191,4.825,1.0,0.0,1
seed,wpu_gated_t0.45,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,13,32,37,36,0.45,1.0,0.416667,0.694444,0.09569,1.198361,0.723536,0.111191,4.825,1.0,0.0,1
seed,wpu_gated_t0.50,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,13,32,37,36,0.5,1.0,0.416667,0.694444,0.09569,1.198361,0.723536,0.111191,4.825,1.0,0.0,1
seed,wpu_gated_t0.55,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,13,32,37,36,0.55,1.0,0.416667,0.694444,0.09569,1.198361,0.723536,0.111191,4.825,1.0,0.0,1
seed,wpu_gated_t0.60,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,13,32,37,36,0.6,1.0,0.416667,0.694444,0.09569,1.198361,0.723536,0.111191,4.825,1.0,0.0,1
seed,wpu_gated_t0.65,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,13,32,37,36,0.65,1.0,0.416667,0.694444,0.09569,1.198361,0.723536,0.111191,4.825,1.0,0.0,1
seed,wpu_sparse,nominal+high_force+edge_shift+catch_heavy,no_catch,17,32,37,36,-1.0,0.0,0.833333,0.75,0.043553,0.9817,0.585912,0.452041,4.05,1.0,0.0,1
seed,wpu_local_dense,nominal+high_force+edge_shift+catch_heavy,no_catch,17,32,37,36,-1.0,1.0,0.694444,0.75,0.067166,0.943469,0.560408,0.285866,4.05,1.0,1.0,1
seed,wpu_gated_t0.34,nominal+high_force+edge_shift+catch_heavy,no_catch,17,32,37,36,0.34,0.0,0.833333,0.75,0.043553,0.9817,0.585912,0.452041,4.05,1.0,0.0,1
seed,wpu_gated_t0.40,nominal+high_force+edge_shift+catch_heavy,no_catch,17,32,37,36,0.4,0.694444,0.694444,0.75,0.055454,0.962614,0.574031,0.294067,4.05,1.0,0.0,1
seed,wpu_gated_t0.45,nominal+high_force+edge_shift+catch_heavy,no_catch,17,32,37,36,0.45,1.0,0.694444,0.75,0.067166,0.943469,0.560408,0.285866,4.05,1.0,0.0,1
seed,wpu_gated_t0.50,nominal+high_force+edge_shift+catch_heavy,no_catch,17,32,37,36,0.5,1.0,0.694444,0.75,0.067166,0.943469,0.560408,0.285866,4.05,1.0,0.0,1
seed,wpu_gated_t0.55,nominal+high_force+edge_shift+catch_heavy,no_catch,17,32,37,36,0.55,1.0,0.694444,0.75,0.067166,0.943469,0.560408,0.285866,4.05,1.0,0.0,1
seed,wpu_gated_t0.60,nominal+high_force+edge_shift+catch_heavy,no_catch,17,32,37,36,0.6,1.0,0.694444,0.75,0.067166,0.943469,0.560408,0.285866,4.05,1.0,0.0,1
seed,wpu_gated_t0.65,nominal+high_force+edge_shift+catch_heavy,no_catch,17,32,37,36,0.65,1.0,0.694444,0.75,0.067166,0.943469,0.560408,0.285866,4.05,1.0,0.0,1
seed,wpu_sparse,nominal+high_force+edge_shift+catch_heavy,edge_high_force,17,32,37,36,-1.0,0.0,0.444444,0.638889,1.105954,1.07541,0.651138,0.077191,4.45,1.0,0.0,1
seed,wpu_local_dense,nominal+high_force+edge_shift+catch_heavy,edge_high_force,17,32,37,36,-1.0,1.0,0.583333,0.638889,1.002009,0.983144,0.592014,0.152779,4.45,1.0,1.0,1
seed,wpu_gated_t0.34,nominal+high_force+edge_shift+catch_heavy,edge_high_force,17,32,37,36,0.34,0.0,0.444444,0.638889,1.105954,1.07541,0.651138,0.077191,4.45,1.0,0.0,1
seed,wpu_gated_t0.40,nominal+high_force+edge_shift+catch_heavy,edge_high_force,17,32,37,36,0.4,1.0,0.583333,0.638889,1.002009,0.983144,0.592014,0.152779,4.45,1.0,0.0,1
seed,wpu_gated_t0.45,nominal+high_force+edge_shift+catch_heavy,edge_high_force,17,32,37,36,0.45,1.0,0.583333,0.638889,1.002009,0.983144,0.592014,0.152779,4.45,1.0,0.0,1
seed,wpu_gated_t0.50,nominal+high_force+edge_shift+catch_heavy,edge_high_force,17,32,37,36,0.5,1.0,0.583333,0.638889,1.002009,0.983144,0.592014,0.152779,4.45,1.0,0.0,1
seed,wpu_gated_t0.55,nominal+high_force+edge_shift+catch_heavy,edge_high_force,17,32,37,36,0.55,1.0,0.583333,0.638889,1.002009,0.983144,0.592014,0.152779,4.45,1.0,0.0,1
seed,wpu_gated_t0.60,nominal+high_force+edge_shift+catch_heavy,edge_high_force,17,32,37,36,0.6,1.0,0.583333,0.638889,1.002009,0.983144,0.592014,0.152779,4.45,1.0,0.0,1
seed,wpu_gated_t0.65,nominal+high_force+edge_shift+catch_heavy,edge_high_force,17,32,37,36,0.65,1.0,0.583333,0.638889,1.002009,0.983144,0.592014,0.152779,4.45,1.0,0.0,1
seed,wpu_sparse,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,17,32,37,36,-1.0,0.0,0.472222,0.638889,0.137791,1.072108,0.648925,0.177363,4.825,1.0,0.0,1
seed,wpu_local_dense,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,17,32,37,36,-1.0,1.0,0.416667,0.638889,0.149955,1.080267,0.656416,0.186103,4.825,1.0,1.0,1
seed,wpu_gated_t0.34,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,17,32,37,36,0.34,0.0,0.472222,0.638889,0.137791,1.072108,0.648925,0.177363,4.825,1.0,0.0,1
seed,wpu_gated_t0.40,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,17,32,37,36,0.4,0.694444,0.416667,0.638889,0.144658,1.06115,0.645102,0.1774,4.825,1.0,0.0,1
seed,wpu_gated_t0.45,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,17,32,37,36,0.45,1.0,0.416667,0.638889,0.149955,1.080267,0.656416,0.186103,4.825,1.0,0.0,1
seed,wpu_gated_t0.50,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,17,32,37,36,0.5,1.0,0.416667,0.638889,0.149955,1.080267,0.656416,0.186103,4.825,1.0,0.0,1
seed,wpu_gated_t0.55,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,17,32,37,36,0.55,1.0,0.416667,0.638889,0.149955,1.080267,0.656416,0.186103,4.825,1.0,0.0,1
seed,wpu_gated_t0.60,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,17,32,37,36,0.6,1.0,0.416667,0.638889,0.149955,1.080267,0.656416,0.186103,4.825,1.0,0.0,1
seed,wpu_gated_t0.65,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,17,32,37,36,0.65,1.0,0.416667,0.638889,0.149955,1.080267,0.656416,0.186103,4.825,1.0,0.0,1
seed,wpu_sparse,nominal+high_force+edge_shift+catch_heavy,no_catch,19,32,37,36,-1.0,0.0,0.527778,0.75,0.049476,1.072622,0.648565,0.165036,4.05,1.0,0.0,1
seed,wpu_local_dense,nominal+high_force+edge_shift+catch_heavy,no_catch,19,32,37,36,-1.0,1.0,0.583333,0.75,0.237427,1.017429,0.609601,0.157921,4.05,1.0,1.0,1
seed,wpu_gated_t0.34,nominal+high_force+edge_shift+catch_heavy,no_catch,19,32,37,36,0.34,0.0,0.527778,0.75,0.049476,1.072622,0.648565,0.165036,4.05,1.0,0.0,1
seed,wpu_gated_t0.40,nominal+high_force+edge_shift+catch_heavy,no_catch,19,32,37,36,0.4,1.0,0.583333,0.75,0.237427,1.017429,0.609601,0.157921,4.05,1.0,0.0,1
seed,wpu_gated_t0.45,nominal+high_force+edge_shift+catch_heavy,no_catch,19,32,37,36,0.45,1.0,0.583333,0.75,0.237427,1.017429,0.609601,0.157921,4.05,1.0,0.0,1
seed,wpu_gated_t0.50,nominal+high_force+edge_shift+catch_heavy,no_catch,19,32,37,36,0.5,1.0,0.583333,0.75,0.237427,1.017429,0.609601,0.157921,4.05,1.0,0.0,1
seed,wpu_gated_t0.55,nominal+high_force+edge_shift+catch_heavy,no_catch,19,32,37,36,0.55,1.0,0.583333,0.75,0.237427,1.017429,0.609601,0.157921,4.05,1.0,0.0,1
seed,wpu_gated_t0.60,nominal+high_force+edge_shift+catch_heavy,no_catch,19,32,37,36,0.6,1.0,0.583333,0.75,0.237427,1.017429,0.609601,0.157921,4.05,1.0,0.0,1
seed,wpu_gated_t0.65,nominal+high_force+edge_shift+catch_heavy,no_catch,19,32,37,36,0.65,1.0,0.583333,0.75,0.237427,1.017429,0.609601,0.157921,4.05,1.0,0.0,1
seed,wpu_sparse,nominal+high_force+edge_shift+catch_heavy,edge_high_force,19,32,37,36,-1.0,0.0,0.611111,0.638889,0.943928,1.085328,0.654873,0.227921,4.425,1.0,0.0,1
seed,wpu_local_dense,nominal+high_force+edge_shift+catch_heavy,edge_high_force,19,32,37,36,-1.0,1.0,0.638889,0.638889,1.082238,1.007357,0.591253,0.156156,4.425,1.0,1.0,1
seed,wpu_gated_t0.34,nominal+high_force+edge_shift+catch_heavy,edge_high_force,19,32,37,36,0.34,0.0,0.611111,0.638889,0.943928,1.085328,0.654873,0.227921,4.425,1.0,0.0,1
seed,wpu_gated_t0.40,nominal+high_force+edge_shift+catch_heavy,edge_high_force,19,32,37,36,0.4,0.777778,0.638889,0.638889,1.043324,1.006958,0.594635,0.167508,4.425,1.0,0.0,1
seed,wpu_gated_t0.45,nominal+high_force+edge_shift+catch_heavy,edge_high_force,19,32,37,36,0.45,1.0,0.638889,0.638889,1.082238,1.007357,0.591253,0.156156,4.425,1.0,0.0,1
seed,wpu_gated_t0.50,nominal+high_force+edge_shift+catch_heavy,edge_high_force,19,32,37,36,0.5,1.0,0.638889,0.638889,1.082238,1.007357,0.591253,0.156156,4.425,1.0,0.0,1
seed,wpu_gated_t0.55,nominal+high_force+edge_shift+catch_heavy,edge_high_force,19,32,37,36,0.55,1.0,0.638889,0.638889,1.082238,1.007357,0.591253,0.156156,4.425,1.0,0.0,1
seed,wpu_gated_t0.60,nominal+high_force+edge_shift+catch_heavy,edge_high_force,19,32,37,36,0.6,1.0,0.638889,0.638889,1.082238,1.007357,0.591253,0.156156,4.425,1.0,0.0,1
seed,wpu_gated_t0.65,nominal+high_force+edge_shift+catch_heavy,edge_high_force,19,32,37,36,0.65,1.0,0.638889,0.638889,1.082238,1.007357,0.591253,0.156156,4.425,1.0,0.0,1
seed,wpu_sparse,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,19,32,37,36,-1.0,0.0,0.277778,0.611111,0.127411,1.159934,0.705903,0.084895,4.825,1.0,0.0,1
seed,wpu_local_dense,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,19,32,37,36,-1.0,1.0,0.25,0.611111,0.308827,1.210448,0.737599,0.170961,4.825,1.0,1.0,1
seed,wpu_gated_t0.34,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,19,32,37,36,0.34,0.0,0.277778,0.611111,0.127411,1.159934,0.705903,0.084895,4.825,1.0,0.0,1
seed,wpu_gated_t0.40,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,19,32,37,36,0.4,1.0,0.25,0.611111,0.308827,1.210448,0.737599,0.170961,4.825,1.0,0.0,1
seed,wpu_gated_t0.45,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,19,32,37,36,0.45,1.0,0.25,0.611111,0.308827,1.210448,0.737599,0.170961,4.825,1.0,0.0,1
seed,wpu_gated_t0.50,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,19,32,37,36,0.5,1.0,0.25,0.611111,0.308827,1.210448,0.737599,0.170961,4.825,1.0,0.0,1
seed,wpu_gated_t0.55,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,19,32,37,36,0.55,1.0,0.25,0.611111,0.308827,1.210448,0.737599,0.170961,4.825,1.0,0.0,1
seed,wpu_gated_t0.60,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,19,32,37,36,0.6,1.0,0.25,0.611111,0.308827,1.210448,0.737599,0.170961,4.825,1.0,0.0,1
seed,wpu_gated_t0.65,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,19,32,37,36,0.65,1.0,0.25,0.611111,0.308827,1.210448,0.737599,0.170961,4.825,1.0,0.0,1
seed,wpu_sparse,nominal+high_force+edge_shift+catch_heavy,no_catch,23,32,37,36,-1.0,0.0,0.166667,0.75,0.049539,1.118864,0.679923,0.183592,4.1,1.0,0.0,1
seed,wpu_local_dense,nominal+high_force+edge_shift+catch_heavy,no_catch,23,32,37,36,-1.0,1.0,0.694444,0.75,0.062255,0.917676,0.543523,0.260799,4.1,1.0,1.0,1
seed,wpu_gated_t0.34,nominal+high_force+edge_shift+catch_heavy,no_catch,23,32,37,36,0.34,0.25,0.388889,0.75,0.06126,1.030335,0.620487,0.19812,4.1,1.0,0.0,1
seed,wpu_gated_t0.40,nominal+high_force+edge_shift+catch_heavy,no_catch,23,32,37,36,0.4,1.0,0.694444,0.75,0.062255,0.917676,0.543523,0.260799,4.1,1.0,0.0,1
seed,wpu_gated_t0.45,nominal+high_force+edge_shift+catch_heavy,no_catch,23,32,37,36,0.45,1.0,0.694444,0.75,0.062255,0.917676,0.543523,0.260799,4.1,1.0,0.0,1
seed,wpu_gated_t0.50,nominal+high_force+edge_shift+catch_heavy,no_catch,23,32,37,36,0.5,1.0,0.694444,0.75,0.062255,0.917676,0.543523,0.260799,4.1,1.0,0.0,1
seed,wpu_gated_t0.55,nominal+high_force+edge_shift+catch_heavy,no_catch,23,32,37,36,0.55,1.0,0.694444,0.75,0.062255,0.917676,0.543523,0.260799,4.1,1.0,0.0,1
seed,wpu_gated_t0.60,nominal+high_force+edge_shift+catch_heavy,no_catch,23,32,37,36,0.6,1.0,0.694444,0.75,0.062255,0.917676,0.543523,0.260799,4.1,1.0,0.0,1
