eval_mechanism,base_best_wpu,adapted_best_wpu,base_best_baseline,adapted_best_baseline,base_wpu_accuracy,adapted_wpu_accuracy,wpu_accuracy_change,base_baseline_accuracy,adapted_baseline_accuracy,baseline_accuracy_change,base_wpu_minus_baseline,adapted_wpu_minus_baseline,wpu_margin_change,base_wpu_ece,adapted_wpu_ece,wpu_ece_change,base_wpu_brier,adapted_wpu_brier,wpu_brier_change
catch_heavy,wpu-cws-indexed-local-dense,wpu-cws-indexed-sparse,serialized-token,serialized-token,0.40873,0.623016,0.214286,0.349206,0.619048,0.269842,0.059524,0.003968,-0.055556,0.264469,0.255381,-0.009088,0.688479,0.567605,-0.120874
edge_shift,wpu-cws-indexed-sparse,wpu-cws-indexed-local-dense,serialized-token,serialized-token,0.527778,0.642857,0.115079,0.571428,0.611111,0.039683,-0.04365,0.031746,0.075396,0.212969,0.189179,-0.02379,0.60769,0.542392,-0.065298
high_force,wpu-cws-indexed-local-dense,wpu-cws-indexed-sparse,serialized-token,graph-transformer,0.43254,0.56746,0.13492,0.460318,0.464286,0.003968,-0.027778,0.103174,0.130952,0.31382,0.180673,-0.133147,0.736105,0.610481,-0.125624
nominal,wpu-cws-indexed-sparse,wpu-cws-indexed-local-dense,serialized-token,graph-transformer,0.444445,0.543651,0.099206,0.5,0.511905,0.011905,-0.055555,0.031746,0.087301,0.118385,0.176275,0.05789,0.628308,0.592941,-0.035367
