causal_k,dense_beneficial,dense_breaks_sparse,dense_correct,dense_fixes_sparse,dense_loss,dense_needed,dense_regret,event_norm,interaction_density,interaction_mode,mean_pair_distance,min_pair_distance,sample_index,seed,sparse_confidence,sparse_correct,sparse_delta_norm,sparse_entropy,sparse_loss,sparse_margin,sparse_uncertainty_mean,target_x,target_y,total_objects_n
8,1,0,1,0,0.45241046,0,-0.2662763,1.59161305,0.16709168,pairwise,0.22585957,0.00984493,24,11,0.48739189,1,0.1465669,1.03429866,0.71868676,0.1717914,0.54841387,0.73800087,0.0,2048
8,0,0,0,0,1.63356936,0,0.44373631,1.64063179,0.1604505,pairwise,0.21375234,0.03895279,25,11,0.3845998,0,0.1356397,1.09279585,1.18983305,0.07347172,0.54485947,0.77793694,0.0,2048
8,0,0,0,0,1.24733305,0,0.19896519,1.92874765,0.12292957,pairwise,0.22393921,0.0639635,26,11,0.48707205,0,0.28170228,1.01304328,1.04836786,0.13656265,0.53210145,0.83096564,0.0,2048
8,1,0,1,0,0.19857256,0,-0.3201378,1.54171395,0.14892189,pairwise,0.22918227,0.0420163,27,11,0.59528774,1,0.2009823,0.93508756,0.51871037,0.32935992,0.5548836,0.94270968,0.0,2048
8,1,0,1,0,0.61707836,0,-0.13337183,1.87601995,0.20078385,pairwise,0.19799757,0.03358149,28,11,0.47215393,1,0.25809526,1.02350974,0.75045019,0.11458737,0.53401047,0.90459734,0.0,2048
8,0,0,0,0,1.06102908,0,0.10858893,1.75693798,0.09669735,pairwise,0.25860006,0.05477577,29,11,0.39936718,0,0.19970936,1.06440997,0.95244014,0.0135687,0.53928524,0.55477577,0.0,2048
8,0,0,0,0,1.80065227,0,0.05093551,1.86239862,0.09686523,pairwise,0.32904816,0.04317313,30,11,0.47031626,0,0.24689713,1.02660525,1.74971676,0.1144557,0.53461111,0.95682687,0.0,2048
8,0,0,1,0,0.8467645,0,0.04494083,1.77873647,0.15641011,pairwise,0.2413651,0.02955092,31,11,0.44851029,1,0.21970257,1.04034734,0.80182368,0.08301452,0.5376339,0.96588236,0.0,2048
8,0,0,0,0,1.20379281,0,0.15983295,1.89059174,0.14550877,pairwise,0.24004947,0.01051962,32,11,0.48023161,0,0.25286424,1.01922762,1.04395986,0.1281738,0.53350228,0.82591373,0.0,2048
8,1,0,1,0,0.30163267,0,-0.27934214,1.56095922,0.18416391,pairwise,0.25873375,0.02064937,33,11,0.55935287,1,0.16737336,0.97418535,0.58097482,0.27764097,0.55139589,0.89646739,0.0,2048
8,1,0,1,0,0.53051609,0,-0.21320504,1.93654335,0.16753769,pairwise,0.23966031,0.03622913,34,11,0.47534183,1,0.26421368,1.02009988,0.74372113,0.11762041,0.53234649,0.62418246,0.0,2048
8,0,1,0,0,1.05223298,0,0.08179581,1.68701732,0.19568454,pairwise,0.21954878,0.01657677,35,11,0.37891737,1,0.1726526,1.09348726,0.97043717,0.05535525,0.54273486,0.53168434,0.0,2048
8,1,0,0,0,1.23376834,1,-0.18834341,1.72733784,0.23549882,pairwise,0.20879041,0.01931173,36,11,0.38316044,0,0.17334688,1.0783838,1.42211175,0.007525,0.54067779,0.51931173,0.0,2048
8,1,0,1,0,0.53852856,0,-0.18753541,1.92861354,0.20924369,pairwise,0.21015678,0.01471391,37,11,0.48380953,1,0.27678537,1.01488984,0.72606397,0.13107049,0.53221422,0.78346205,0.0,2048
