adaptive_delta_bounds,adaptive_delta_max,adaptive_delta_min,background_objects,bounded_delta_max,bounded_delta_position_max,bounded_delta_velocity_max,branch_entropy_mean,branch_flip_rate,branch_loss_weight,completed_training_steps,constraint_violations_per_step,correct_on_violation,corrected_object_fraction,correction_entropy_threshold,correction_rate,correction_raw_delta_threshold,correction_stride,correction_violation_margin,delta_clip,delta_loss_weight,delta_norm_mean,delta_norm_penalty,delta_target_norm_slack,escalation_model,escalation_rate,escalation_success_rate,eval_sim_steps,final_majority_branch_ratio,finite_delta_clamp,grad_clip_norm,horizon,integrity_projection,model,multihorizon_loss_weight,multihorizon_train_steps,nonfinite_gradient_steps,nonfinite_training_steps,raw_delta_norm_mean,rollback_on_violation,rollback_rate,rollout_branch_accuracy,rollout_delta_scale,samples,seed,selected_k_mean,selective_correction,skip_nonfinite_loss,state_validity_penalty,target_delta_loss_weight,target_object_position_mse,target_object_trajectory_mse,target_object_velocity_mse,train_sim_steps,trajectory_mse,trajectory_position_mse,trajectory_velocity_mse,unrolled_branch_loss_weight,unrolled_detach_between_steps,unrolled_train_horizons,unrolled_trajectory_loss_weight,unsafe_delta_reject_norm,unsafe_delta_rejection_rate
False,0.5,0.01,512,0.05,0.0,0.0,1.080518,0.0,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.23742,0.0,0.5,,0.0,0.0,80,0.625,0.0,1.0,5,False,wpu-cws-indexed-mechanism-relation,0.0,,0,0,1.821841,False,0.0,0.625,1.0,16,11,4.375,False,True,0.0,0.0,0.034803,0.045976,0.057149,80,0.000436,0.000426,0.000447,0.05,True,2|4,0.01,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,1.080577,0.041667,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.240206,0.0,0.5,,0.0,0.0,80,0.75,0.0,1.0,10,False,wpu-cws-indexed-mechanism-relation,0.0,,0,0,1.747827,False,0.0,0.625,1.0,16,11,4.375,False,True,0.0,0.0,0.171971,0.200495,0.22902,80,0.001786,0.001772,0.001801,0.05,True,2|4,0.01,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,1.075763,0.044271,1.0,16,0.465,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.241323,0.0,0.5,,0.0,0.0,80,0.6875,0.0,1.0,25,False,wpu-cws-indexed-mechanism-relation,0.0,,0,0,1.601892,False,0.0,0.4375,1.0,16,11,4.375,False,True,0.0,0.0,1.231126,1.245532,1.259937,80,0.01071,0.01057,0.01085,0.05,True,2|4,0.01,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,1.078605,0.0625,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.247069,0.0,0.5,,0.0,0.0,80,0.6875,0.0,1.0,5,False,wpu-cws-indexed-mechanism-relation,0.0,,0,0,1.866627,False,0.0,0.5,1.0,16,13,4.375,False,True,0.0,0.0,14.026268,9.231812,4.437357,80,0.01826,0.027547,0.008972,0.05,True,2|4,0.01,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,1.079945,0.034722,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.24616,0.0,0.5,,0.0,0.0,80,0.75,0.0,1.0,10,False,wpu-cws-indexed-mechanism-relation,0.0,,0,0,1.812571,False,0.0,0.5,1.0,16,13,4.375,False,True,0.0,0.0,120.468222,62.909231,5.350239,80,0.123368,0.234867,0.011869,0.05,True,2|4,0.01,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,1.081183,0.028646,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.242461,0.0,0.5,,0.0,0.0,80,0.625,0.0,1.0,25,False,wpu-cws-indexed-mechanism-relation,0.0,,0,0,1.787267,False,0.0,0.4375,1.0,16,13,4.375,False,True,0.0,0.0,1088.122115,547.634001,7.145887,80,1.069767,2.116084,0.02345,0.05,True,2|4,0.01,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,1.072158,0.015625,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.233182,0.0,0.5,,0.0,0.0,80,0.4375,0.0,1.0,5,False,wpu-cws-indexed-mechanism-relation,0.0,,0,0,1.727656,False,0.0,0.875,1.0,16,17,4.3125,False,True,0.0,0.0,13.516765,8.968568,4.42037,80,0.017711,0.026496,0.008926,0.05,True,2|4,0.01,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,1.073886,0.013889,1.0,16,0.0,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.230534,0.0,0.5,,0.0,0.0,80,0.4375,0.0,1.0,10,False,wpu-cws-indexed-mechanism-relation,0.0,,0,0,1.710262,False,0.0,0.8125,1.0,16,17,4.3125,False,True,0.0,0.0,117.279789,61.285424,5.291059,80,0.119961,0.228273,0.011649,0.05,True,2|4,0.01,0.0,0.0
False,0.5,0.01,512,0.05,0.0,0.0,1.074771,0.018229,1.0,16,0.075,False,0.0,0.0,0.0,0.0,1,0,0.0,0.1,0.227363,0.0,0.5,,0.0,0.0,80,0.625,0.0,1.0,25,False,wpu-cws-indexed-mechanism-relation,0.0,,0,0,1.841114,False,0.0,0.625,1.0,16,17,4.3125,False,True,0.0,0.0,1073.382432,539.608631,5.83483,80,1.051775,2.08531,0.01824,0.05,True,2|4,0.01,0.0,0.0
