row_type,seed,mechanism,policy,samples,candidate_count,relation_precision,relation_recall,mean_selected_k,delta_mse,sign_accuracy,seed_count
seed,41,hidden_inverse_gain_shift,geometry_law,256,8,0.126543,0.320312,2.531250,4.778863,0.972656,1
seed,41,hidden_inverse_gain_shift,type_prior_law,256,8,0.000000,0.000000,0.000000,1.012211,0.527344,1
seed,41,hidden_inverse_gain_shift,history_relation_law,256,8,0.992188,0.992188,1.000000,0.110230,1.000000,1
seed,41,hidden_inverse_gain_shift,oracle_relation_law,256,8,1.000000,1.000000,1.000000,0.110251,1.000000,1
seed,41,hidden_power_shift,no_relation,256,8,0.000000,0.000000,0.000000,0.752148,0.527344,1
seed,41,hidden_power_shift,geometry_law,256,8,0.126543,0.320312,2.531250,5.439928,0.972656,1
seed,41,hidden_power_shift,type_prior_law,256,8,0.000000,0.000000,0.000000,0.752148,0.527344,1
seed,41,hidden_power_shift,history_relation_law,256,8,0.945312,0.945312,1.000000,0.055564,1.000000,1
seed,41,hidden_power_shift,oracle_relation_law,256,8,1.000000,1.000000,1.000000,0.047084,1.000000,1
seed,43,hidden_inverse,no_relation,256,8,0.000000,0.000000,0.000000,0.411185,0.484375,1
seed,43,hidden_inverse,geometry_law,256,8,0.111940,0.292969,2.617188,6.226752,0.984375,1
seed,43,hidden_inverse,type_prior_law,256,8,0.000000,0.000000,0.000000,0.411185,0.484375,1
seed,43,hidden_inverse,history_relation_law,256,8,0.988281,0.988281,1.000000,0.001114,1.000000,1
seed,43,hidden_inverse,oracle_relation_law,256,8,1.000000,1.000000,1.000000,0.000214,1.000000,1
seed,43,hidden_inverse_far,no_relation,256,8,0.000000,0.000000,0.000000,0.008422,0.484375,1
seed,43,hidden_inverse_far,geometry_law,256,8,0.000000,0.000000,0.000000,0.008422,0.484375,1
seed,43,hidden_inverse_far,type_prior_law,256,8,0.000000,0.000000,0.000000,0.008422,0.484375,1
seed,43,hidden_inverse_far,history_relation_law,256,8,0.667969,0.667969,1.000000,0.000772,1.000000,1
seed,43,hidden_inverse_far,oracle_relation_law,256,8,1.000000,1.000000,1.000000,0.000284,1.000000,1
seed,43,hidden_inverse_gain_shift,no_relation,256,8,0.000000,0.000000,0.000000,0.924979,0.484375,1
seed,43,hidden_inverse_gain_shift,geometry_law,256,8,0.111940,0.292969,2.617188,5.266619,0.984375,1
seed,43,hidden_inverse_gain_shift,type_prior_law,256,8,0.000000,0.000000,0.000000,0.924979,0.484375,1
seed,43,hidden_inverse_gain_shift,history_relation_law,256,8,1.000000,1.000000,1.000000,0.103767,1.000000,1
seed,43,hidden_inverse_gain_shift,oracle_relation_law,256,8,1.000000,1.000000,1.000000,0.103767,1.000000,1
seed,43,hidden_power_shift,no_relation,256,8,0.000000,0.000000,0.000000,0.674726,0.484375,1
seed,43,hidden_power_shift,geometry_law,256,8,0.111940,0.292969,2.617188,5.988739,0.984375,1
seed,43,hidden_power_shift,type_prior_law,256,8,0.000000,0.000000,0.000000,0.674726,0.484375,1
seed,43,hidden_power_shift,history_relation_law,256,8,0.960938,0.960938,1.000000,0.049650,1.000000,1
seed,43,hidden_power_shift,oracle_relation_law,256,8,1.000000,1.000000,1.000000,0.043221,1.000000,1
seed,47,hidden_inverse,no_relation,256,8,0.000000,0.000000,0.000000,0.435322,0.496094,1
seed,47,hidden_inverse,geometry_law,256,8,0.123944,0.343750,2.773438,6.122918,0.992188,1
seed,47,hidden_inverse,type_prior_law,256,8,0.000000,0.000000,0.000000,0.435322,0.496094,1
seed,47,hidden_inverse,history_relation_law,256,8,0.980469,0.980469,1.000000,0.001040,1.000000,1
seed,47,hidden_inverse,oracle_relation_law,256,8,1.000000,1.000000,1.000000,0.000256,1.000000,1
