mode,total_n,contamination,missing_membership,horizon,streams,mean_selected_k,max_selected_k,causal_recall,causal_precision,trajectory_mse,state_integrity,false_updates,work_proxy,bytes_proxy
wpu-region-guard,512,32,0.5,25,24,38.208333,40.0,0.776042,0.161703,0.193218,0.840551,32.0,38.208333,1375.5
wpu-selective-region-guard,512,32,0.5,25,24,16.0,16.0,0.786458,0.393229,0.129247,0.889632,9.708333,16.0,576.0
dense-state-copy,512,32,0.5,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,512.0,18432.0
wpu-region-guard,512,128,0.0,25,24,136.0,136.0,1.0,0.058824,0.365083,0.732673,128.0,136.0,4896.0
wpu-selective-region-guard,512,128,0.0,25,24,16.0,16.0,1.0,0.5,0.033901,0.967217,8.0,16.0,576.0
dense-state-copy,512,128,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,512.0,18432.0
wpu-region-guard,512,128,0.25,25,24,135.25,136.0,0.90625,0.053573,0.404293,0.712805,128.0,135.25,4869.0
wpu-selective-region-guard,512,128,0.25,25,24,16.0,16.0,0.895833,0.447917,0.082899,0.925073,8.833333,16.0,576.0
dense-state-copy,512,128,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,512.0,18432.0
wpu-region-guard,512,128,0.5,25,24,134.041667,136.0,0.755208,0.045018,0.47138,0.680753,128.0,134.041667,4825.5
wpu-selective-region-guard,512,128,0.5,25,24,16.0,16.0,0.833333,0.416667,0.113994,0.901342,9.333333,16.0,576.0
dense-state-copy,512,128,0.5,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,512.0,18432.0
wpu-region-guard,2048,0,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,8.0,288.0
wpu-selective-region-guard,2048,0,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,8.0,288.0
dense-state-copy,2048,0,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,2048.0,73728.0
wpu-region-guard,2048,0,0.25,25,24,7.166667,8.0,0.895833,1.0,0.046745,0.958574,0.0,7.166667,258.0
wpu-selective-region-guard,2048,0,0.25,25,24,7.041667,8.0,0.880208,1.0,0.054762,0.950266,0.0,7.041667,253.5
dense-state-copy,2048,0,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,2048.0,73728.0
wpu-region-guard,2048,0,0.5,25,24,5.833333,8.0,0.729167,1.0,0.12053,0.895903,0.0,5.833333,210.0
wpu-selective-region-guard,2048,0,0.5,25,24,6.791667,8.0,0.848958,1.0,0.065741,0.941534,0.0,6.791667,244.5
dense-state-copy,2048,0,0.5,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,2048.0,73728.0
wpu-region-guard,2048,8,0.0,25,24,16.0,16.0,1.0,0.5,0.022794,0.977721,8.0,16.0,576.0
wpu-selective-region-guard,2048,8,0.0,25,24,16.0,16.0,1.0,0.5,0.022294,0.978202,8.0,16.0,576.0
dense-state-copy,2048,8,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,2048.0,73728.0
wpu-region-guard,2048,8,0.25,25,24,14.875,16.0,0.859375,0.459341,0.084923,0.924517,8.0,14.875,535.5
wpu-selective-region-guard,2048,8,0.25,25,24,15.125,16.0,0.890625,0.468803,0.069715,0.937149,8.0,15.125,544.5
dense-state-copy,2048,8,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,2048.0,73728.0
wpu-region-guard,2048,8,0.5,25,24,14.583333,16.0,0.822917,0.447192,0.100174,0.912724,8.0,14.583333,525.0
wpu-selective-region-guard,2048,8,0.5,25,24,14.5,16.0,0.8125,0.446535,0.106979,0.904984,8.0,14.5,522.0
dense-state-copy,2048,8,0.5,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,2048.0,73728.0
wpu-region-guard,2048,32,0.0,25,24,40.0,40.0,1.0,0.2,0.091236,0.916437,32.0,40.0,1440.0
wpu-selective-region-guard,2048,32,0.0,25,24,16.0,16.0,1.0,0.5,0.027055,0.97367,8.0,16.0,576.0
dense-state-copy,2048,32,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,2048.0,73728.0
wpu-region-guard,2048,32,0.25,25,24,39.333333,40.0,0.916667,0.186048,0.126763,0.888991,32.0,39.333333,1416.0
wpu-selective-region-guard,2048,32,0.25,25,24,16.0,16.0,0.880208,0.440104,0.082994,0.926013,8.958333,16.0,576.0
dense-state-copy,2048,32,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,2048.0,73728.0
wpu-region-guard,2048,32,0.5,25,24,38.291667,40.0,0.786458,0.163453,0.18637,0.845682,32.0,38.291667,1378.5
wpu-selective-region-guard,2048,32,0.5,25,24,16.0,16.0,0.786458,0.393229,0.126806,0.890346,9.708333,16.0,576.0
dense-state-copy,2048,32,0.5,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,2048.0,73728.0
wpu-region-guard,2048,128,0.0,25,24,136.0,136.0,1.0,0.058824,0.35977,0.735513,128.0,136.0,4896.0
wpu-selective-region-guard,2048,128,0.0,25,24,16.0,16.0,1.0,0.5,0.033912,0.967206,8.0,16.0,576.0
dense-state-copy,2048,128,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,2048.0,73728.0
wpu-region-guard,2048,128,0.25,25,24,135.0,136.0,0.875,0.051804,0.422457,0.70406,128.0,135.0,4860.0
wpu-selective-region-guard,2048,128,0.25,25,24,16.0,16.0,0.901042,0.450521,0.0793,0.928202,8.791667,16.0,576.0
dense-state-copy,2048,128,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,2048.0,73728.0
wpu-region-guard,2048,128,0.5,25,24,134.25,136.0,0.78125,0.046483,0.459498,0.686684,128.0,134.25,4833.0
wpu-selective-region-guard,2048,128,0.5,25,24,16.0,16.0,0.802083,0.401042,0.127779,0.890389,9.583333,16.0,576.0
dense-state-copy,2048,128,0.5,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,2048.0,73728.0
wpu-region-guard,8192,0,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,8.0,288.0
wpu-selective-region-guard,8192,0,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,8.0,288.0
dense-state-copy,8192,0,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,8192.0,294912.0
wpu-region-guard,8192,0,0.25,25,24,7.25,8.0,0.90625,1.0,0.042546,0.961911,0.0,7.25,261.0
wpu-selective-region-guard,8192,0,0.25,25,24,7.041667,8.0,0.880208,1.0,0.053009,0.951835,0.0,7.041667,253.5
dense-state-copy,8192,0,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,8192.0,294912.0
wpu-region-guard,8192,0,0.5,25,24,6.541667,8.0,0.817708,1.0,0.079969,0.928881,0.0,6.541667,235.5
wpu-selective-region-guard,8192,0,0.5,25,24,6.333333,8.0,0.791667,1.0,0.093938,0.916415,0.0,6.333333,228.0
dense-state-copy,8192,0,0.5,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,8192.0,294912.0
wpu-region-guard,8192,8,0.0,25,24,16.0,16.0,1.0,0.5,0.022719,0.977799,8.0,16.0,576.0
wpu-selective-region-guard,8192,8,0.0,25,24,16.0,16.0,1.0,0.5,0.022712,0.977805,8.0,16.0,576.0
dense-state-copy,8192,8,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,8192.0,294912.0
wpu-region-guard,8192,8,0.25,25,24,15.166667,16.0,0.895833,0.471032,0.069236,0.93694,8.0,15.166667,546.0
wpu-selective-region-guard,8192,8,0.25,25,24,15.083333,16.0,0.885417,0.466819,0.07298,0.934628,8.0,15.083333,543.0
dense-state-copy,8192,8,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,8192.0,294912.0
