both_correct_rate,both_wrong_rate,causal_k,dense_accuracy,dense_break_rate,dense_fix_rate,dense_lower_loss_rate,dense_needed_rate,hidden_dim,interaction_mode,layers,samples,seed,sparse_accuracy,status,total_objects_n,working_set_size
0.366667,0.4,8,0.5,0.1,0.133333,0.444444,0.255556,128,pairwise,1,90,11,0.466667,ok,2048,32
0.4,0.522222,8,0.433333,0.044444,0.033333,0.522222,0.288889,128,pairwise,1,90,13,0.444444,ok,2048,32
0.322222,0.411111,16,0.422222,0.166667,0.1,0.522222,0.333333,128,pairwise,1,90,11,0.488889,ok,2048,32
0.511111,0.322222,16,0.6,0.077778,0.088889,0.777778,0.288889,128,pairwise,1,90,13,0.588889,ok,2048,32
0.211111,0.455556,32,0.311111,0.233333,0.1,0.455556,0.244444,128,pairwise,1,90,11,0.444444,ok,2048,32
0.388889,0.466667,32,0.455556,0.077778,0.066667,0.422222,0.155556,128,pairwise,1,90,13,0.466667,ok,2048,32
