accuracy,budget,causal_k,composition_steps,excess_over_generated_oracle,generated_candidates,heldout_seed,interaction_mode,interaction_retriever_steps,loss,policy,propagation_steps,regret_retriever_steps,seed,selected_hand_rate,selected_obstacles,test_samples,total_objects_n,train_seed_count,validation_samples_per_seed,validation_static_base_mode
0.522222,4,16,600,0.04557,4,13,pairwise,400,0.934674,composition_regret_expected,40,600,13,0.766667,1.855556,90,2048,4,180,proximity
0.533333,4,16,600,0.041026,4,13,pairwise,400,0.93013,composition_regret_count_only,40,600,13,0.511111,2.066667,90,2048,4,180,proximity
0.555556,4,16,600,0.0,4,13,pairwise,400,0.889104,generated_oracle,40,600,13,0.488889,1.766667,90,2048,4,180,proximity
0.5,4,16,600,0.030557,4,17,pairwise,400,0.931978,static_validation_base_choice,40,600,17,1.0,2,90,2048,4,180,learned
0.5,4,16,600,0.030557,4,17,pairwise,400,0.931978,static_learned_interaction,40,600,17,1.0,2,90,2048,4,180,learned
0.511111,4,16,600,0.020156,4,17,pairwise,400,0.921577,composition_regret_argmax,40,600,17,0.577778,1.733333,90,2048,4,180,learned
0.511111,4,16,600,0.024962,4,17,pairwise,400,0.926382,composition_regret_expected,40,600,17,0.755556,1.788889,90,2048,4,180,learned
0.5,4,16,600,0.02376,4,17,pairwise,400,0.925181,composition_regret_count_only,40,600,17,0.411111,1.888889,90,2048,4,180,learned
0.522222,4,16,600,0.0,4,17,pairwise,400,0.901421,generated_oracle,40,600,17,0.666667,1.655556,90,2048,4,180,learned
0.5,4,16,600,0.041492,4,19,pairwise,400,0.971019,static_validation_base_choice,40,600,19,0.288889,2.544444,90,2048,4,180,proximity
0.488889,4,16,600,0.043424,4,19,pairwise,400,0.972951,static_learned_interaction,40,600,19,1.0,2,90,2048,4,180,proximity
0.533333,4,16,600,0.027886,4,19,pairwise,400,0.957413,composition_regret_argmax,40,600,19,0.666667,1.566667,90,2048,4,180,proximity
0.522222,4,16,600,0.032615,4,19,pairwise,400,0.962142,composition_regret_expected,40,600,19,0.766667,1.733333,90,2048,4,180,proximity
0.566667,4,16,600,0.024909,4,19,pairwise,400,0.954436,composition_regret_count_only,40,600,19,0.533333,1.7,90,2048,4,180,proximity
0.611111,4,16,600,0.0,4,19,pairwise,400,0.929527,generated_oracle,40,600,19,0.611111,1.611111,90,2048,4,180,proximity
0.522222,4,16,600,0.094408,4,23,pairwise,400,0.969598,static_validation_base_choice,40,600,23,1.0,0,90,2048,4,180,indexed
0.511111,4,16,600,0.133146,4,23,pairwise,400,1.008336,static_learned_interaction,40,600,23,1.0,2,90,2048,4,180,indexed
0.588889,4,16,600,0.114352,4,23,pairwise,400,0.989542,composition_regret_argmax,40,600,23,0.711111,1.777778,90,2048,4,180,indexed
0.6,4,16,600,0.115564,4,23,pairwise,400,0.990754,composition_regret_expected,40,600,23,0.866667,1.677778,90,2048,4,180,indexed
0.566667,4,16,600,0.116346,4,23,pairwise,400,0.991536,composition_regret_count_only,40,600,23,0.633333,1.844444,90,2048,4,180,indexed
0.666667,4,16,600,0.0,4,23,pairwise,400,0.87519,generated_oracle,40,600,23,0.488889,1.777778,90,2048,4,180,indexed
0.466667,4,32,600,0.034608,4,11,pairwise,400,1.025025,static_validation_base_choice,40,600,11,1.0,0,90,2048,4,180,indexed
0.466667,4,32,600,0.034137,4,11,pairwise,400,1.024553,static_learned_interaction,40,600,11,1.0,2,90,2048,4,180,indexed
0.455556,4,32,600,0.032312,4,11,pairwise,400,1.022729,composition_regret_argmax,40,600,11,0.711111,1.344444,90,2048,4,180,indexed
0.488889,4,32,600,0.031424,4,11,pairwise,400,1.02184,composition_regret_expected,40,600,11,0.844444,1.666667,90,2048,4,180,indexed
0.455556,4,32,600,0.035236,4,11,pairwise,400,1.025652,composition_regret_count_only,40,600,11,0.611111,1.444444,90,2048,4,180,indexed
0.522222,4,32,600,0.0,4,11,pairwise,400,0.990416,generated_oracle,40,600,11,0.533333,1.822222,90,2048,4,180,indexed
0.5,4,32,600,0.032921,4,13,pairwise,400,0.990135,static_validation_base_choice,40,600,13,1.0,0,90,2048,4,180,indexed
0.466667,4,32,600,0.031937,4,13,pairwise,400,0.989151,static_learned_interaction,40,600,13,1.0,2,90,2048,4,180,indexed
0.488889,4,32,600,0.029587,4,13,pairwise,400,0.986801,composition_regret_argmax,40,600,13,0.766667,1.322222,90,2048,4,180,indexed
0.488889,4,32,600,0.031932,4,13,pairwise,400,0.989146,composition_regret_expected,40,600,13,0.9,1.677778,90,2048,4,180,indexed
