model,selected_by,test_seed,compute_cost,samples,target_mean,prediction_mean,regret_mse,regret_mae,regret_r2,regret_pearson,dense_rate,oracle_dense_rate,policy_loss,sparse_loss,dense_loss,oracle_loss,policy_delta_vs_sparse,policy_excess_over_oracle,policy_accuracy,sparse_accuracy,dense_accuracy,oracle_accuracy
state_route_no_gate,none,17,0.05,270,0.013913,0.004753,0.065941,0.180632,0.223011,0.474895,0.333333,0.577778,0.98609,0.996715,1.060629,0.931785,-0.010626,0.054305,0.5,0.488889,0.47037,0.574074
loso_diagnostic_gate,sparse_entropy:le:1.074601,17,0.05,270,0.013913,0.004753,0.065941,0.180632,0.223011,0.474895,0.303704,0.577778,0.98652,0.996715,1.060629,0.931785,-0.010196,0.054735,0.503704,0.488889,0.47037,0.574074
test_oracle_diagnostic_gate,sparse_margin:ge:0.145092,17,0.05,270,0.013913,0.004753,0.065941,0.180632,0.223011,0.474895,0.214815,0.577778,0.978394,0.996715,1.060629,0.931785,-0.018321,0.046609,0.488889,0.488889,0.47037,0.574074
state_route_no_gate,none,17,0.1,270,0.013913,0.004753,0.065941,0.180632,0.223011,0.474895,0.248148,0.418519,0.994687,0.996715,1.110629,0.957319,-0.002028,0.037368,0.496296,0.488889,0.47037,0.574074
loso_diagnostic_gate,interaction_density:le:0.224249,17,0.1,270,0.013913,0.004753,0.065941,0.180632,0.223011,0.474895,0.218519,0.418519,0.997651,0.996715,1.110629,0.957319,0.000935,0.040332,0.496296,0.488889,0.47037,0.574074
test_oracle_diagnostic_gate,regret_abs:ge:0.134316,17,0.1,270,0.013913,0.004753,0.065941,0.180632,0.223011,0.474895,0.077778,0.418519,0.98389,0.996715,1.110629,0.957319,-0.012826,0.026571,0.488889,0.488889,0.47037,0.574074
state_route_no_gate,none,19,0.02,270,0.028698,0.007292,0.081356,0.214024,0.1523,0.396351,0.359259,0.562963,0.954812,0.981818,1.030516,0.895275,-0.027006,0.059536,0.477778,0.474074,0.485185,0.544444
loso_diagnostic_gate,sparse_confidence:ge:0.369017,19,0.02,270,0.028698,0.007292,0.081356,0.214024,0.1523,0.396351,0.359259,0.562963,0.954812,0.981818,1.030516,0.895275,-0.027006,0.059536,0.477778,0.474074,0.485185,0.544444
test_oracle_diagnostic_gate,selector_confidence:ge:0.543696,19,0.02,270,0.028698,0.007292,0.081356,0.214024,0.1523,0.396351,0.281481,0.562963,0.951606,0.981818,1.030516,0.895275,-0.030212,0.056331,0.481481,0.474074,0.485185,0.544444
state_route_no_gate,none,19,0.05,270,0.028698,0.007292,0.081356,0.214024,0.1523,0.396351,0.281481,0.522222,0.966172,0.981818,1.060516,0.911589,-0.015646,0.054584,0.477778,0.474074,0.485185,0.544444
loso_diagnostic_gate,sparse_confidence:ge:0.388402,19,0.05,270,0.028698,0.007292,0.081356,0.214024,0.1523,0.396351,0.274074,0.522222,0.967281,0.981818,1.060516,0.911589,-0.014537,0.055693,0.477778,0.474074,0.485185,0.544444
test_oracle_diagnostic_gate,selector_confidence:ge:0.543696,19,0.05,270,0.028698,0.007292,0.081356,0.214024,0.1523,0.396351,0.222222,0.522222,0.96073,0.981818,1.060516,0.911589,-0.021088,0.049142,0.481481,0.474074,0.485185,0.544444
state_route_no_gate,none,19,0.1,270,0.028698,0.007292,0.081356,0.214024,0.1523,0.396351,0.166667,0.440741,0.974106,0.981818,1.110516,0.935515,-0.007712,0.038591,0.474074,0.474074,0.485185,0.544444
loso_diagnostic_gate,sparse_confidence:ge:0.466813,19,0.1,270,0.028698,0.007292,0.081356,0.214024,0.1523,0.396351,0.148148,0.440741,0.975085,0.981818,1.110516,0.935515,-0.006733,0.039569,0.474074,0.474074,0.485185,0.544444
test_oracle_diagnostic_gate,selector_confidence:ge:0.568045,19,0.1,270,0.028698,0.007292,0.081356,0.214024,0.1523,0.396351,0.111111,0.440741,0.970587,0.981818,1.110516,0.935515,-0.011231,0.035072,0.474074,0.474074,0.485185,0.544444
state_route_no_gate,none,23,0.02,270,-0.012558,0.005809,0.030063,0.140001,-0.089392,0.31517,0.418519,0.474074,0.973939,0.99311,1.000552,0.933091,-0.01917,0.040848,0.477778,0.496296,0.47037,0.525926
loso_diagnostic_gate,sparse_delta_norm:ge:0.193794,23,0.02,270,-0.012558,0.005809,0.030063,0.140001,-0.089392,0.31517,0.166667,0.474074,0.981166,0.99311,1.000552,0.933091,-0.011944,0.048075,0.492593,0.496296,0.47037,0.525926
test_oracle_diagnostic_gate,sparse_entropy:le:1.076253,23,0.02,270,-0.012558,0.005809,0.030063,0.140001,-0.089392,0.31517,0.277778,0.474074,0.967252,0.99311,1.000552,0.933091,-0.025858,0.034161,0.496296,0.496296,0.47037,0.525926
state_route_no_gate,none,23,0.05,270,-0.012558,0.005809,0.030063,0.140001,-0.089392,0.31517,0.314815,0.411111,0.977902,0.99311,1.030552,0.946534,-0.015208,0.031368,0.488889,0.496296,0.47037,0.525926
loso_diagnostic_gate,sparse_delta_norm:ge:0.193794,23,0.05,270,-0.012558,0.005809,0.030063,0.140001,-0.089392,0.31517,0.140741,0.411111,0.986842,0.99311,1.030552,0.946534,-0.006268,0.040308,0.496296,0.496296,0.47037,0.525926
test_oracle_diagnostic_gate,regret_abs:ge:0.041361,23,0.05,270,-0.012558,0.005809,0.030063,0.140001,-0.089392,0.31517,0.196296,0.411111,0.97193,0.99311,1.030552,0.946534,-0.02118,0.025396,0.492593,0.496296,0.47037,0.525926
state_route_no_gate,none,23,0.1,270,-0.012558,0.005809,0.030063,0.140001,-0.089392,0.31517,0.2,0.285185,0.989264,0.99311,1.080552,0.963999,-0.003845,0.025266,0.496296,0.496296,0.47037,0.525926
loso_diagnostic_gate,sparse_delta_norm:ge:0.193794,23,0.1,270,-0.012558,0.005809,0.030063,0.140001,-0.089392,0.31517,0.085185,0.285185,0.991848,0.99311,1.080552,0.963999,-0.001262,0.027849,0.496296,0.496296,0.47037,0.525926
test_oracle_diagnostic_gate,sparse_confidence:ge:0.460227,23,0.1,270,-0.012558,0.005809,0.030063,0.140001,-0.089392,0.31517,0.159259,0.285185,0.982627,0.99311,1.080552,0.963999,-0.010482,0.018629,0.496296,0.496296,0.47037,0.525926
