accuracy,base_oracle_loss,base_oracle_match_rate,budget,causal_k,context_ablation,excess_over_base_oracle,excess_over_generated_oracle,generated_candidates,generated_oracle_accuracy,generated_oracle_loss,generated_oracle_match_rate,heldout_seed,interaction_mode,loss,normalized_utility_weight,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,static_generated_mode_from_train_seeds,static_mode_from_train_seeds,test_samples,total_objects_n,train_reranker_loss,train_seed_count,train_static_loss,validation_samples_per_seed
0.444444,0.968257,0.277778,4,8,no_identity_no_type,0.030507,0.034119,4,0.522222,0.964645,0.3,13,pairwise,0.998764,0.05,normalized_cross_seed_generated_reranker,40,600,400,0.005,,13,0.044444,0.144444,0.044444,0.011111,0.244444,0.555556,0.044444,0.022222,0.133333,generated_2,interaction,90,2048,0.953613,4,0.979951,180
0.444444,0.968257,0.277778,4,8,no_identity_no_type,0.030507,0.034119,4,0.522222,0.964645,0.3,13,pairwise,0.998764,0.05,normalized_cross_seed_margin_safe_reranker,40,600,400,0.005,1,13,0.044444,0.144444,0.044444,0.011111,0.244444,0.555556,0.044444,0.022222,0.133333,generated_2,interaction,90,2048,0.953613,4,0.979951,180
0.511111,0.968257,1.0,4,8,no_identity_no_type,0.0,0.003612,4,0.522222,0.964645,0.622222,13,pairwise,0.968257,0.05,base_oracle,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,0.522222,0.2,0.011111,0.266667,generated_2,interaction,90,2048,0.953613,4,0.979951,180
0.522222,0.968257,0.622222,4,8,no_identity_no_type,-0.003612,0.0,4,0.522222,0.964645,1.0,13,pairwise,0.964645,0.05,generated_oracle,40,600,400,0.005,,13,0.033333,0.322222,0.0,0.022222,0.377778,0.511111,0.011111,0.0,0.1,generated_2,interaction,90,2048,0.953613,4,0.979951,180
0.466667,0.962886,0.355556,4,8,no_identity_keep_type,0.019307,0.02494,4,0.511111,0.957253,0.288889,17,pairwise,0.982193,0.05,normalized_cross_seed_static_base_choice,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,indexed,indexed,90,2048,0.957507,4,0.986334,180
0.466667,0.962886,0.355556,4,8,no_identity_keep_type,0.019307,0.02494,4,0.511111,0.957253,0.288889,17,pairwise,0.982193,0.05,normalized_cross_seed_static_generated_choice,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,indexed,indexed,90,2048,0.957507,4,0.986334,180
0.466667,0.962886,0.233333,4,8,no_identity_keep_type,0.019587,0.02522,4,0.511111,0.957253,0.233333,17,pairwise,0.982473,0.05,normalized_cross_seed_generated_reranker,40,600,400,0.005,,17,0.044444,0.211111,0.011111,0.011111,0.277778,0.577778,0.0,0.0,0.144444,indexed,indexed,90,2048,0.957507,4,0.986334,180
0.466667,0.962886,0.233333,4,8,no_identity_keep_type,0.019587,0.02522,4,0.511111,0.957253,0.233333,17,pairwise,0.982473,0.05,normalized_cross_seed_margin_safe_reranker,40,600,400,0.005,1,17,0.044444,0.211111,0.011111,0.011111,0.277778,0.577778,0.0,0.0,0.144444,indexed,indexed,90,2048,0.957507,4,0.986334,180
0.511111,0.962886,1.0,4,8,no_identity_keep_type,0.0,0.005633,4,0.511111,0.957253,0.411111,17,pairwise,0.962886,0.05,base_oracle,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,0.355556,0.355556,0.022222,0.266667,indexed,indexed,90,2048,0.957507,4,0.986334,180
0.511111,0.962886,0.411111,4,8,no_identity_keep_type,-0.005633,0.0,4,0.511111,0.957253,1.0,17,pairwise,0.957253,0.05,generated_oracle,40,600,400,0.005,,17,0.088889,0.233333,0.111111,0.155556,0.588889,0.288889,0.033333,0.011111,0.077778,indexed,indexed,90,2048,0.957507,4,0.986334,180
