model,test_seed,threshold,samples,feature_count,label_rate,predicted_dense_rate,accuracy,balanced_accuracy,precision,recall,f1,score_mean,roc_auc,average_precision,brier_score,ece
mlp_state,13,0.5,270,7,0.259259,0.281481,0.651852,0.560714,0.342105,0.371429,0.356164,0.291732,0.579,0.355037,0.262903,0.252523
mlp_state_cal_balanced_accuracy,13,0.5,270,7,0.259259,0.281481,0.651852,0.560714,0.342105,0.371429,0.356164,0.291732,0.579,0.355037,0.262903,0.252523
mlp_state_cal_f1,13,0.5,270,7,0.259259,0.281481,0.651852,0.560714,0.342105,0.371429,0.356164,0.291732,0.579,0.355037,0.262903,0.252523
interaction_density,13,0.05,270,1,0.259259,1.0,0.259259,0.5,0.259259,1.0,0.411765,0.182385,0.463143,0.24054,0.199733,0.095679
interaction_density,13,0.1,270,1,0.259259,0.992593,0.266667,0.505,0.261194,1.0,0.414201,0.182385,0.463143,0.24054,0.199733,0.095679
interaction_density,13,0.15,270,1,0.259259,0.82963,0.355556,0.518571,0.267857,0.857143,0.408163,0.182385,0.463143,0.24054,0.199733,0.095679
interaction_density,13,0.2,270,1,0.259259,0.307407,0.551852,0.446786,0.192771,0.228571,0.20915,0.182385,0.463143,0.24054,0.199733,0.095679
interaction_density,13,0.3,270,1,0.259259,0.003704,0.737037,0.4975,0.0,0.0,0.0,0.182385,0.463143,0.24054,0.199733,0.095679
interaction_density_cal_balanced_accuracy,13,0.1,270,1,0.259259,0.992593,0.266667,0.505,0.261194,1.0,0.414201,0.182385,0.463143,0.24054,0.199733,0.095679
interaction_density_cal_f1,13,0.1,270,1,0.259259,0.992593,0.266667,0.505,0.261194,1.0,0.414201,0.182385,0.463143,0.24054,0.199733,0.095679
mlp_sparse_diagnostics,13,0.02,270,12,0.259259,0.0,0.740741,0.5,0.0,0.0,0.0,0.0,0.558214,0.327328,0.259259,0.259259
mlp_sparse_diagnostics,13,0.05,270,12,0.259259,0.0,0.740741,0.5,0.0,0.0,0.0,0.0,0.558214,0.327328,0.259259,0.259259
mlp_sparse_diagnostics,13,0.1,270,12,0.259259,0.0,0.740741,0.5,0.0,0.0,0.0,0.0,0.558214,0.327328,0.259259,0.259259
mlp_sparse_diagnostics,13,0.15,270,12,0.259259,0.0,0.740741,0.5,0.0,0.0,0.0,0.0,0.558214,0.327328,0.259259,0.259259
mlp_sparse_diagnostics,13,0.2,270,12,0.259259,0.0,0.740741,0.5,0.0,0.0,0.0,0.0,0.558214,0.327328,0.259259,0.259259
mlp_sparse_diagnostics,13,0.3,270,12,0.259259,0.0,0.740741,0.5,0.0,0.0,0.0,0.0,0.558214,0.327328,0.259259,0.259259
mlp_sparse_diagnostics,13,0.4,270,12,0.259259,0.0,0.740741,0.5,0.0,0.0,0.0,0.0,0.558214,0.327328,0.259259,0.259259
mlp_sparse_diagnostics,13,0.5,270,12,0.259259,0.0,0.740741,0.5,0.0,0.0,0.0,0.0,0.558214,0.327328,0.259259,0.259259
mlp_sparse_diagnostics_cal_balanced_accuracy,13,0.5,270,12,0.259259,0.0,0.740741,0.5,0.0,0.0,0.0,0.0,0.558214,0.327328,0.259259,0.259259
mlp_sparse_diagnostics_cal_f1,13,0.5,270,12,0.259259,0.0,0.740741,0.5,0.0,0.0,0.0,0.0,0.558214,0.327328,0.259259,0.259259
