mode,total_n,escape_rate,dual_omission,horizon,streams,mean_selected_k,max_selected_k,mean_observation_budget,causal_recall,causal_precision,trajectory_mse,state_integrity,observation_hit_rate,observation_cost,objective,work_proxy,bytes_proxy
wpu-neighbor-only,2048,0.5,0.75,25,32,24.0,24.0,0.0,0.585938,0.195313,0.24017,0.809381,0.0,0.0,0.24017,24.0,864.0
wpu-fixed-observation,2048,0.5,0.75,25,32,32.0,32.0,8.0,0.945312,0.236328,0.096693,0.912831,0.96875,8.0,0.216693,32.0,1152.0
wpu-adaptive-observation,2048,0.5,0.75,25,32,31.75,32.0,2.875,0.957031,0.241211,0.091176,0.917064,0.96875,2.875,0.134301,31.75,1143.0
dense-state-copy,2048,0.5,0.75,25,32,8.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,2048,0.75,0.75,25,32,24.0,24.0,0.0,0.378906,0.126302,0.333391,0.75239,0.0,0.0,0.333391,24.0,864.0
wpu-fixed-observation,2048,0.75,0.75,25,32,32.0,32.0,8.0,0.957031,0.239258,0.089306,0.918731,1.0,8.0,0.209306,32.0,1152.0
wpu-adaptive-observation,2048,0.75,0.75,25,32,32.0,32.0,4.625,0.953125,0.238281,0.091703,0.91685,1.0,4.625,0.161078,32.0,1152.0
dense-state-copy,2048,0.75,0.75,25,32,8.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,8192,0.0,0.75,25,32,24.0,24.0,0.0,0.949219,0.316406,0.077931,0.928382,0.0,0.0,0.077931,24.0,864.0
wpu-fixed-observation,8192,0.0,0.75,25,32,32.0,32.0,8.0,0.96875,0.242188,0.086153,0.921581,0.0,8.0,0.206153,32.0,1152.0
wpu-adaptive-observation,8192,0.0,0.75,25,32,24.0,24.0,0.0,0.9375,0.3125,0.082287,0.924887,0.0,0.0,0.082287,24.0,864.0
dense-state-copy,8192,0.0,0.75,25,32,8.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,8192,0.25,0.75,25,32,24.0,24.0,0.0,0.71875,0.239583,0.180867,0.850586,0.0,0.0,0.180867,24.0,864.0
wpu-fixed-observation,8192,0.25,0.75,25,32,32.0,32.0,8.0,0.941406,0.235352,0.096,0.913292,0.75,8.0,0.216,32.0,1152.0
wpu-adaptive-observation,8192,0.25,0.75,25,32,30.25,32.0,1.15625,0.964844,0.258789,0.081944,0.924915,0.78125,1.15625,0.099288,30.25,1089.0
dense-state-copy,8192,0.25,0.75,25,32,8.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,8192,0.5,0.75,25,32,24.0,24.0,0.0,0.601562,0.200521,0.234381,0.814154,0.0,0.0,0.234381,24.0,864.0
wpu-fixed-observation,8192,0.5,0.75,25,32,32.0,32.0,8.0,0.96875,0.242188,0.085721,0.921546,0.96875,8.0,0.205721,32.0,1152.0
wpu-adaptive-observation,8192,0.5,0.75,25,32,31.5,32.0,3.0,0.976562,0.249349,0.080428,0.926097,0.9375,3.0,0.125428,31.5,1134.0
dense-state-copy,8192,0.5,0.75,25,32,8.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,8192,0.75,0.75,25,32,24.0,24.0,0.0,0.4375,0.145833,0.308243,0.767874,0.0,0.0,0.308243,24.0,864.0
wpu-fixed-observation,8192,0.75,0.75,25,32,32.0,32.0,8.0,0.976562,0.244141,0.07962,0.926734,1.0,8.0,0.19962,32.0,1152.0
wpu-adaptive-observation,8192,0.75,0.75,25,32,32.0,32.0,4.3125,0.980469,0.245117,0.079298,0.926965,1.0,4.3125,0.143985,32.0,1152.0
dense-state-copy,8192,0.75,0.75,25,32,8.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
