background_objects,branch_entropy_mean,branch_flip_rate,constraint_violations_per_step,correct_on_violation,corrected_object_fraction,correction_entropy_threshold,correction_rate,correction_raw_delta_threshold,correction_stride,correction_violation_margin,delta_clip,delta_norm_mean,delta_norm_penalty,delta_target_norm_slack,escalation_model,escalation_rate,escalation_success_rate,final_majority_branch_ratio,finite_delta_clamp,horizon,integrity_projection,model,raw_delta_norm_mean,rollback_on_violation,rollback_rate,samples,seed,selected_k_mean,selective_correction,state_validity_penalty,unsafe_delta_reject_norm,unsafe_delta_rejection_rate
512,0.872592,0.078125,0.775,False,0.0,0.0,0.0,0.0,1,0,0.0,1.79176,0.0,0.5,,0.0,0.0,0.625,0.0,5,False,wpu-cws-indexed-mechanism-relation,2.337798,False,0.0,16,11,4.375,False,0.2,0.0,0.0
512,0.705632,0.076389,0.6125,False,0.0,0.0,0.0,0.0,1,0,0.0,3.721401,0.0,0.5,,0.0,0.0,1.0,0.0,10,False,wpu-cws-indexed-mechanism-relation,7.265933,False,0.0,16,11,4.375,False,0.2,0.0,0.0
512,0.282254,0.028646,2.795,False,0.0,0.0,0.0,0.0,1,0,0.0,1439775.048072,0.0,0.5,,0.0,0.0,1.0,0.0,25,False,wpu-cws-indexed-mechanism-relation,3977789.323783,False,0.0,16,11,4.375,False,0.2,0.0,0.0
512,0.986867,0.125,0.15,False,0.0,0.0,0.0,0.0,1,0,0.0,1.620755,0.0,0.5,,0.0,0.0,0.5625,0.0,5,False,wpu-cws-indexed-mechanism-relation,2.192465,False,0.0,16,13,4.375,False,0.2,0.0,0.0
512,0.95827,0.173611,0.35,False,0.0,0.0,0.0,0.0,1,0,0.0,5.54523,0.0,0.5,,0.0,0.0,1.0,0.0,10,False,wpu-cws-indexed-mechanism-relation,6.593254,False,0.0,16,13,4.375,False,0.2,0.0,0.0
512,0.386116,0.065104,3.365,False,0.0,0.0,0.0,0.0,1,0,0.0,3306452.676589,0.0,0.5,,0.0,0.0,1.0,0.0,25,False,wpu-cws-indexed-mechanism-relation,3757555.131053,False,0.0,16,13,4.375,False,0.2,0.0,0.0
512,0.929364,0.0625,0.15,False,0.0,0.0,0.0,0.0,1,0,0.0,1.585734,0.0,0.5,,0.0,0.0,0.6875,0.0,5,False,wpu-cws-indexed-mechanism-relation,2.717358,False,0.0,16,17,4.3125,False,0.2,0.0,0.0
512,0.936991,0.083333,0.45625,False,0.0,0.0,0.0,0.0,1,0,0.0,4.389352,0.0,0.5,,0.0,0.0,0.875,0.0,10,False,wpu-cws-indexed-mechanism-relation,7.601835,False,0.0,16,17,4.3125,False,0.2,0.0,0.0
512,0.383339,0.036458,3.37,False,0.0,0.0,0.0,0.0,1,0,0.0,2393560.8546,0.0,0.5,,0.0,0.0,1.0,0.0,25,False,wpu-cws-indexed-mechanism-relation,3903141.217823,False,0.0,16,17,4.3125,False,0.2,0.0,0.0
