run_label,model,horizon,seed_count,constraint_violations_per_step,delta_norm_mean,branch_entropy_mean,branch_flip_rate,selected_k_mean,unsafe_delta_rejection_rate,correction_rate,corrected_object_fraction,rollback_rate,escalation_rate,escalation_success_rate,rollout_branch_accuracy,trajectory_mse,trajectory_position_mse,trajectory_velocity_mse,target_object_trajectory_mse,target_object_position_mse,target_object_velocity_mse,completed_training_steps,nonfinite_training_steps,nonfinite_gradient_steps,state_integrity_score,low_disruption_integrity_score
relation_bounded_delta005_unrolled_h2_4,wpu-cws-indexed-mechanism-relation,25,3,0.18,0.237049,1.077239,0.030382,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.710751,1.403988,0.017513,362.829388,720.911891,4.746885,16.0,0.0,0.0,0.886627,0.886627
relation_bounded_delta01,wpu-cws-indexed-mechanism-relation,5,3,0.0,0.429045,0.796444,0.020833,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.833333,0.013191,0.01911,0.007273,6.289925,0.0,0.0,0.0,0.0,0.0,0.980817,0.980817
relation_bounded_delta01,wpu-cws-indexed-mechanism-relation,10,3,0.179167,0.428478,0.844282,0.025463,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.729167,0.085312,0.15865,0.011974,42.132881,0.0,0.0,0.0,0.0,0.0,0.881369,0.881369
relation_bounded_delta01,wpu-cws-indexed-mechanism-relation,25,3,0.3425,0.437645,0.925896,0.015625,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.708333,0.72066,1.403334,0.037985,360.705327,0.0,0.0,0.0,0.0,0.0,0.793182,0.793182
relation_bounded_delta025,wpu-cws-indexed-mechanism-relation,5,3,0.258333,0.872737,0.82829,0.0625,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.729167,0.017777,0.023401,0.012153,7.271356,0.0,0.0,0.0,0.0,0.0,0.814871,0.814871
relation_bounded_delta025,wpu-cws-indexed-mechanism-relation,10,3,0.377083,0.890806,0.888922,0.048611,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.583333,0.101334,0.172054,0.030614,44.700227,0.0,0.0,0.0,0.0,0.0,0.751704,0.751704
relation_bounded_delta025,wpu-cws-indexed-mechanism-relation,25,3,0.559167,0.967416,0.923231,0.028646,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.458333,0.833795,1.506601,0.160989,374.035886,0.0,0.0,0.0,0.0,0.0,0.65287,0.65287
relation_bounded_delta05,wpu-cws-indexed-mechanism-relation,5,3,0.325,1.30784,0.868377,0.072917,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.024792,0.031339,0.018246,9.061604,0.0,0.0,0.0,0.0,0.0,0.760892,0.760892
relation_bounded_delta05,wpu-cws-indexed-mechanism-relation,10,3,0.441667,1.378109,0.908957,0.067129,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.520833,0.132672,0.205055,0.060289,51.40131,0.0,0.0,0.0,0.0,0.0,0.695424,0.695424
relation_bounded_delta05,wpu-cws-indexed-mechanism-relation,25,3,0.593333,1.556419,0.879019,0.036458,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.541667,1.079404,1.792817,0.365991,424.235526,0.0,0.0,0.0,0.0,0.0,0.6119,0.6119
relation_finite_projection,wpu-cws-indexed-mechanism-relation,5,3,0.0,1.749332,0.894055,0.114583,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.541667,0.033942,0.042575,0.025308,11.609245,0.0,0.0,0.0,0.0,0.0,0.915857,0.915857
relation_finite_projection,wpu-cws-indexed-mechanism-relation,10,3,0.0,2.008994,0.9153,0.074074,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.458333,0.193246,0.27162,0.114872,66.185466,0.0,0.0,0.0,0.0,0.0,0.91487,0.91487
relation_finite_projection,wpu-cws-indexed-mechanism-relation,25,3,0.034167,2.686625,0.837075,0.052083,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.695024,2.481409,0.908639,538.63569,0.0,0.0,0.0,0.0,0.0,0.87676,0.87676
relation_mechanism_target_bounded_delta005,wpu-cws-indexed-mechanism-target,5,3,0.0,0.23798,0.762268,0.010417,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.854167,0.011951,0.017796,0.006107,5.992753,9.019743,2.965763,16.0,0.0,0.0,0.989587,0.989587
relation_mechanism_target_bounded_delta005,wpu-cws-indexed-mechanism-target,10,3,0.0,0.237494,0.783303,0.018518,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.770833,0.080643,0.152924,0.008362,40.940546,78.283679,3.597411,16.0,0.0,0.0,0.987984,0.987984
relation_mechanism_target_bounded_delta005,wpu-cws-indexed-mechanism-target,25,3,0.230833,0.235406,0.863953,0.011285,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.69923,1.381966,0.016495,357.220733,709.6838,4.757665,16.0,0.0,0.0,0.862545,0.862545
relation_mechanism_target_bounded_delta005_5seed,wpu-cws-indexed-mechanism-target,5,5,0.0,0.240662,0.751945,0.009375,4.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.8375,0.019251,0.029593,0.008909,9.753684,15.095012,4.412355,16.0,0.0,0.0,0.989702,0.989702
relation_mechanism_target_bounded_delta005_5seed,wpu-cws-indexed-mechanism-target,10,5,0.0,0.240189,0.777426,0.0125,4.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.7875,0.12479,0.238177,0.011402,63.697114,122.22498,5.169247,16.0,0.0,0.0,0.989093,0.989093
relation_mechanism_target_bounded_delta005_5seed,wpu-cws-indexed-mechanism-target,25,5,0.2515,0.239785,0.867322,0.013542,4.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.675,1.061493,2.103145,0.019841,543.834596,1081.436881,6.232311,16.0,0.0,0.0,0.850574,0.850574
relation_mechanism_target_constrained_bounded_delta005_5seed,wpu-cws-indexed-mechanism-target-constrained,5,5,0.0,0.240025,0.753478,0.009375,4.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.8375,0.019263,0.029648,0.008879,9.761936,15.125553,4.398318,16.0,0.0,0.0,0.989724,0.989724
relation_mechanism_target_constrained_bounded_delta005_5seed,wpu-cws-indexed-mechanism-target-constrained,10,5,0.0,0.240335,0.781198,0.011111,4.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.125105,0.238809,0.011401,63.863048,122.558828,5.167267,16.0,0.0,0.0,0.989366,0.989366
relation_mechanism_target_constrained_bounded_delta005_5seed,wpu-cws-indexed-mechanism-target-constrained,25,5,0.2575,0.239979,0.870977,0.015104,4.3625,0.0,0.0,0.0,0.0,0.0,0.0,0.65,1.063031,2.106255,0.019807,544.588713,1083.02814,6.149287,16.0,0.0,0.0,0.846955,0.846955
relation_raw,wpu-cws-indexed-mechanism-relation,5,3,0.416667,1.783713,0.899774,0.119792,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.5625,0.035057,0.043648,0.026466,12.370823,0.0,0.0,0.0,0.0,0.0,0.684445,0.684445
relation_raw,wpu-cws-indexed-mechanism-relation,10,3,0.441667,2.062501,0.919342,0.081018,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.479167,0.201422,0.281539,0.121306,71.18241,0.0,0.0,0.0,0.0,0.0,0.668692,0.668692
relation_raw,wpu-cws-indexed-mechanism-relation,25,3,1.184167,5.401195,0.809804,0.052951,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.208333,6.975125,7.630795,6.319454,922.699696,0.0,0.0,0.0,0.0,0.0,0.250368,0.250368
relation_split_delta_p010_v005,wpu-cws-indexed-mechanism-relation,5,3,0.0,0.357943,0.858228,0.026042,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.833333,0.012622,0.019133,0.006111,6.124859,0.0,0.0,0.0,0.0,0.0,0.982264,0.982264
relation_split_delta_p010_v005,wpu-cws-indexed-mechanism-relation,10,3,0.1,0.354002,0.897668,0.037037,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.083435,0.158548,0.008323,41.64577,0.0,0.0,0.0,0.0,0.0,0.925202,0.925202
relation_split_delta_p010_v005,wpu-cws-indexed-mechanism-relation,25,3,0.1875,0.351914,0.957387,0.023437,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.541667,0.715922,1.41468,0.017163,361.626218,0.0,0.0,0.0,0.0,0.0,0.879871,0.879871
