adversarial_distractors,background_objects,balanced_labels,branch_accuracy,causal_k,causal_recall_mean,checkpoint,cuda_peak_mb,hidden_dim,layers,majority_accuracy,model,ms_per_sample_forward,mse,params,seed,selected_k_mean,status,total_objects_n,train_loss
0,120,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/graph-transformer_N128_K8_D0_seed17.pt,151.052246,512,2,0.333333,graph-transformer,3.935197,0.012015,7375894,17,8.0,ok,128,1.116929
0,120,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/graph-transformer_N128_K8_D0_seed19.pt,151.052246,512,2,0.333333,graph-transformer,4.347605,0.000222,7375894,19,8.0,ok,128,1.110725
0,120,True,0.54,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/graph-transformer_N128_K8_D0_seed23.pt,151.052246,512,2,0.333333,graph-transformer,3.516617,0.001251,7375894,23,8.0,ok,128,0.976497
0,120,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/serialized-token_N128_K8_D0_seed11.pt,141.649902,512,2,0.333333,serialized-token,0.35956,0.000245,6325778,11,8.0,ok,128,1.114546
0,120,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/serialized-token_N128_K8_D0_seed13.pt,141.649902,512,2,0.333333,serialized-token,0.3196,6.9e-05,6325778,13,8.0,ok,128,1.183609
0,120,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/serialized-token_N128_K8_D0_seed17.pt,141.649902,512,2,0.333333,serialized-token,0.317322,0.000847,6325778,17,8.0,ok,128,1.055669
0,120,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/serialized-token_N128_K8_D0_seed19.pt,141.649902,512,2,0.333333,serialized-token,0.340741,0.000179,6325778,19,8.0,ok,128,1.080956
0,120,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/serialized-token_N128_K8_D0_seed23.pt,141.649902,512,2,0.333333,serialized-token,0.38415,0.000551,6325778,23,8.0,ok,128,1.069227
0,120,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/wpu-cws-learned_N128_K8_D0_seed11.pt,136.339844,512,2,0.333333,wpu-cws-learned,1.907216,3.2e-05,6853655,11,16.0,ok,128,1.096459
0,120,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n128_256_512/checkpoints/wpu-cws-learned_N128_K8_D0_seed13.pt,136.339844,512,2,0.333333,wpu-cws-learned,1.571069,5.9e-05,6853655,13,16.0,ok,128,1.105344
