background_objects,branch_entropy_mean,branch_flip_rate,branch_loss_weight,constraint_violations_per_step,correct_on_violation,corrected_object_fraction,correction_entropy_threshold,correction_rate,correction_raw_delta_threshold,correction_stride,correction_violation_margin,delta_clip,delta_loss_weight,delta_norm_mean,delta_norm_penalty,delta_target_norm_slack,escalation_model,escalation_rate,escalation_success_rate,eval_sim_steps,final_majority_branch_ratio,finite_delta_clamp,horizon,integrity_projection,model,multihorizon_loss_weight,multihorizon_train_steps,raw_delta_norm_mean,rollback_on_violation,rollback_rate,rollout_delta_scale,samples,seed,selected_k_mean,selective_correction,state_validity_penalty,train_sim_steps,unsafe_delta_reject_norm,unsafe_delta_rejection_rate
512,nan,0.0,0.1,4.4375,False,0.0,0.0,0.0,0.0,1,0,0.0,1.0,nan,0.0,0.5,,0.0,0.0,80,1.0,0.0,5,False,wpu-cws-indexed-mechanism-relation,5.0,4|8|12,nan,False,0.0,1.0,16,11,4.4375,False,0.0,4,0.0,0.0
512,nan,0.0,0.1,4.4375,False,0.0,0.0,0.0,0.0,1,0,0.0,1.0,nan,0.0,0.5,,0.0,0.0,80,1.0,0.0,10,False,wpu-cws-indexed-mechanism-relation,5.0,4|8|12,nan,False,0.0,1.0,16,11,4.4375,False,0.0,4,0.0,0.0
512,nan,0.0,0.1,4.4375,False,0.0,0.0,0.0,0.0,1,0,0.0,1.0,nan,0.0,0.5,,0.0,0.0,80,1.0,0.0,25,False,wpu-cws-indexed-mechanism-relation,5.0,4|8|12,nan,False,0.0,1.0,16,11,4.4375,False,0.0,4,0.0,0.0
512,nan,0.0,0.1,4.5,False,0.0,0.0,0.0,0.0,1,0,0.0,1.0,nan,0.0,0.5,,0.0,0.0,80,1.0,0.0,5,False,wpu-cws-indexed-mechanism-relation,5.0,4|8|12,nan,False,0.0,1.0,16,13,4.5,False,0.0,4,0.0,0.0
512,nan,0.0,0.1,4.5,False,0.0,0.0,0.0,0.0,1,0,0.0,1.0,nan,0.0,0.5,,0.0,0.0,80,1.0,0.0,10,False,wpu-cws-indexed-mechanism-relation,5.0,4|8|12,nan,False,0.0,1.0,16,13,4.5,False,0.0,4,0.0,0.0
512,nan,0.0,0.1,4.5,False,0.0,0.0,0.0,0.0,1,0,0.0,1.0,nan,0.0,0.5,,0.0,0.0,80,1.0,0.0,25,False,wpu-cws-indexed-mechanism-relation,5.0,4|8|12,nan,False,0.0,1.0,16,13,4.5,False,0.0,4,0.0,0.0
512,nan,0.0,0.1,4.4375,False,0.0,0.0,0.0,0.0,1,0,0.0,1.0,nan,0.0,0.5,,0.0,0.0,80,1.0,0.0,5,False,wpu-cws-indexed-mechanism-relation,5.0,4|8|12,nan,False,0.0,1.0,16,17,4.4375,False,0.0,4,0.0,0.0
512,nan,0.0,0.1,4.4375,False,0.0,0.0,0.0,0.0,1,0,0.0,1.0,nan,0.0,0.5,,0.0,0.0,80,1.0,0.0,10,False,wpu-cws-indexed-mechanism-relation,5.0,4|8|12,nan,False,0.0,1.0,16,17,4.4375,False,0.0,4,0.0,0.0
512,nan,0.0,0.1,4.4375,False,0.0,0.0,0.0,0.0,1,0,0.0,1.0,nan,0.0,0.5,,0.0,0.0,80,1.0,0.0,25,False,wpu-cws-indexed-mechanism-relation,5.0,4|8|12,nan,False,0.0,1.0,16,17,4.4375,False,0.0,4,0.0,0.0
