branch_disagreement_rate,causal_k,dense_accuracy,dense_break_rate,dense_fix_rate,dense_lower_loss_rate,dense_needed_rate,hidden_dim,interaction_mode,layers,samples,seed,sparse_accuracy,status,total_objects_n,working_set_size
0.166667,8,0.555556,0.033333,0.077778,0.5,0.133333,128,pairwise,1,90,11,0.511111,ok,2048,32
0.044444,8,0.444444,0.0,0.022222,0.611111,0.233333,128,pairwise,1,90,13,0.422222,ok,2048,32
0.288889,16,0.377778,0.144444,0.088889,0.477778,0.277778,128,pairwise,1,90,11,0.433333,ok,2048,32
0.611111,16,0.455556,0.322222,0.188889,0.6,0.333333,128,pairwise,1,90,13,0.588889,ok,2048,32
0.211111,32,0.433333,0.133333,0.044444,0.388889,0.055556,128,pairwise,1,90,11,0.522222,ok,2048,32
0.233333,32,0.5,0.111111,0.066667,0.655556,0.211111,128,pairwise,1,90,13,0.544444,ok,2048,32
