eval_mechanism,base_best_wpu,selected_best_wpu,base_best_baseline,selected_best_baseline,selected_mean_strength,selection_metric,base_wpu_accuracy,selected_wpu_accuracy,wpu_accuracy_change,base_baseline_accuracy,selected_baseline_accuracy,base_wpu_minus_baseline,selected_wpu_minus_baseline,majority_accuracy,base_majority_minus_wpu,selected_majority_minus_wpu,base_wpu_ece,selected_wpu_ece,wpu_ece_change,base_wpu_brier,selected_wpu_brier,wpu_brier_change,base_prior_dominated,selected_prior_dominated
catch_heavy,wpu-cws-indexed-local-dense,wpu-cws-indexed-sparse,serialized-token,serialized-token,1.0,nll_ece,0.40873,0.753968,0.345238,0.349206,0.72619,0.059524,0.027778,0.753968,0.345238,0.0,0.264469,0.123364,-0.141105,0.688479,0.413073,-0.275406,True,False
edge_shift,wpu-cws-indexed-sparse,wpu-cws-indexed-local-dense,serialized-token,graph-transformer,0.571429,nll_ece,0.527778,0.619048,0.09127,0.571428,0.65873,-0.04365,-0.039682,0.515873,-0.011905,-0.103175,0.212969,0.215461,0.002492,0.60769,0.566687,-0.041003,False,False
high_force,wpu-cws-indexed-local-dense,wpu-cws-indexed-local-dense,serialized-token,graph-transformer,0.0,nll_ece,0.43254,0.43254,0.0,0.460318,0.452381,-0.027778,-0.019841,0.424603,-0.007937,-0.007937,0.31382,0.31382,0.0,0.736105,0.736105,0.0,False,False
nominal,wpu-cws-indexed-sparse,wpu-cws-indexed-sparse,serialized-token,serialized-token,0.357143,nll_ece,0.444445,0.424603,-0.019842,0.5,0.507936,-0.055555,-0.083333,0.468254,0.023809,0.043651,0.118385,0.118737,0.000352,0.628308,0.646612,0.018304,False,False
