source,total_objects_n,causal_k,policy,static_loss,candidate_oracle_loss,candidate_oracle_gain_over_static,policy_loss,policy_accuracy,oracle_match_rate,deployed_gain_over_static,gap_closure_fraction,remaining_gap,mean_accept_rate,mean_harmful_accept_rate,mean_regret_corr,mean_predicted_sigma,seed_count,failure_mode
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r1_m0p05,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r1p5_m0,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r1p5_m0p0025,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r1p5_m0p005,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r1p5_m0p01,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r1p5_m0p02,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r1p5_m0p05,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r2_m0,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r2_m0p0025,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r2_m0p005,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r2_m0p01,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r2_m0p02,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r2_m0p05,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r3_m0,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r3_m0p0025,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r3_m0p005,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r3_m0p01,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r3_m0p02,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,8,uncertainty_regret_gate_r3_m0p05,0.988432,0.955668,0.032763,0.988432,0.506667,0.006667,0.0,0.0,0.032763,0.0,0.0,0.050928,0.049808,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,candidate_regret_gate,0.966183,0.90541,0.060773,0.947425,0.535556,0.3,0.018758,0.308651,0.042015,0.951111,0.317778,0.118052,0.059704,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,candidate_regret_gate_m0p0025,0.966183,0.90541,0.060773,0.946829,0.535556,0.297778,0.019353,0.318455,0.041419,0.92,0.295555,0.118052,0.059704,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,candidate_regret_gate_m0p005,0.966183,0.90541,0.060773,0.946131,0.533333,0.293333,0.020052,0.32995,0.040721,0.88,0.271111,0.118052,0.059704,5,insufficient_no_harm_rejection
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,candidate_regret_gate_m0p01,0.966183,0.90541,0.060773,0.946301,0.531111,0.284445,0.019882,0.327146,0.040891,0.804444,0.235556,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,candidate_regret_gate_m0p02,0.966183,0.90541,0.060773,0.951893,0.528889,0.195555,0.014289,0.235128,0.046483,0.557778,0.173333,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,candidate_regret_gate_m0p05,0.966183,0.90541,0.060773,0.965162,0.502222,0.033333,0.001021,0.0168,0.059752,0.128889,0.06,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate,0.966183,0.90541,0.060773,0.957925,0.517778,0.133333,0.008258,0.135886,0.052515,0.395556,0.126667,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r0p5_m0p0025,0.966183,0.90541,0.060773,0.959642,0.515556,0.12,0.006541,0.107634,0.054232,0.342222,0.115555,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r0p5_m0p005,0.966183,0.90541,0.060773,0.960611,0.511111,0.111111,0.005572,0.091686,0.055201,0.306667,0.102222,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r0p5_m0p01,0.966183,0.90541,0.060773,0.961206,0.508889,0.068889,0.004977,0.081898,0.055796,0.182222,0.051111,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r0p5_m0p02,0.966183,0.90541,0.060773,0.964177,0.502222,0.022222,0.002006,0.033002,0.058767,0.064445,0.024444,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r0p5_m0p05,0.966183,0.90541,0.060773,0.96618,0.504444,0.006667,3e-06,4.9e-05,0.06077,0.011111,0.006667,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r0p75_m0,0.966183,0.90541,0.060773,0.962994,0.506667,0.04,0.003188,0.052464,0.057584,0.115556,0.028889,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r0p75_m0p0025,0.966183,0.90541,0.060773,0.96304,0.504444,0.031111,0.003143,0.051721,0.05763,0.086667,0.022222,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r0p75_m0p005,0.966183,0.90541,0.060773,0.964511,0.504444,0.02,0.001671,0.027502,0.059101,0.055555,0.015555,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r0p75_m0p01,0.966183,0.90541,0.060773,0.965577,0.504444,0.006667,0.000606,0.009965,0.060167,0.02,0.008889,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r0p75_m0p02,0.966183,0.90541,0.060773,0.966172,0.504444,0.004444,1.1e-05,0.000174,0.060762,0.004444,0.002222,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r0p75_m0p05,0.966183,0.90541,0.060773,0.966105,0.504444,0.004444,7.8e-05,0.001287,0.060695,0.002222,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r1_m0,0.966183,0.90541,0.060773,0.9657,0.504444,0.004444,0.000483,0.007944,0.06029,0.008889,0.004444,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r1_m0p0025,0.966183,0.90541,0.060773,0.966105,0.504444,0.004444,7.8e-05,0.001287,0.060695,0.002222,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r1_m0p005,0.966183,0.90541,0.060773,0.966105,0.504444,0.004444,7.8e-05,0.001287,0.060695,0.002222,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r1_m0p01,0.966183,0.90541,0.060773,0.966105,0.504444,0.004444,7.8e-05,0.001287,0.060695,0.002222,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r1_m0p02,0.966183,0.90541,0.060773,0.966183,0.504444,0.002222,0.0,0.0,0.060773,0.0,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r1_m0p05,0.966183,0.90541,0.060773,0.966183,0.504444,0.002222,0.0,0.0,0.060773,0.0,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r1p5_m0,0.966183,0.90541,0.060773,0.966183,0.504444,0.002222,0.0,0.0,0.060773,0.0,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r1p5_m0p0025,0.966183,0.90541,0.060773,0.966183,0.504444,0.002222,0.0,0.0,0.060773,0.0,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r1p5_m0p005,0.966183,0.90541,0.060773,0.966183,0.504444,0.002222,0.0,0.0,0.060773,0.0,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r1p5_m0p01,0.966183,0.90541,0.060773,0.966183,0.504444,0.002222,0.0,0.0,0.060773,0.0,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r1p5_m0p02,0.966183,0.90541,0.060773,0.966183,0.504444,0.002222,0.0,0.0,0.060773,0.0,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r1p5_m0p05,0.966183,0.90541,0.060773,0.966183,0.504444,0.002222,0.0,0.0,0.060773,0.0,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r2_m0,0.966183,0.90541,0.060773,0.966183,0.504444,0.002222,0.0,0.0,0.060773,0.0,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r2_m0p0025,0.966183,0.90541,0.060773,0.966183,0.504444,0.002222,0.0,0.0,0.060773,0.0,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
docs/experiments/wpu_v2_candidate_regret_gate.csv,2048,16,uncertainty_regret_gate_r2_m0p005,0.966183,0.90541,0.060773,0.966183,0.504444,0.002222,0.0,0.0,0.060773,0.0,0.0,0.118052,0.059704,5,partial_but_insufficient_gap_closure
