N,best_wpu,wpu_accuracy_mean,wpu_accuracy_ci95,best_non_wpu,non_wpu_accuracy_mean,non_wpu_accuracy_ci95,interpretation
4,WPU-hybrid,0.7242,0.0260,Dense graph,0.6398,0.1257,"WPU variants win, routed scheduler fails because it selects dense."
24,WPU-hybrid,0.7320,0.0280,Graph Transformer,0.6609,0.0680,"WPU-hybrid wins in the medium local regime."
84,WPU-hybrid,0.7508,0.0244,Graph Transformer,0.6953,0.0388,"WPU remains competitive and best in this synthetic regime."
204,WPU-sparse/routed,0.4516,0.1957,Graph Transformer,0.7172,0.0615,"WPU fails; token/graph baselines dominate accuracy."
