total_objects_n,causal_k,seed_count,static_loss,static_accuracy,full_candidate_oracle_loss,full_candidate_oracle_accuracy,full_candidate_oracle_gain,learned_generator_oracle_loss,learned_generator_oracle_accuracy,learned_generator_oracle_gain,learned_generator_oracle_closure,learned_generator_oracle_match,learned_generator_oracle_selected_rate,evaluator_loss,evaluator_accuracy,evaluator_gain,evaluator_gap_closure,evaluator_oracle_match,evaluator_selected_learned_generated_rate,verdict
2048,8,5,0.988432,0.506667,0.955182,0.553333,0.033249,0.98011,0.52,0.008322,0.250284,0.035555,1.0,0.987118,0.504444,0.001314,0.039513,0.133333,0.071111,generator_headroom_not_deployable
2048,16,5,0.966183,0.504444,0.904247,0.58,0.061935,0.943809,0.526667,0.022374,0.361251,0.046667,1.0,0.963523,0.508889,0.00266,0.042951,0.16,0.053334,generator_headroom_not_deployable
2048,32,5,1.004095,0.475556,0.968276,0.577778,0.035819,0.996266,0.537778,0.007828,0.218557,0.046666,1.0,1.004508,0.491111,-0.000413,-0.011536,0.131111,0.04,generator_headroom_not_deployable
