row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,graph-transformer,13,nominal+high_force+edge_shift+catch_heavy,no_catch,0.978132,temperature_bias,0.785074;-0.606376;-0.178698,32,37,36,0.666667,0.666667,0.055287,0.872007,0.508955,0.208549,4.025,1.0,1.0,1
seed,graph-transformer,13,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.978132,temperature_bias,0.785074;-0.606376;-0.178698,32,37,36,0.277778,0.583333,0.18559,1.095119,0.667628,0.17377,4.35,1.0,1.0,1
seed,graph-transformer,13,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.978132,temperature_bias,0.785074;-0.606376;-0.178698,32,37,36,0.583333,0.583333,0.052569,0.935618,0.566535,0.113519,4.825,1.0,1.0,1
seed,graph-transformer,17,nominal+high_force+edge_shift+catch_heavy,no_catch,0.757602,temperature_bias,0.463332;-0.726551;0.263219,32,37,36,0.694444,0.694444,0.054295,0.802444,0.461946,0.226324,4.025,1.0,1.0,1
seed,graph-transformer,17,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.757602,temperature_bias,0.463332;-0.726551;0.263219,32,37,36,0.416667,0.555556,0.158468,1.024004,0.624899,0.12548,4.4,1.0,1.0,1
seed,graph-transformer,17,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.757602,temperature_bias,0.463332;-0.726551;0.263219,32,37,36,0.583333,0.583333,0.051787,0.912283,0.549599,0.056921,4.8,1.0,1.0,1
seed,serialized-token,11,nominal+high_force+edge_shift+catch_heavy,no_catch,0.862165,temperature_bias,-0.040265;-0.538387;0.578652,32,37,36,0.027778,0.666667,0.081902,1.067836,0.668017,0.397419,4.025,1.0,1.0,1
seed,serialized-token,11,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.862165,temperature_bias,-0.040265;-0.538387;0.578652,32,37,36,0.305556,0.583333,0.186389,1.13053,0.687622,0.081669,4.375,1.0,1.0,1
seed,serialized-token,11,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.862165,temperature_bias,-0.040265;-0.538387;0.578652,32,37,36,0.305556,0.555556,0.080772,1.018878,0.628445,0.147387,4.8,1.0,1.0,1
seed,serialized-token,13,nominal+high_force+edge_shift+catch_heavy,no_catch,0.972972,temperature_bias,0.773654;-0.691615;-0.082039,32,37,36,0.666667,0.666667,0.054287,0.858306,0.499725,0.194511,4.025,1.0,1.0,1
