accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,excess_over_candidate_oracle,feature_variant,generated_candidates,heldout_seed,interaction_mode,loss,mechanism_max_seed_harm,mechanism_min_win_rate,mechanism_risk_penalty,mechanism_safe_margin,oracle_match_rate,policy,propagation_steps,regret_retriever_steps,retriever_steps,risk_adjusted_max_delta,risk_adjusted_mean_delta,risk_adjusted_score,risk_adjusted_selected_mechanism,risk_adjusted_win_rate,safe_margin,safe_uses_invariant_scorer,scorer_steps,seed,seed_stable_max_delta,seed_stable_mean_delta,seed_stable_selected_mechanism,seed_stable_win_rate,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_non_learned_rate,selected_proximity_rate,test_samples,total_objects_n,train_delta_vs_static,train_invariant_scorer_loss,train_seed_count,train_selected_mechanism,train_static_learned_loss,validation_samples_per_seed
0.511111,4,0.955208,8,600,0.0,role_geometry_family,4,17,pairwise,0.955208,0.0,0.75,0.5,0.0,1.0,generated_plus_composition_oracle,40,600,400,-0.003902,-0.01575,-0.01575,invariant,1.0,0.0,1,600,17,-0.003902,-0.01575,invariant,1.0,0.3,0.033333,0.133333,0.466667,0.055556,0.088889,0.077778,0.066667,0.288889,0.166667,0.011111,0.0,1.0,0.066667,90,2048,-0.01575,0.97144,4,invariant,0.98719,180
0.5,4,0.955208,8,600,0.021156,role_geometry_only,4,17,pairwise,0.976364,0.0,0.75,0.5,0.0,0.0,static_learned_interaction,40,600,400,-0.003204,-0.014639,-0.014639,composition_count_only,1.0,0.0,1,600,17,-0.003204,-0.014639,composition_count_only,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,90,2048,-0.012741,0.974449,4,composition_count_only,0.98719,180
0.488889,4,0.955208,8,600,0.021533,role_geometry_only,4,17,pairwise,0.976741,0.0,0.75,0.5,0.0,0.188889,invariant_set_scorer,40,600,400,-0.003204,-0.014639,-0.014639,composition_count_only,1.0,0.0,1,600,17,-0.003204,-0.014639,composition_count_only,1.0,0.044444,0.0,0.066667,0.111111,0.022222,0.188889,0.0,0.0,0.211111,0.588889,0.011111,0.0,1.0,0.077778,90,2048,-0.012741,0.974449,4,composition_count_only,0.98719,180
0.488889,4,0.955208,8,600,0.021533,role_geometry_only,4,17,pairwise,0.976741,0.0,0.75,0.5,0.0,0.188889,train_safe_invariant_set_scorer,40,600,400,-0.003204,-0.014639,-0.014639,composition_count_only,1.0,0.0,1,600,17,-0.003204,-0.014639,composition_count_only,1.0,0.044444,0.0,0.066667,0.111111,0.022222,0.188889,0.0,0.0,0.211111,0.588889,0.011111,0.0,1.0,0.077778,90,2048,-0.012741,0.974449,4,composition_count_only,0.98719,180
0.488889,4,0.955208,8,600,0.020551,role_geometry_only,4,17,pairwise,0.975759,0.0,0.75,0.5,0.0,0.033333,train_selected_mechanism,40,600,400,-0.003204,-0.014639,-0.014639,composition_count_only,1.0,0.0,1,600,17,-0.003204,-0.014639,composition_count_only,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90,2048,-0.012741,0.974449,4,composition_count_only,0.98719,180
0.488889,4,0.955208,8,600,0.020551,role_geometry_only,4,17,pairwise,0.975759,0.0,0.75,0.5,0.0,0.033333,seed_stable_selected_mechanism,40,600,400,-0.003204,-0.014639,-0.014639,composition_count_only,1.0,0.0,1,600,17,-0.003204,-0.014639,composition_count_only,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90,2048,-0.012741,0.974449,4,composition_count_only,0.98719,180
0.488889,4,0.955208,8,600,0.020551,role_geometry_only,4,17,pairwise,0.975759,0.0,0.75,0.5,0.0,0.033333,risk_adjusted_selected_mechanism,40,600,400,-0.003204,-0.014639,-0.014639,composition_count_only,1.0,0.0,1,600,17,-0.003204,-0.014639,composition_count_only,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90,2048,-0.012741,0.974449,4,composition_count_only,0.98719,180
0.511111,4,0.955208,8,600,0.0,role_geometry_only,4,17,pairwise,0.955208,0.0,0.75,0.5,0.0,1.0,generated_plus_composition_oracle,40,600,400,-0.003204,-0.014639,-0.014639,composition_count_only,1.0,0.0,1,600,17,-0.003204,-0.014639,composition_count_only,1.0,0.3,0.033333,0.133333,0.466667,0.055556,0.088889,0.077778,0.066667,0.288889,0.166667,0.011111,0.0,1.0,0.066667,90,2048,-0.012741,0.974449,4,composition_count_only,0.98719,180
0.533333,4,0.966431,8,600,0.036369,role_geometry_family,4,19,pairwise,1.002799,0.0,0.75,0.5,0.0,0.0,static_learned_interaction,40,600,400,-0.001876,-0.014423,-0.014423,invariant,1.0,0.0,1,600,19,-0.001876,-0.014423,invariant,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,90,2048,-0.014423,0.970218,4,invariant,0.984641,180
0.566667,4,0.966431,8,600,0.025512,role_geometry_family,4,19,pairwise,0.991943,0.0,0.75,0.5,0.0,0.177778,invariant_set_scorer,40,600,400,-0.001876,-0.014423,-0.014423,invariant,1.0,0.0,1,600,19,-0.001876,-0.014423,invariant,1.0,0.055556,0.011111,0.033333,0.1,0.011111,0.222222,0.0,0.0,0.233333,0.477778,0.022222,0.0,1.0,0.166667,90,2048,-0.014423,0.970218,4,invariant,0.984641,180
