mode,total_n,k_ref,true_relation_confidence,missing_rate,false_positive_rate,delta_mse,delta_mae,zero_delta_mse,relative_mse,mean_selected_k,mean_updated_k,max_selected_k,mean_touch_ratio,max_touch_ratio,mean_escalation,mean_missed_causal
sparse_confident_relations,8192,8,0.95,0.0,0.0,0.002162,0.035421,0.419535,0.005153,8.0,8.0,8,0.00195146,0.00195146,0.0,0.0
hybrid_escalation_region,8192,8,0.95,0.0,0.0,0.002162,0.035421,0.419535,0.005153,8.0,8.0,8,0.00195146,0.00195146,0.0,0.0
sparse_confident_relations,8192,8,0.95,0.0,0.25,0.002126,0.035319,0.395444,0.005377,8.0,8.0,8,0.00219485,0.00219485,1.0,0.0
hybrid_escalation_region,8192,8,0.95,0.0,0.25,0.002126,0.035319,0.395444,0.005377,8.0,8.0,8,0.00219485,0.00219485,1.0,0.0
sparse_confident_relations,8192,8,0.95,0.5,0.0,0.145762,0.262391,0.421077,0.346164,8.0,4.515625,8,0.0015271,0.00195146,0.0,3.484375
hybrid_escalation_region,8192,8,0.95,0.5,0.0,0.145762,0.262391,0.421077,0.346164,8.0,4.515625,8,0.0015271,0.00195146,0.0,3.484375
sparse_confident_relations,8192,8,0.95,0.5,0.25,0.139314,0.261266,0.394756,0.352911,8.0,4.351562,8,0.00175073,0.00219485,1.0,3.648438
hybrid_escalation_region,8192,8,0.95,0.5,0.25,0.00229,0.036582,0.394756,0.005801,8.0,8.0,8,0.00175073,0.00219485,1.0,0.0
sparse_confident_relations,8192,8,0.2,0.0,0.0,0.300085,0.500628,0.440646,0.681012,8.0,1.0,8,0.00195146,0.00195146,1.0,7.0
hybrid_escalation_region,8192,8,0.2,0.0,0.0,0.002261,0.035123,0.440646,0.00513,8.0,8.0,8,0.00195146,0.00195146,1.0,0.0
sparse_confident_relations,8192,8,0.2,0.0,0.25,0.3004,0.498381,0.440836,0.681432,8.0,1.0,8,0.00219485,0.00219485,1.0,7.0
hybrid_escalation_region,8192,8,0.2,0.0,0.25,0.00249,0.036469,0.440836,0.005647,8.0,8.0,8,0.00219485,0.00219485,1.0,0.0
sparse_confident_relations,8192,8,0.2,0.5,0.0,0.269246,0.470917,0.394959,0.681707,8.0,1.0,8,0.00153377,0.00195146,0.976562,7.0
hybrid_escalation_region,8192,8,0.2,0.5,0.0,0.005927,0.044498,0.394959,0.015006,8.0,7.835938,8,0.00153377,0.00195146,0.976562,0.164062
sparse_confident_relations,8192,8,0.2,0.5,0.25,0.303958,0.504186,0.446416,0.680886,8.0,1.0,8,0.00177927,0.00219485,1.0,7.0
hybrid_escalation_region,8192,8,0.2,0.5,0.25,0.002329,0.036511,0.446416,0.005217,8.0,8.0,8,0.00177927,0.00219485,1.0,0.0
sparse_confident_relations,8192,16,0.95,0.0,0.0,0.002277,0.038344,0.303459,0.007503,16.0,16.0,16,0.00389911,0.00389911,0.0,0.0
hybrid_escalation_region,8192,16,0.95,0.0,0.0,0.002277,0.038344,0.303459,0.007503,16.0,16.0,16,0.00389911,0.00389911,0.0,0.0
sparse_confident_relations,8192,16,0.95,0.0,0.25,0.002434,0.039603,0.290104,0.008388,16.0,16.0,16,0.00438436,0.00438436,1.0,0.0
hybrid_escalation_region,8192,16,0.95,0.0,0.25,0.002434,0.039603,0.290104,0.008388,16.0,16.0,16,0.00438436,0.00438436,1.0,0.0
sparse_confident_relations,8192,16,0.95,0.5,0.0,0.116032,0.240376,0.300766,0.385788,16.0,8.585938,16,0.0029984,0.00353486,0.0,7.414062
hybrid_escalation_region,8192,16,0.95,0.5,0.0,0.116032,0.240376,0.300766,0.385788,16.0,8.585938,16,0.0029984,0.00353486,0.0,7.414062
sparse_confident_relations,8192,16,0.95,0.5,0.25,0.123559,0.247081,0.33235,0.371773,16.0,8.695312,16,0.0034978,0.0041418,1.0,7.304688
hybrid_escalation_region,8192,16,0.95,0.5,0.25,0.002658,0.042052,0.33235,0.007996,16.0,16.0,16,0.0034978,0.0041418,1.0,0.0
sparse_confident_relations,8192,16,0.2,0.0,0.0,0.241384,0.452501,0.309371,0.780238,16.0,1.0,16,0.00389911,0.00389911,1.0,15.0
hybrid_escalation_region,8192,16,0.2,0.0,0.0,0.002531,0.038667,0.309371,0.008181,16.0,16.0,16,0.00389911,0.00389911,1.0,0.0
sparse_confident_relations,8192,16,0.2,0.0,0.25,0.241659,0.454266,0.309795,0.780062,16.0,1.0,16,0.00438436,0.00438436,1.0,15.0
hybrid_escalation_region,8192,16,0.2,0.0,0.25,0.002406,0.037936,0.309795,0.007767,16.0,16.0,16,0.00438436,0.00438436,1.0,0.0
sparse_confident_relations,8192,16,0.2,0.5,0.0,0.230729,0.444827,0.295809,0.779992,16.0,1.0,16,0.00299838,0.00365631,1.0,15.0
hybrid_escalation_region,8192,16,0.2,0.5,0.0,0.002377,0.03893,0.295809,0.008035,16.0,16.0,16,0.00299838,0.00365631,1.0,0.0
sparse_confident_relations,8192,16,0.2,0.5,0.25,0.229626,0.442499,0.294333,0.780155,16.0,1.0,16,0.00345319,0.0041418,1.0,15.0
hybrid_escalation_region,8192,16,0.2,0.5,0.25,0.00247,0.039865,0.294333,0.008393,16.0,16.0,16,0.00345319,0.0041418,1.0,0.0
