mode,total_n,k_ref,true_relation_confidence,missing_rate,false_positive_rate,delta_mse,delta_mae,zero_delta_mse,relative_mse,mean_selected_k,mean_updated_k,max_selected_k,mean_touch_ratio,max_touch_ratio,mean_escalation,mean_missed_causal
sparse_confident_relations,128,16,0.2,0.0,0.0,0.247165,0.461779,0.316962,0.779794,16.0,1.0,16,0.22377622,0.22377622,1.0,15.0
hybrid_escalation_region,128,16,0.2,0.0,0.0,0.002256,0.036696,0.316962,0.007118,16.0,16.0,16,0.22377622,0.22377622,1.0,0.0
sparse_confident_relations,128,16,0.2,0.0,0.25,0.241076,0.454919,0.309091,0.779951,16.0,1.0,16,0.24489796,0.24489796,1.0,15.0
hybrid_escalation_region,128,16,0.2,0.0,0.25,0.002269,0.036962,0.309091,0.007339,16.0,16.0,16,0.24489796,0.24489796,1.0,0.0
sparse_confident_relations,128,16,0.2,0.5,0.0,0.233017,0.445226,0.298667,0.780193,16.0,1.0,16,0.18134379,0.20714286,1.0,15.0
hybrid_escalation_region,128,16,0.2,0.5,0.0,0.002521,0.040135,0.298667,0.008442,16.0,16.0,16,0.18134379,0.20714286,1.0,0.0
sparse_confident_relations,128,16,0.2,0.5,0.25,0.23992,0.45202,0.307537,0.780135,16.0,1.0,16,0.20471886,0.23972603,1.0,15.0
hybrid_escalation_region,128,16,0.2,0.5,0.25,0.002577,0.04055,0.307537,0.00838,16.0,16.0,16,0.20471886,0.23972603,1.0,0.0
sparse_confident_relations,512,4,0.95,0.0,0.0,0.003673,0.049712,0.545555,0.006733,4.0,4.0,4,0.01553398,0.01553398,0.0,0.0
hybrid_escalation_region,512,4,0.95,0.0,0.0,0.003673,0.049712,0.545555,0.006733,4.0,4.0,4,0.01553398,0.01553398,0.0,0.0
sparse_confident_relations,512,4,0.95,0.0,0.25,0.003657,0.04894,0.542694,0.006739,4.0,4.0,4,0.01744186,0.01744186,1.0,0.0
hybrid_escalation_region,512,4,0.95,0.0,0.25,0.003657,0.04894,0.542694,0.006739,4.0,4.0,4,0.01744186,0.01744186,1.0,0.0
sparse_confident_relations,512,4,0.95,0.5,0.0,0.144785,0.257029,0.547404,0.264494,4.0,2.484375,4,0.01262514,0.01553398,0.0,1.515625
hybrid_escalation_region,512,4,0.95,0.5,0.0,0.144785,0.257029,0.547404,0.264494,4.0,2.484375,4,0.01262514,0.01553398,0.0,1.515625
sparse_confident_relations,512,4,0.95,0.5,0.25,0.159709,0.270659,0.569356,0.280508,4.0,2.453125,4,0.01448509,0.01744186,1.0,1.546875
hybrid_escalation_region,512,4,0.95,0.5,0.25,0.004012,0.052924,0.569356,0.007046,4.0,4.0,4,0.01448509,0.01744186,1.0,0.0
sparse_confident_relations,512,4,0.2,0.0,0.0,0.282159,0.459148,0.544342,0.518349,4.0,1.0,4,0.01553398,0.01553398,1.0,3.0
hybrid_escalation_region,512,4,0.2,0.0,0.0,0.003532,0.04584,0.544342,0.006488,4.0,4.0,4,0.01553398,0.01553398,1.0,0.0
sparse_confident_relations,512,4,0.2,0.0,0.25,0.287188,0.462227,0.553474,0.518882,4.0,1.0,4,0.01744186,0.01744186,1.0,3.0
hybrid_escalation_region,512,4,0.2,0.0,0.25,0.003903,0.047985,0.553474,0.007051,4.0,4.0,4,0.01744186,0.01744186,1.0,0.0
sparse_confident_relations,512,4,0.2,0.5,0.0,0.305263,0.478043,0.589109,0.518178,4.0,1.0,4,0.0127905,0.01553398,0.882812,3.0
hybrid_escalation_region,512,4,0.2,0.5,0.0,0.039532,0.101558,0.589109,0.067104,4.0,3.648438,4,0.0127905,0.01553398,0.882812,0.351562
sparse_confident_relations,512,4,0.2,0.5,0.25,0.292022,0.466712,0.56292,0.518763,4.0,1.0,4,0.01440993,0.01744186,1.0,3.0
hybrid_escalation_region,512,4,0.2,0.5,0.25,0.004173,0.052736,0.56292,0.007413,4.0,4.0,4,0.01440993,0.01744186,1.0,0.0
sparse_confident_relations,512,8,0.95,0.0,0.0,0.002363,0.03746,0.465749,0.005075,8.0,8.0,8,0.03082852,0.03082852,0.0,0.0
hybrid_escalation_region,512,8,0.95,0.0,0.0,0.002363,0.03746,0.465749,0.005075,8.0,8.0,8,0.03082852,0.03082852,0.0,0.0
sparse_confident_relations,512,8,0.95,0.0,0.25,0.00214,0.035424,0.411728,0.005198,8.0,8.0,8,0.03454894,0.03454894,1.0,0.0
hybrid_escalation_region,512,8,0.95,0.0,0.25,0.00214,0.035424,0.411728,0.005198,8.0,8.0,8,0.03454894,0.03454894,1.0,0.0
sparse_confident_relations,512,8,0.95,0.5,0.0,0.142172,0.256025,0.44739,0.317782,8.0,4.664062,8,0.02455128,0.03082852,0.0,3.335938
hybrid_escalation_region,512,8,0.95,0.5,0.0,0.142172,0.256025,0.44739,0.317782,8.0,4.664062,8,0.02455128,0.03082852,0.0,3.335938
sparse_confident_relations,512,8,0.95,0.5,0.25,0.158488,0.275447,0.467928,0.338701,8.0,4.507812,8,0.02802753,0.03454894,1.0,3.492188
hybrid_escalation_region,512,8,0.95,0.5,0.25,0.002217,0.037391,0.467928,0.004737,8.0,8.0,8,0.02802753,0.03454894,1.0,0.0
sparse_confident_relations,512,8,0.2,0.0,0.0,0.302768,0.503595,0.444737,0.68078,8.0,1.0,8,0.03082852,0.03082852,1.0,7.0
hybrid_escalation_region,512,8,0.2,0.0,0.0,0.002174,0.034227,0.444737,0.004888,8.0,8.0,8,0.03082852,0.03082852,1.0,0.0
sparse_confident_relations,512,8,0.2,0.0,0.25,0.27036,0.471687,0.396559,0.681765,8.0,1.0,8,0.03454894,0.03454894,1.0,7.0
hybrid_escalation_region,512,8,0.2,0.0,0.25,0.002374,0.035036,0.396559,0.005987,8.0,8.0,8,0.03454894,0.03454894,1.0,0.0
sparse_confident_relations,512,8,0.2,0.5,0.0,0.286749,0.485902,0.420654,0.681675,8.0,1.0,8,0.0243302,0.03082852,0.992188,7.0
hybrid_escalation_region,512,8,0.2,0.5,0.0,0.006213,0.042978,0.420654,0.014771,8.0,7.945312,8,0.0243302,0.03082852,0.992188,0.054688
sparse_confident_relations,512,8,0.2,0.5,0.25,0.292123,0.492615,0.428853,0.681173,8.0,1.0,8,0.02769021,0.03454894,1.0,7.0
hybrid_escalation_region,512,8,0.2,0.5,0.25,0.002453,0.037779,0.428853,0.00572,8.0,8.0,8,0.02769021,0.03454894,1.0,0.0
sparse_confident_relations,512,16,0.95,0.0,0.0,0.002447,0.040113,0.310287,0.007886,16.0,16.0,16,0.06072106,0.06072106,0.0,0.0
hybrid_escalation_region,512,16,0.95,0.0,0.0,0.002447,0.040113,0.310287,0.007886,16.0,16.0,16,0.06072106,0.06072106,0.0,0.0
