causal_k,dense_breaks_sparse,dense_correct,dense_fixes_sparse,dense_loss,dense_needed,event_norm,interaction_density,interaction_mode,mean_pair_distance,min_pair_distance,sample_index,seed,sparse_confidence,sparse_correct,sparse_delta_norm,sparse_entropy,sparse_loss,sparse_margin,sparse_uncertainty_mean,target_x,target_y,total_objects_n
8,0,0,0,1.22193503,0,1.92874765,0.12292957,pairwise,0.22393921,0.0639635,26,11,0.5134905,0,0.34341884,0.99550235,1.09730697,0.1797218,0.53228354,0.83096564,0.0,2048
8,0,1,0,0.2673454,0,1.54171395,0.14892189,pairwise,0.22918227,0.0420163,27,11,0.8120991,1,0.49501902,0.56349874,0.20813286,0.65290916,0.55463934,0.94270968,0.0,2048
8,0,1,0,0.58278501,0,1.87601995,0.20078385,pairwise,0.19799757,0.03358149,28,11,0.48522428,1,0.2960532,1.01878393,0.72314405,0.13978088,0.53414243,0.90459734,0.0,2048
8,1,0,0,1.04451597,0,1.75693798,0.09669735,pairwise,0.25860006,0.05477577,29,11,0.39839855,1,0.20262173,1.0892539,0.92030239,0.09207383,0.53938687,0.55477577,0.0,2048
8,0,0,0,2.00145578,0,1.86239862,0.09686523,pairwise,0.32904816,0.04317313,30,11,0.47929797,0,0.2822364,1.02533674,1.7376771,0.13452455,0.53475004,0.95682687,0.0,2048
8,0,1,1,0.76859325,1,1.77873647,0.15641011,pairwise,0.2413651,0.02955092,31,11,0.38543305,0,0.23258859,1.0804615,0.99893546,0.01716179,0.53772354,0.96588236,0.0,2048
8,0,0,0,1.18424463,0,1.89059174,0.14550877,pairwise,0.24004947,0.01051962,32,11,0.50005805,0,0.30626917,1.00871515,1.08758295,0.16302794,0.5337311,0.82591373,0.0,2048
8,0,1,0,0.46281332,0,1.56095922,0.18416391,pairwise,0.25873375,0.02064937,33,11,0.78894955,1,0.39206475,0.6070438,0.23705289,0.6110121,0.55124038,0.89646739,0.0,2048
8,0,1,0,0.48862892,0,1.93654335,0.16753769,pairwise,0.23966031,0.03622913,34,11,0.51814759,1,0.33336589,0.99171585,0.65749514,0.18681771,0.53260064,0.62418246,0.0,2048
8,0,0,0,0.97945011,1,1.68701732,0.19568454,pairwise,0.21954878,0.01657677,35,11,0.55803186,0,0.19870044,0.92840868,1.08699346,0.22080296,0.54284239,0.53168434,0.0,2048
8,0,0,0,1.61156487,0,1.72733784,0.23549882,pairwise,0.20879041,0.01931173,36,11,0.39290345,0,0.18423188,1.06505215,0.93806332,0.00151834,0.54085803,0.51931173,0.0,2048
8,0,1,0,0.51623333,0,1.92861354,0.20924369,pairwise,0.21015678,0.01471391,37,11,0.51265305,1,0.33856058,0.99584043,0.66815597,0.17802036,0.53236628,0.78346205,0.0,2048
8,0,0,0,1.23183143,0,1.93442035,0.27193072,pairwise,0.18800393,0.03523195,38,11,0.51713818,0,0.33294988,0.99237883,1.10241389,0.18506965,0.53266752,0.46476805,0.0,2048
8,1,0,0,1.02081871,0,1.61735725,0.19925921,pairwise,0.25262707,0.02008006,39,11,0.72967249,1,0.27581203,0.70608765,0.31515953,0.50483865,0.54704201,0.46568042,0.0,2048
8,0,1,0,0.49140346,0,1.94451177,0.12487118,pairwise,0.27465683,0.04392429,40,11,0.52415365,1,0.35103655,0.98763859,0.6459704,0.19715777,0.53208971,0.64787298,0.0,2048
8,0,0,0,1.17923141,0,1.88232219,0.20006315,pairwise,0.22736518,0.01316184,41,11,0.49457994,0,0.28399897,1.0132556,1.08135009,0.15544263,0.53459895,0.48683816,0.0,2048
8,0,1,0,0.44548309,0,1.55051446,0.1640016,pairwise,0.23305908,0.03223769,42,11,0.79850066,1,0.43588394,0.58901125,0.22501948,0.62801814,0.55332565,0.5387519,0.0,2048
8,0,0,0,1.11196315,1,1.66831434,0.16221611,pairwise,0.24998985,0.03472057,43,11,0.59428084,0,0.20743641,0.88832217,2.4225688,0.27725509,0.54323745,0.82983083,0.0,2048
8,1,0,0,1.071733,0,1.77451885,0.10053434,pairwise,0.27892786,0.04629564,44,11,0.38901994,1,0.20463476,1.08785367,0.9441247,0.04881611,0.53874242,0.64161754,0.0,2048
8,0,1,0,0.71103573,0,1.57794476,0.17795147,pairwise,0.22446309,0.04978611,45,11,0.77184719,1,0.34865043,0.63684249,0.25896871,0.57989556,0.55007744,0.55268294,0.0,2048
8,0,1,1,0.82326579,1,1.75090158,0.14898665,pairwise,0.31072262,0.03212159,46,11,0.39394227,0,0.21149999,1.09051347,1.18083882,0.08692116,0.53904867,0.95421612,0.0,2048
8,0,0,0,1.02721667,1,1.61303914,0.12315599,pairwise,0.21565104,0.07882056,47,11,0.72885072,0,0.26972371,0.70642602,1.48701739,0.50280488,0.54678726,0.79490125,0.0,2048
8,0,1,0,0.74662191,0,1.58605766,0.1965349,pairwise,0.20094411,0.03189872,48,11,0.76383823,1,0.32193163,0.64997363,0.26939929,0.56517673,0.54916126,0.59082764,0.0,2048
8,0,1,0,0.51316881,0,1.93904114,0.20419781,pairwise,0.22356741,0.0262491,49,11,0.5192126,1,0.35602611,0.99127674,0.65544176,0.18899855,0.53188127,0.91869289,0.0,2048
8,0,1,1,1.00628686,1,1.65314639,0.10024275,pairwise,0.30256945,0.04921905,50,11,0.64981592,0,0.22233374,0.82029283,1.2660948,0.36788544,0.54421806,0.79463536,0.0,2048
8,0,1,0,0.66284174,0,1.5845691,0.17341518,pairwise,0.21718445,0.03897815,51,11,0.76345509,1,0.32845926,0.65091181,0.26990095,0.56466448,0.54889905,0.89635652,0.0,2048
8,0,1,1,0.73476696,1,1.77682269,0.14229129,pairwise,0.32489806,0.01713554,52,11,0.38650209,0,0.21834165,1.08504939,1.03804839,0.03235695,0.53818482,0.94164866,0.0,2048
8,0,0,0,1.10750198,0,1.81636286,0.18609719,pairwise,0.2082862,0.01977289,53,11,0.42919353,0,0.23172124,1.05615759,1.00744939,0.06404439,0.53690517,0.51977289,0.0,2048
8,1,0,0,1.30520821,0,1.68528819,0.15895081,pairwise,0.21494195,0.01088018,54,11,0.54733497,1,0.20561922,0.93755877,0.60269427,0.20282912,0.54246438,0.79323697,0.0,2048
8,0,1,1,0.91657859,1,1.71097708,0.15554942,pairwise,0.22877669,0.03961975,55,11,0.43560329,0,0.18828198,1.03636539,1.72796416,0.04885226,0.54120588,0.8127746,0.0,2048
8,0,0,0,1.0023793,1,1.7016983,0.13746184,pairwise,0.2712236,0.01332243,56,11,0.50567073,0,0.19283441,0.98067111,1.01722991,0.14407551,0.54203963,0.58887041,0.0,2048
8,0,0,0,1.8483367,0,1.819525,0.13963202,pairwise,0.29947403,0.02252775,57,11,0.43486199,0,0.24804121,1.05370057,1.59411049,0.07281303,0.53635597,0.97747225,0.0,2048
8,0,1,0,0.71961004,0,1.79151511,0.16437335,pairwise,0.24773993,0.01859205,58,11,0.38387129,1,0.23196028,1.07522476,0.95744801,0.00217485,0.53738821,0.86202675,0.0,2048
8,1,0,0,1.05421448,0,1.7619158,0.11109405,pairwise,0.24559529,0.07149441,59,11,0.39297643,1,0.19699436,1.09015095,0.93400562,0.07524315,0.53916991,0.65229255,0.0,2048
8,1,0,0,1.15167367,0,1.64707386,0.10473498,pairwise,0.27384326,0.04541004,60,11,0.67119294,1,0.22262608,0.79135346,0.39869869,0.40359387,0.54485005,0.66830426,0.0,2048
8,0,1,0,0.60851699,0,1.82725191,0.31868458,pairwise,0.19489951,0.00745976,61,11,0.44386405,1,0.23592621,1.04921257,0.81223696,0.0862053,0.53677762,0.53199071,0.0,2048
8,0,0,0,1.02287948,0,1.7101438,0.12780449,pairwise,0.26285622,0.01624829,62,11,0.43652025,0,0.19820604,1.03506351,0.94840908,0.04916346,0.54104966,0.89544511,0.0,2048
8,0,1,0,0.58027029,0,1.57451379,0.1663457,pairwise,0.20853518,0.02067939,63,11,0.77355772,1,0.35331899,0.63354582,0.25675493,0.58277321,0.54979986,0.79639584,0.0,2048
8,0,1,1,0.77121937,1,1.74324334,0.25924566,pairwise,0.21835791,0.01367971,64,11,0.3973237,0,0.19424266,1.07918167,1.40517879,0.03997067,0.5402633,0.48632029,0.0,2048
8,0,0,0,0.99739671,0,1.71082866,0.23469056,pairwise,0.20086977,0.01030988,65,11,0.46278185,0,0.19079009,1.01660991,0.9720521,0.08447593,0.54161859,0.57414818,0.0,2048
8,0,0,0,1.89355588,0,1.81213617,0.1700177,pairwise,0.19345196,0.05534088,66,11,0.42611501,0,0.23087883,1.05771101,1.5724597,0.05976409,0.53692585,0.56986737,0.0,2048
8,0,1,0,0.51061767,0,1.94502151,0.19413488,pairwise,0.19923469,0.03481971,67,11,0.51779884,1,0.36227956,0.99104035,0.65816849,0.18507481,0.53160441,0.90407449,0.0,2048
8,0,0,0,1.05117381,1,1.59418356,0.1421601,pairwise,0.22267917,0.03940064,68,11,0.75461686,0,0.30680072,0.66539121,1.58016062,0.54867482,0.54838705,0.64418828,0.0,2048
8,0,1,0,0.73030752,0,1.58595896,0.16691937,pairwise,0.21921621,0.01142681,69,11,0.76370442,1,0.32589722,0.65011376,0.26957446,0.56488526,0.54909867,0.60954714,0.0,2048
8,0,1,0,0.57106596,0,1.88894165,0.12952083,pairwise,0.30015925,0.06911951,70,11,0.50084209,1,0.31556752,1.00962043,0.69146436,0.16629252,0.53358507,0.91738647,0.0,2048
8,0,0,0,1.19425464,0,1.9080317,0.15697567,pairwise,0.20928323,0.0479769,71,11,0.50701511,0,0.3312484,1.0022763,1.09369421,0.17203838,0.53291547,0.85612875,0.0,2048
8,0,1,0,0.55113792,0,1.5667088,0.1549529,pairwise,0.20050062,0.00892681,72,11,0.78193486,1,0.37310362,0.61879206,0.24598385,0.59784448,0.55081713,0.6704402,0.0,2048
8,0,1,0,0.54960001,0,1.90264404,0.18744373,pairwise,0.21139149,0.03039074,73,11,0.50405711,1,0.32019979,1.00469661,0.68506569,0.16773784,0.53319538,0.87115586,0.0,2048
8,0,0,0,1.12486005,1,1.58759022,0.15368135,pairwise,0.25204372,0.02282708,74,11,0.76033288,0,0.32403648,0.65644777,1.60399127,0.55924058,0.54864037,0.8363111,0.0,2048
8,0,1,0,0.60188055,0,1.56469476,0.15378225,pairwise,0.25395638,0.00764543,75,11,0.78406054,1,0.38917488,0.61566764,0.24326904,0.6020751,0.5515036,0.50764543,0.0,2048
8,0,1,1,0.78016174,1,1.74124527,0.18618385,pairwise,0.23941612,0.00393072,76,11,0.39823082,0,0.19887105,1.07530439,1.44387937,0.03247201,0.54033303,0.49606928,0.0,2048
8,0,0,0,1.12063527,0,1.82206905,0.15558484,pairwise,0.2470926,0.01907363,77,11,0.43699312,0,0.25417423,1.05164349,1.01402545,0.07423735,0.53612906,0.90687293,0.0,2048
8,1,0,0,1.37825274,0,1.70613956,0.14303187,pairwise,0.28403586,0.06109451,78,11,0.45827031,1,0.19891968,1.01980782,0.78029603,0.07814822,0.54129374,0.93613458,0.0,2048
8,0,1,0,0.63456047,0,1.81625497,0.23227713,pairwise,0.20337732,0.03086203,79,11,0.43324611,1,0.22743616,1.05532491,0.83644938,0.07190809,0.53703797,0.63963652,0.0,2048
8,0,0,0,1.12456369,1,1.59232235,0.14043181,pairwise,0.24984844,0.04550252,80,11,0.75442994,0,0.30695391,0.66627073,1.58113015,0.54868746,0.54808062,0.92090011,0.0,2048
8,0,0,0,1.96607852,0,1.83413839,0.09899645,pairwise,0.25311571,0.08971902,81,11,0.45648134,0,0.24794902,1.04088569,1.66263294,0.10260168,0.53605342,0.68863708,0.0,2048
8,0,1,0,0.63856423,0,1.81596613,0.31046867,pairwise,0.17539604,0.01676971,82,11,0.43254173,1,0.22854306,1.05524039,0.83807647,0.07012779,0.53700626,0.56073558,0.0,2048
8,1,0,0,1.07432771,0,1.77110362,0.14053276,pairwise,0.26790518,0.04293966,83,11,0.39116928,1,0.22029284,1.08621001,0.93861485,0.04753244,0.53823638,0.92065841,0.0,2048
8,0,0,0,1.8259151,0,1.79547226,0.10175063,pairwise,0.2554881,0.04154488,84,11,0.40261069,0,0.21983179,1.06982636,1.49110019,0.03034624,0.53758675,0.76599157,0.0,2048
8,0,1,1,0.78712797,1,1.74923217,0.13916041,pairwise,0.2304976,0.04496031,85,11,0.39722839,0,0.19184589,1.08907342,1.24530554,0.08230975,0.53958869,0.64596641,0.0,2048
8,0,0,0,1.22946835,0,1.92892265,0.12924431,pairwise,0.2553122,0.05917759,86,11,0.51658154,0,0.32753509,0.9938035,1.10527027,0.18546018,0.53288054,0.5833593,0.0,2048
8,0,1,0,0.38968486,0,1.54697073,0.17557576,pairwise,0.20771834,0.02625964,87,11,0.80183941,1,0.46076655,0.58265358,0.22084695,0.63401097,0.55386394,0.55332631,0.0,2048
8,0,1,1,0.84029031,1,1.72441649,0.20680413,pairwise,0.20813462,0.03575311,88,11,0.41563845,0,0.19131199,1.04893804,1.64952803,0.02341744,0.54088169,0.64528579,0.0,2048
