background_objects,branch_accuracy,corruption,frontier_causal_recall_mean,identity_coverage,majority_accuracy,model,model_causal_recall_mean,mse,object_confidence,object_count_mean,objectification_score,relation_confidence,relation_count_mean,relation_validity,seed,selected_k_mean,total_objects_n
32,0.5,position_noise,1.0,1.0,0.333333,graph-transformer,1.0,0.073105,0.99,36.416667,0.944231,0.731154,36.416667,1.0,11,4.45,37
32,0.472222,low_confidence,1.0,1.0,0.333333,graph-transformer,1.0,0.07437,0.5445,36.416667,0.789327,0.402135,36.416667,1.0,11,4.45,37
32,0.5,identity_swap,1.0,1.0,0.333333,graph-transformer,1.0,0.07299,0.99,36.416667,0.944231,0.731154,36.416667,1.0,11,4.45,37
32,0.472222,combined,0.784722,1.0,0.333333,graph-transformer,1.0,0.072555,0.693,31.583333,0.839911,0.506556,30.166667,1.0,11,4.2,37
32,0.5,clean,1.0,1.0,0.333333,graph-transformer,1.0,0.080701,0.99,36.444444,0.944261,0.731305,36.444444,1.0,13,4.475,37
32,0.5,drop_relations_light,0.845833,1.0,0.333333,graph-transformer,1.0,0.080082,0.99,36.444444,0.942765,0.723826,35.277778,1.0,13,4.475,37
32,0.5,drop_relations_heavy,0.593056,1.0,0.333333,graph-transformer,1.0,0.079485,0.99,36.444444,0.940631,0.713154,33.75,1.0,13,4.475,37
32,0.5,position_noise,1.0,1.0,0.333333,graph-transformer,1.0,0.080806,0.99,36.444444,0.944261,0.731305,36.444444,1.0,13,4.475,37
32,0.5,low_confidence,1.0,1.0,0.333333,graph-transformer,1.0,0.099168,0.5445,36.444444,0.789344,0.402218,36.444444,1.0,13,4.475,37
32,0.5,identity_swap,1.0,1.0,0.333333,graph-transformer,1.0,0.080915,0.99,36.444444,0.944261,0.731305,36.444444,1.0,13,4.475,37
32,0.527778,combined,0.718056,1.0,0.333333,graph-transformer,1.0,0.086821,0.693,31.611111,0.83967,0.505351,30.083333,1.0,13,4.15,37
