row_type,seed,sample_index,background_objects,branch_count,total_objects,total_relations,selected_objects,selected_relations,objectification_score,full_tensor_bytes,selected_tensor_bytes,tensor_byte_reduction,full_tensorize_ms,selected_tensorize_ms,tensorize_latency_reduction,full_state_memory_bytes,selected_state_memory_bytes,selected_state_memory_reduction,branch_overlay_bytes,base_plus_overlay_bytes,full_copy_branch_bytes,branch_memory_reduction,dense_object_work_proxy,sparse_object_work_proxy,work_proxy_reduction,full_graph_forward_ms,selected_sparse_forward_ms,selected_local_dense_forward_ms,sparse_forward_latency_reduction,local_dense_forward_latency_reduction,sample_count
sample,13,3,32,8,37,37,5,5,0.944865,2486,374,0.849558,1.313200,0.224400,0.829120,5624,760,0.864865,2176,7800,44992,0.826636,10952,200,0.981738,6.116733,0.941167,1.726300,0.846132,0.717774,1
sample,13,4,32,1,37,37,5,5,0.944865,2486,374,0.849558,1.264300,0.215600,0.829471,5624,760,0.864865,272,5896,5624,0.000000,1369,25,0.981738,6.274833,1.148300,1.569100,0.816999,0.749938,1
sample,13,4,32,3,37,37,5,5,0.944865,2486,374,0.849558,1.301400,0.218400,0.832181,5624,760,0.864865,816,6440,16872,0.618303,4107,75,0.981738,6.250767,1.154533,1.630667,0.815297,0.739125,1
sample,13,4,32,8,37,37,5,5,0.944865,2486,374,0.849558,1.299500,0.215200,0.834398,5624,760,0.864865,2176,7800,44992,0.826636,10952,200,0.981738,6.243033,1.362133,1.608033,0.781815,0.742428,1
sample,13,5,32,1,37,37,5,5,0.944865,2486,374,0.849558,1.322600,0.225500,0.829502,5624,760,0.864865,272,5896,5624,0.000000,1369,25,0.981738,6.196300,1.137567,1.780200,0.816412,0.712700,1
sample,13,5,32,3,37,37,5,5,0.944865,2486,374,0.849558,1.298500,0.217100,0.832807,5624,760,0.864865,816,6440,16872,0.618303,4107,75,0.981738,5.915533,1.122567,1.631833,0.810234,0.724144,1
sample,13,5,32,8,37,37,5,5,0.944865,2486,374,0.849558,1.353200,0.227100,0.832176,5624,760,0.864865,2176,7800,44992,0.826636,10952,200,0.981738,6.424900,0.893600,1.665067,0.860916,0.740842,1
sample,13,6,32,1,36,36,4,4,0.943778,2420,308,0.872727,1.634200,0.262000,0.839677,5472,608,0.888889,272,5744,5472,0.000000,1296,16,0.987654,6.328467,1.065533,1.511133,0.831629,0.761217,1
sample,13,6,32,3,36,36,4,4,0.943778,2420,308,0.872727,1.077500,0.140800,0.869327,5472,608,0.888889,816,6288,16416,0.616959,3888,48,0.987654,6.066200,0.927367,1.542467,0.847126,0.745728,1
sample,13,6,32,8,36,36,4,4,0.943778,2420,308,0.872727,1.287000,0.208500,0.837995,5472,608,0.888889,2176,7648,43776,0.825292,10368,128,0.987654,6.139400,0.859167,2.032333,0.860057,0.668969,1
sample,13,7,32,1,36,36,4,4,0.943778,2420,308,0.872727,1.259300,0.186800,0.851664,5472,608,0.888889,272,5744,5472,0.000000,1296,16,0.987654,5.840633,0.847167,1.561833,0.854953,0.732592,1
sample,13,7,32,3,36,36,4,4,0.943778,2420,308,0.872727,1.278000,0.185700,0.854695,5472,608,0.888889,816,6288,16416,0.616959,3888,48,0.987654,5.807100,0.862467,2.046667,0.851481,0.647558,1
sample,13,7,32,8,36,36,4,4,0.943778,2420,308,0.872727,1.965900,0.205100,0.895671,5472,608,0.888889,2176,7648,43776,0.825292,10368,128,0.987654,5.638533,0.931633,1.596633,0.834774,0.716835,1
sample,13,0,128,1,132,132,4,4,0.939576,8756,308,0.964824,4.284800,0.201500,0.952973,20064,608,0.969697,272,20336,20064,0.000000,17424,16,0.999082,19.094133,0.830800,1.566700,0.956489,0.917949,1
sample,13,0,128,3,132,132,4,4,0.939576,8756,308,0.964824,4.336800,0.187200,0.956835,20064,608,0.969697,816,20880,60192,0.653110,52272,48,0.999082,19.614800,0.837700,1.560233,0.957292,0.920456,1
sample,13,0,128,8,132,132,4,4,0.939576,8756,308,0.964824,4.384400,0.189800,0.956710,20064,608,0.969697,2176,22240,160512,0.861443,139392,128,0.999082,18.165367,0.827467,1.546667,0.954448,0.914856,1
sample,13,1,128,1,132,132,4,4,0.939576,8756,308,0.964824,4.260000,0.188700,0.955704,20064,608,0.969697,272,20336,20064,0.000000,17424,16,0.999082,19.050767,0.888600,1.454767,0.953356,0.923637,1
sample,13,1,128,3,132,132,4,4,0.939576,8756,308,0.964824,4.380000,0.211300,0.951758,20064,608,0.969697,816,20880,60192,0.653110,52272,48,0.999082,19.256967,0.832000,1.460300,0.956795,0.924168,1
