total_n,k_ref,missing_rate,false_positive_rate,selected_k,recall,precision,false_non_causal_selected,affected_fraction,objects_examined,relations_examined,candidate_scope_size,touch_units,full_scan_units,touch_ratio,latency_ms
512,16,0.5,0.25,20,1.0,0.8,4,0.0390625,17,14,16,31,526,0.05893536,0.1073
2048,4,0.0,0.0,4,1.0,1.0,0,0.00195312,5,3,4,8,2051,0.00390054,0.026
2048,4,0.0,0.1,4,1.0,1.0,0,0.00195312,5,3,4,8,2051,0.00390054,0.024
2048,4,0.0,0.25,5,1.0,0.8,1,0.00244141,5,4,4,9,2052,0.00438596,0.0254
2048,4,0.25,0.0,4,1.0,1.0,0,0.00195312,5,2,4,7,2050,0.00341463,0.0221
2048,4,0.25,0.1,4,1.0,1.0,0,0.00195312,5,2,4,7,2050,0.00341463,0.0223
2048,4,0.25,0.25,5,1.0,0.8,1,0.00244141,5,4,4,9,2052,0.00438596,0.0268
2048,4,0.5,0.0,4,1.0,1.0,0,0.00195312,5,1,4,6,2049,0.00292826,0.0213
2048,4,0.5,0.1,4,1.0,1.0,0,0.00195312,5,2,4,7,2050,0.00341463,0.0215
2048,4,0.5,0.25,5,1.0,0.8,1,0.00244141,5,3,4,8,2051,0.00390054,0.0243
2048,8,0.0,0.0,8,1.0,1.0,0,0.00390625,9,7,8,16,2055,0.00778589,0.0373
2048,8,0.0,0.1,9,1.0,0.888889,1,0.00439453,9,8,8,17,2056,0.00826848,0.0386
2048,8,0.0,0.25,10,1.0,0.8,2,0.00488281,9,9,8,18,2057,0.00875061,0.0603
2048,8,0.25,0.0,8,1.0,1.0,0,0.00390625,9,4,8,13,2052,0.00633528,0.0503
2048,8,0.25,0.1,9,1.0,0.888889,1,0.00439453,9,7,8,16,2055,0.00778589,0.1168
2048,8,0.25,0.25,10,1.0,0.8,2,0.00488281,9,7,8,16,2055,0.00778589,0.0856
2048,8,0.5,0.0,8,1.0,1.0,0,0.00390625,9,4,8,13,2052,0.00633528,0.0517
2048,8,0.5,0.1,9,1.0,0.888889,1,0.00439453,9,4,8,13,2052,0.00633528,0.0662
2048,8,0.5,0.25,10,1.0,0.8,2,0.00488281,9,7,8,16,2055,0.00778589,0.0545
2048,16,0.0,0.0,16,1.0,1.0,0,0.0078125,17,15,16,32,2063,0.01551139,0.0699
2048,16,0.0,0.1,18,1.0,0.888889,2,0.00878906,17,17,16,34,2065,0.01646489,0.0719
2048,16,0.0,0.25,20,1.0,0.8,4,0.00976562,17,19,16,36,2067,0.01741655,0.0934
2048,16,0.25,0.0,16,1.0,1.0,0,0.0078125,17,10,16,27,2058,0.01311953,0.0637
2048,16,0.25,0.1,18,1.0,0.888889,2,0.00878906,17,13,16,30,2061,0.01455604,0.0657
2048,16,0.25,0.25,20,1.0,0.8,4,0.00976562,17,15,16,32,2063,0.01551139,0.0713
2048,16,0.5,0.0,16,1.0,1.0,0,0.0078125,17,7,16,24,2055,0.01167883,0.0576
2048,16,0.5,0.1,18,1.0,0.888889,2,0.00878906,17,7,16,24,2055,0.01167883,0.0623
2048,16,0.5,0.25,20,1.0,0.8,4,0.00976562,17,10,16,27,2058,0.01311953,0.0673
