row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,wpu-cws-indexed-sparse,11,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.125,0.4375,0.075488,1.096975,0.670329,0.269562,4.4375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.4375,0.4375,0.416049,1.059943,0.642397,0.079274,4.4375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.25,0.6875,0.254594,1.083892,0.66026,0.145346,4.4375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.0625,0.9375,0.081993,1.18126,0.723565,0.329739,4.9375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.375,0.5625,0.288485,1.006452,0.609027,0.318155,4.0625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.5625,0.5625,1.138702,1.052444,0.63481,0.153885,4.4375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.0625,0.75,0.153542,1.170246,0.716802,0.330445,4.9375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.625,0.5625,0.145241,1.125418,0.68183,0.257071,4.5625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.75,0.4375,0.264069,1.057746,0.639031,0.38963,4.5625,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,16,0.25,0.75,0.224605,1.148193,0.697866,0.118209,4.5625,1.0,0.0,1
