mode,total_n,dual_omission,escape_rate,observation_budget,horizon,streams,mean_selected_k,max_selected_k,causal_recall,causal_precision,trajectory_mse,state_integrity,false_updates,observation_hit_rate,observation_cost,work_proxy,bytes_proxy
wpu-uncertainty-observation,8192,0.75,0.5,2,25,24,32.0,32.0,0.854167,0.213542,0.139473,0.879253,25.166667,0.620833,2.0,32.0,1152.0
dense-state-copy,8192,0.75,0.5,2,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,8192,0.75,0.5,4,25,24,24.0,24.0,0.567708,0.189236,0.250414,0.80164,19.458333,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,8192,0.75,0.5,4,25,24,32.0,32.0,0.942708,0.235677,0.098974,0.911272,24.458333,0.968254,4.0,32.0,1152.0
dense-state-copy,8192,0.75,0.5,4,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,8192,0.75,0.5,8,25,24,24.0,24.0,0.552083,0.184028,0.255797,0.799584,19.583333,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,8192,0.75,0.5,8,25,24,32.0,32.0,0.973958,0.24349,0.08328,0.923752,24.208333,1.0,8.0,32.0,1152.0
dense-state-copy,8192,0.75,0.5,8,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,8192,0.75,0.75,0,25,24,24.0,24.0,0.34375,0.114583,0.347778,0.743522,21.25,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,8192,0.75,0.75,0,25,24,24.0,24.0,0.421875,0.140625,0.315829,0.763405,20.625,0.0,0.0,24.0,864.0
dense-state-copy,8192,0.75,0.75,0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,8192,0.75,0.75,2,25,24,24.0,24.0,0.385417,0.128472,0.331185,0.754132,20.916667,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,8192,0.75,0.75,2,25,24,32.0,32.0,0.640625,0.160156,0.237774,0.811819,26.875,0.468353,2.0,32.0,1152.0
dense-state-copy,8192,0.75,0.75,2,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,8192,0.75,0.75,4,25,24,24.0,24.0,0.401042,0.133681,0.32376,0.756785,20.791667,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,8192,0.75,0.75,4,25,24,32.0,32.0,0.880208,0.220052,0.12618,0.890152,24.958333,0.900198,4.0,32.0,1152.0
dense-state-copy,8192,0.75,0.75,4,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,8192,0.75,0.75,8,25,24,24.0,24.0,0.395833,0.131944,0.323295,0.757747,20.833333,0.0,0.0,24.0,864.0
wpu-uncertainty-observation,8192,0.75,0.75,8,25,24,32.0,32.0,0.942708,0.235677,0.098747,0.911576,24.458333,1.0,8.0,32.0,1152.0
dense-state-copy,8192,0.75,0.75,8,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
