model,test_seed,feature_count,compute_cost,samples,target_mean,prediction_mean,regret_mse,regret_mae,regret_r2,regret_pearson,dense_rate,oracle_dense_rate,policy_loss,sparse_loss,dense_loss,oracle_loss,policy_delta_vs_sparse,policy_excess_over_oracle,policy_accuracy,sparse_accuracy,dense_accuracy,oracle_accuracy,residual_clip
state_base_plus_clipped_diag_0.02,13,17,0.02,270,-0.004662,0.010004,0.088832,0.2437,0.11968,0.352604,0.337037,0.62963,0.945508,0.972575,0.987913,0.862419,-0.027068,0.083089,0.474074,0.477778,0.485185,0.581481,0.02
state_base_plus_clipped_diag_0.02,13,17,0.05,270,-0.004662,0.010004,0.088832,0.2437,0.11968,0.352604,0.248148,0.577778,0.952594,0.972575,1.017914,0.880489,-0.019982,0.072104,0.474074,0.477778,0.485185,0.581481,0.02
state_base_plus_clipped_diag_0.02,13,17,0.1,270,-0.004662,0.010004,0.088832,0.2437,0.11968,0.352604,0.159259,0.522222,0.963211,0.972575,1.067914,0.908283,-0.009364,0.054928,0.477778,0.477778,0.485185,0.581481,0.02
state_base_plus_clipped_diag_0.05,13,17,0.02,270,-0.004662,0.010735,0.092159,0.247476,0.086706,0.314567,0.348148,0.62963,0.953722,0.972575,0.987913,0.862419,-0.018853,0.091303,0.477778,0.477778,0.485185,0.581481,0.05
state_base_plus_clipped_diag_0.05,13,17,0.05,270,-0.004662,0.010735,0.092159,0.247476,0.086706,0.314567,0.255556,0.577778,0.957754,0.972575,1.017914,0.880489,-0.014821,0.077265,0.481481,0.477778,0.485185,0.581481,0.05
state_base_plus_clipped_diag_0.05,13,17,0.1,270,-0.004662,0.010735,0.092159,0.247476,0.086706,0.314567,0.155556,0.522222,0.967256,0.972575,1.067914,0.908283,-0.005319,0.058973,0.481481,0.477778,0.485185,0.581481,0.05
state_base_plus_clipped_diag_0.1,13,17,0.02,270,-0.004662,0.012716,0.097629,0.253313,0.032497,0.262679,0.351852,0.62963,0.962545,0.972575,0.987913,0.862419,-0.01003,0.100127,0.485185,0.477778,0.485185,0.581481,0.1
state_base_plus_clipped_diag_0.1,13,17,0.05,270,-0.004662,0.012716,0.097629,0.253313,0.032497,0.262679,0.281481,0.577778,0.971026,0.972575,1.017914,0.880489,-0.001549,0.090537,0.488889,0.477778,0.485185,0.581481,0.1
state_base_plus_clipped_diag_0.1,13,17,0.1,270,-0.004662,0.012716,0.097629,0.253313,0.032497,0.262679,0.155556,0.522222,0.967194,0.972575,1.067914,0.908283,-0.005381,0.058911,0.485185,0.477778,0.485185,0.581481,0.1
state_base_plus_clipped_diag_0,17,17,0.02,270,0.013913,-0.002913,0.066001,0.175434,0.222307,0.47512,0.414815,0.607407,0.97431,0.996715,1.030629,0.914135,-0.022405,0.060176,0.5,0.488889,0.47037,0.574074,0.0
state_base_plus_clipped_diag_0,17,17,0.05,270,0.013913,-0.002913,0.066001,0.175434,0.222307,0.47512,0.333333,0.577778,0.980812,0.996715,1.060629,0.931785,-0.015904,0.049027,0.496296,0.488889,0.47037,0.574074,0.0
state_base_plus_clipped_diag_0,17,17,0.1,270,0.013913,-0.002913,0.066001,0.175434,0.222307,0.47512,0.214815,0.418519,0.98544,0.996715,1.110629,0.957319,-0.011275,0.028121,0.488889,0.488889,0.47037,0.574074,0.0
state_base_plus_clipped_diag_0.01,17,17,0.02,270,0.013913,-0.007565,0.06591,0.174794,0.223379,0.478464,0.444444,0.607407,0.978433,0.996715,1.030629,0.914135,-0.018282,0.064298,0.492593,0.488889,0.47037,0.574074,0.01
state_base_plus_clipped_diag_0.01,17,17,0.05,270,0.013913,-0.007565,0.06591,0.174794,0.223379,0.478464,0.344444,0.577778,0.98148,0.996715,1.060629,0.931785,-0.015235,0.049695,0.492593,0.488889,0.47037,0.574074,0.01
state_base_plus_clipped_diag_0.01,17,17,0.1,270,0.013913,-0.007565,0.06591,0.174794,0.223379,0.478464,0.225926,0.418519,0.987097,0.996715,1.110629,0.957319,-0.009619,0.029778,0.488889,0.488889,0.47037,0.574074,0.01
state_base_plus_clipped_diag_0.02,17,17,0.02,270,0.013913,-0.012455,0.066067,0.174584,0.221533,0.479351,0.481481,0.607407,0.974943,0.996715,1.030629,0.914135,-0.021773,0.060808,0.503704,0.488889,0.47037,0.574074,0.02
state_base_plus_clipped_diag_0.02,17,17,0.05,270,0.013913,-0.012455,0.066067,0.174584,0.221533,0.479351,0.340741,0.577778,0.980916,0.996715,1.060629,0.931785,-0.015799,0.049131,0.496296,0.488889,0.47037,0.574074,0.02
state_base_plus_clipped_diag_0.02,17,17,0.1,270,0.013913,-0.012455,0.066067,0.174584,0.221533,0.479351,0.22963,0.418519,0.988564,0.996715,1.110629,0.957319,-0.008151,0.031245,0.488889,0.488889,0.47037,0.574074,0.02
state_base_plus_clipped_diag_0.05,17,17,0.02,270,0.013913,-0.025838,0.067063,0.175335,0.209787,0.478098,0.518519,0.607407,0.976913,0.996715,1.030629,0.914135,-0.019802,0.062778,0.514815,0.488889,0.47037,0.574074,0.05
state_base_plus_clipped_diag_0.05,17,17,0.05,270,0.013913,-0.025838,0.067063,0.175335,0.209787,0.478098,0.425926,0.577778,0.984501,0.996715,1.060629,0.931785,-0.012214,0.052716,0.503704,0.488889,0.47037,0.574074,0.05
