row_type,model,seed,train_mechanism,eval_mechanism,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,wpu-cws-indexed-local-dense,19,nominal,edge_shift,32,37,36,0.361111,0.555556,0.382087,1.014638,0.629653,0.255896,4.4,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,19,nominal,catch_heavy,32,37,36,0.5,0.777778,0.071082,1.015726,0.648731,0.196931,4.825,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,23,nominal,nominal,32,37,36,0.5,0.472222,0.189993,1.071075,0.655152,0.153951,4.275,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,23,nominal,high_force,32,37,36,0.472222,0.472222,0.837928,1.14081,0.702223,0.294234,4.275,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,23,nominal,edge_shift,32,37,36,0.666667,0.444444,0.677822,0.838591,0.484654,0.134337,4.275,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,23,nominal,catch_heavy,32,37,36,0.277778,0.722222,0.172227,1.166998,0.76502,0.410565,4.775,1.0,1.0,1
seed,graph-transformer,11,nominal,nominal,32,37,36,0.333333,0.444444,0.047051,1.123198,0.712704,0.233337,4.375,1.0,1.0,1
seed,graph-transformer,11,nominal,high_force,32,37,36,0.444444,0.444444,0.126822,1.406945,0.814694,0.374612,4.375,1.0,1.0,1
seed,graph-transformer,11,nominal,edge_shift,32,37,36,0.444444,0.527778,0.08126,1.125827,0.669997,0.134523,4.375,1.0,1.0,1
seed,graph-transformer,11,nominal,catch_heavy,32,37,36,0.416667,0.805556,0.043443,1.158187,0.752368,0.269922,4.8,1.0,1.0,1
seed,graph-transformer,13,nominal,nominal,32,37,36,0.388889,0.444444,0.041982,1.151803,0.725838,0.202545,4.35,1.0,1.0,1
seed,graph-transformer,13,nominal,high_force,32,37,36,0.416667,0.416667,0.130101,1.500602,0.877467,0.411992,4.35,1.0,1.0,1
seed,graph-transformer,13,nominal,edge_shift,32,37,36,0.5,0.555556,0.079559,1.134272,0.664929,0.2557,4.35,1.0,1.0,1
seed,graph-transformer,13,nominal,catch_heavy,32,37,36,0.305556,0.805556,0.037781,1.263885,0.82595,0.441006,4.825,1.0,1.0,1
seed,graph-transformer,17,nominal,nominal,32,37,36,0.305556,0.444444,0.028162,1.0798,0.687338,0.322808,4.4,1.0,1.0,1
seed,graph-transformer,17,nominal,high_force,32,37,36,0.361111,0.361111,0.083591,1.711364,0.972601,0.484348,4.4,1.0,1.0,1
seed,graph-transformer,17,nominal,edge_shift,32,37,36,0.305556,0.555556,0.065049,1.12598,0.674941,0.305921,4.4,1.0,1.0,1
seed,graph-transformer,17,nominal,catch_heavy,32,37,36,0.5,0.777778,0.023935,1.184629,0.755667,0.357794,4.8,1.0,1.0,1
seed,graph-transformer,19,nominal,nominal,32,37,36,0.527778,0.444444,0.032972,0.939617,0.587363,0.13968,4.4,1.0,1.0,1
seed,graph-transformer,19,nominal,high_force,32,37,36,0.388889,0.361111,0.09663,1.214219,0.737671,0.290703,4.4,1.0,1.0,1
seed,graph-transformer,19,nominal,edge_shift,32,37,36,0.638889,0.555556,0.070579,0.94389,0.57206,0.217383,4.4,1.0,1.0,1
seed,graph-transformer,19,nominal,catch_heavy,32,37,36,0.222222,0.777778,0.029371,1.040075,0.67264,0.295737,4.825,1.0,1.0,1
seed,graph-transformer,23,nominal,nominal,32,37,36,0.5,0.472222,0.030857,1.090581,0.666394,0.209651,4.275,1.0,1.0,1
seed,graph-transformer,23,nominal,high_force,32,37,36,0.472222,0.472222,0.123382,1.267058,0.739382,0.350477,4.275,1.0,1.0,1
seed,graph-transformer,23,nominal,edge_shift,32,37,36,0.722222,0.444444,0.093297,0.836988,0.488806,0.207156,4.275,1.0,1.0,1
seed,graph-transformer,23,nominal,catch_heavy,32,37,36,0.166667,0.722222,0.026547,1.280588,0.810449,0.410782,4.775,1.0,1.0,1
seed,serialized-token,11,nominal,nominal,32,37,36,0.416667,0.444444,0.020365,0.998451,0.6216,0.056199,4.375,1.0,1.0,1
seed,serialized-token,11,nominal,high_force,32,37,36,0.5,0.444444,0.076117,1.058582,0.642118,0.105041,4.375,1.0,1.0,1
seed,serialized-token,11,nominal,edge_shift,32,37,36,0.444444,0.527778,0.056691,1.101334,0.660131,0.120144,4.375,1.0,1.0,1
seed,serialized-token,11,nominal,catch_heavy,32,37,36,0.472222,0.805556,0.016193,0.9258,0.580738,0.185017,4.8,1.0,1.0,1
seed,serialized-token,13,nominal,nominal,32,37,36,0.388889,0.444444,0.016404,1.020689,0.639183,0.145681,4.35,1.0,1.0,1
seed,serialized-token,13,nominal,high_force,32,37,36,0.416667,0.416667,0.065028,1.190883,0.731718,0.271056,4.35,1.0,1.0,1
seed,serialized-token,13,nominal,edge_shift,32,37,36,0.5,0.555556,0.052475,1.043515,0.62967,0.118721,4.35,1.0,1.0,1
