accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,deployment_reject_margin,deployment_risk_adjusted,deployment_risk_penalty,excess_over_candidate_oracle,gate_steps,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,loss,no_harm_margin,oracle_match_rate,policy,predicted_regret_mean,predicted_sigma_mean,propagation_steps,regret_corr,regret_retriever_steps,reject_margin,retriever_steps,risk_penalty,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,selection_train_accept_rate,selection_train_gap_closure,selection_train_harmful_accept_rate,selection_train_loss,selection_train_policy,test_samples,total_objects_n,train_candidate_regret_accept_rate,train_candidate_regret_gate_loss,train_seed_count,train_static_learned_loss,train_uncertainty_regret_accept_rate,train_uncertainty_regret_gate_loss,validation_samples_per_seed
0.277778,0.511111,4,0.940478,8,600,0.01,1.0,0.5,0.03143,600,4,0.155556,11,pairwise,0.971908,0.0,0.033333,uncertainty_regret_gate_r0p5_m0p01,-0.007557,0.050411,40,0.005311,600,0.0,400,0.5,11,0.155556,0.011111,0.0,0.166667,0.0,0.055556,0.0,0.0,0.055556,0.0,0.0,0.722222,0.055556,,,,,,90,2048,1.0,0.967642,4,0.981228,0.740278,0.969248,180
0.044444,0.5,4,0.940478,8,600,0.02,1.0,0.5,0.031349,600,4,0.033333,11,pairwise,0.971827,0.0,0.022222,uncertainty_regret_gate_r0p5_m0p02,-0.007557,0.050411,40,0.005311,600,0.0,400,0.5,11,0.0,0.0,0.0,0.0,0.0,0.022222,0.0,0.0,0.022222,0.0,0.0,0.955556,0.022222,,,,,,90,2048,1.0,0.967642,4,0.981228,0.740278,0.969248,180
0.0,0.5,4,0.940478,8,600,0.05,1.0,0.5,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,uncertainty_regret_gate_r0p5_m0p05,-0.007557,0.050411,40,0.005311,600,0.0,400,0.5,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,1.0,0.967642,4,0.981228,0.740278,0.969248,180
0.211111,0.511111,4,0.940478,8,600,0.0,1.0,0.75,0.032525,600,4,0.133333,11,pairwise,0.973003,0.0,0.033333,uncertainty_regret_gate_r0p75_m0,-0.007557,0.050411,40,0.005311,600,0.0,400,0.5,11,0.1,0.011111,0.0,0.111111,0.0,0.044444,0.0,0.0,0.044444,0.0,0.0,0.788889,0.055556,,,,,,90,2048,1.0,0.967642,4,0.981228,0.740278,0.969248,180
0.133333,0.5,4,0.940478,8,600,0.0025,1.0,0.75,0.032907,600,4,0.1,11,pairwise,0.973385,0.0,0.011111,uncertainty_regret_gate_r0p75_m0p0025,-0.007557,0.050411,40,0.005311,600,0.0,400,0.5,11,0.055556,0.0,0.0,0.055556,0.0,0.033333,0.0,0.0,0.033333,0.0,0.0,0.866667,0.044444,,,,,,90,2048,1.0,0.967642,4,0.981228,0.740278,0.969248,180
0.066667,0.5,4,0.940478,8,600,0.005,1.0,0.75,0.031233,600,4,0.044444,11,pairwise,0.971712,0.0,0.022222,uncertainty_regret_gate_r0p75_m0p005,-0.007557,0.050411,40,0.005311,600,0.0,400,0.5,11,0.0,0.0,0.0,0.0,0.0,0.033333,0.0,0.0,0.033333,0.0,0.0,0.933333,0.033333,,,,,,90,2048,1.0,0.967642,4,0.981228,0.740278,0.969248,180
0.044444,0.5,4,0.940478,8,600,0.01,1.0,0.75,0.031349,600,4,0.033333,11,pairwise,0.971827,0.0,0.022222,uncertainty_regret_gate_r0p75_m0p01,-0.007557,0.050411,40,0.005311,600,0.0,400,0.5,11,0.0,0.0,0.0,0.0,0.0,0.022222,0.0,0.0,0.022222,0.0,0.0,0.955556,0.022222,,,,,,90,2048,1.0,0.967642,4,0.981228,0.740278,0.969248,180
0.0,0.5,4,0.940478,8,600,0.02,1.0,0.75,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,uncertainty_regret_gate_r0p75_m0p02,-0.007557,0.050411,40,0.005311,600,0.0,400,0.5,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,1.0,0.967642,4,0.981228,0.740278,0.969248,180
0.0,0.5,4,0.940478,8,600,0.05,1.0,0.75,0.030027,600,4,0.0,11,pairwise,0.970506,0.0,0.022222,uncertainty_regret_gate_r0p75_m0p05,-0.007557,0.050411,40,0.005311,600,0.0,400,0.5,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,90,2048,1.0,0.967642,4,0.981228,0.740278,0.969248,180
0.033333,0.5,4,0.940478,8,600,0.0,1.0,1.0,0.031643,600,4,0.033333,11,pairwise,0.972121,0.0,0.022222,uncertainty_regret_gate_r1_m0,-0.007557,0.050411,40,0.005311,600,0.0,400,0.5,11,0.0,0.0,0.0,0.0,0.0,0.022222,0.0,0.0,0.022222,0.0,0.0,0.966667,0.011111,,,,,,90,2048,1.0,0.967642,4,0.981228,0.740278,0.969248,180
