mode,shift,total_n,escape_rate,calibration_scale,calibration_offset,mean_selected_k,max_selected_k,mean_observation_budget,causal_recall,trajectory_mse,state_integrity,observation_hit_rate,objective,work_proxy,bytes_proxy
wpu-calibrated-learned-observation,clean,2048,0.0,1.0,0.0,24.0,24.0,0.0,0.941406,0.08246,0.924998,0.0,0.08246,24.0,864.0
wpu-fixed-observation,clean,2048,0.0,1.0,0.0,32.0,32.0,8.0,0.960938,0.091275,0.917184,0.0,0.211275,32.0,1152.0
dense-state-copy,clean,2048,0.0,1.0,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-hand-adaptive,clean,2048,0.25,1.0,0.0,30.75,32.0,1.3125,0.960938,0.086837,0.920801,0.84375,0.106525,30.75,1107.0
wpu-learned-observation,clean,2048,0.25,1.0,0.0,30.5,32.0,1.65625,0.9375,0.097676,0.912208,0.8125,0.12252,30.5,1098.0
wpu-calibrated-learned-observation,clean,2048,0.25,1.0,0.0,24.5,32.0,0.09375,0.765625,0.160795,0.863083,0.026042,0.162202,24.5,882.0
wpu-fixed-observation,clean,2048,0.25,1.0,0.0,32.0,32.0,8.0,0.9375,0.098703,0.911467,0.8125,0.218703,32.0,1152.0
dense-state-copy,clean,2048,0.25,1.0,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-hand-adaptive,clean,2048,0.5,1.0,0.0,32.0,32.0,3.09375,0.953125,0.091557,0.916969,1.0,0.137964,32.0,1152.0
wpu-learned-observation,clean,2048,0.5,1.0,0.0,31.75,32.0,2.59375,0.96875,0.085622,0.921745,0.96875,0.124529,31.75,1143.0
wpu-calibrated-learned-observation,clean,2048,0.5,1.0,0.0,27.0,32.0,0.75,0.679688,0.204684,0.831459,0.173437,0.215934,27.0,972.0
wpu-fixed-observation,clean,2048,0.5,1.0,0.0,32.0,32.0,8.0,0.9375,0.099879,0.910234,1.0,0.219879,32.0,1152.0
dense-state-copy,clean,2048,0.5,1.0,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-hand-adaptive,clean,2048,0.75,1.0,0.0,32.0,32.0,4.3125,0.953125,0.093104,0.915723,1.0,0.157792,32.0,1152.0
wpu-learned-observation,clean,2048,0.75,1.0,0.0,32.0,32.0,4.28125,0.957031,0.087702,0.919908,0.966518,0.151921,32.0,1152.0
wpu-calibrated-learned-observation,clean,2048,0.75,1.0,0.0,31.25,32.0,3.125,0.777344,0.173313,0.853763,0.591295,0.220188,31.25,1125.0
wpu-fixed-observation,clean,2048,0.75,1.0,0.0,32.0,32.0,8.0,0.953125,0.091046,0.917303,1.0,0.211046,32.0,1152.0
