mode,shift,total_n,escape_rate,calibration_scale,calibration_offset,mean_selected_k,max_selected_k,mean_observation_budget,causal_recall,trajectory_mse,state_integrity,observation_hit_rate,objective,work_proxy,bytes_proxy
wpu-calibrated-learned-observation,weak_anomaly,128,0.5,1.47973,-0.196155,27.25,32.0,0.84375,0.671875,0.209138,0.828015,0.178646,0.221794,27.25,981.0
wpu-fixed-observation,weak_anomaly,128,0.5,1.47973,-0.196155,32.0,32.0,8.0,0.917969,0.106018,0.905338,0.773958,0.226018,32.0,1152.0
dense-state-copy,weak_anomaly,128,0.5,1.47973,-0.196155,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
wpu-hand-adaptive,weak_anomaly,128,0.75,1.47973,-0.196155,25.75,32.0,0.25,0.496094,0.287605,0.779165,0.066964,0.291355,25.75,927.0
wpu-learned-observation,weak_anomaly,128,0.75,1.47973,-0.196155,32.0,32.0,1.5625,0.574219,0.268093,0.790428,0.312202,0.291531,32.0,1152.0
wpu-calibrated-learned-observation,weak_anomaly,128,0.75,1.47973,-0.196155,29.75,32.0,1.96875,0.699219,0.208168,0.829161,0.398586,0.237699,29.75,1071.0
wpu-fixed-observation,weak_anomaly,128,0.75,1.47973,-0.196155,32.0,32.0,8.0,0.832031,0.147159,0.874282,0.749702,0.267159,32.0,1152.0
dense-state-copy,weak_anomaly,128,0.75,1.47973,-0.196155,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,128.0,4608.0
wpu-hand-adaptive,weak_anomaly,512,0.0,1.47973,-0.196155,24.0,24.0,0.0,0.902344,0.097322,0.913057,0.0,0.097322,24.0,864.0
wpu-learned-observation,weak_anomaly,512,0.0,1.47973,-0.196155,24.0,24.0,0.0,0.949219,0.077818,0.928699,0.0,0.077818,24.0,864.0
wpu-calibrated-learned-observation,weak_anomaly,512,0.0,1.47973,-0.196155,24.25,32.0,0.0625,0.945312,0.07962,0.927193,0.0,0.080557,24.25,873.0
wpu-fixed-observation,weak_anomaly,512,0.0,1.47973,-0.196155,32.0,32.0,8.0,0.957031,0.090971,0.917735,0.0,0.210971,32.0,1152.0
dense-state-copy,weak_anomaly,512,0.0,1.47973,-0.196155,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
wpu-hand-adaptive,weak_anomaly,512,0.25,1.47973,-0.196155,24.0,24.0,0.0,0.753906,0.166043,0.859571,0.0,0.166043,24.0,864.0
wpu-learned-observation,weak_anomaly,512,0.25,1.47973,-0.196155,24.75,32.0,0.09375,0.75,0.168136,0.859636,0.078125,0.169542,24.75,891.0
wpu-calibrated-learned-observation,weak_anomaly,512,0.25,1.47973,-0.196155,27.0,32.0,0.6875,0.847656,0.127792,0.889026,0.296875,0.138104,27.0,972.0
wpu-fixed-observation,weak_anomaly,512,0.25,1.47973,-0.196155,32.0,32.0,8.0,0.921875,0.10712,0.904538,0.744792,0.22712,32.0,1152.0
dense-state-copy,weak_anomaly,512,0.25,1.47973,-0.196155,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
wpu-hand-adaptive,weak_anomaly,512,0.5,1.47973,-0.196155,24.25,32.0,0.03125,0.558594,0.25226,0.801534,0.015625,0.252728,24.25,873.0
wpu-learned-observation,weak_anomaly,512,0.5,1.47973,-0.196155,25.25,32.0,0.15625,0.59375,0.236263,0.813062,0.054688,0.238606,25.25,909.0
wpu-calibrated-learned-observation,weak_anomaly,512,0.5,1.47973,-0.196155,28.75,32.0,1.5,0.785156,0.162067,0.862144,0.388244,0.184567,28.75,1035.0
wpu-fixed-observation,weak_anomaly,512,0.5,1.47973,-0.196155,32.0,32.0,8.0,0.902344,0.11351,0.900342,0.797396,0.23351,32.0,1152.0
dense-state-copy,weak_anomaly,512,0.5,1.47973,-0.196155,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
wpu-hand-adaptive,weak_anomaly,512,0.75,1.47973,-0.196155,24.75,32.0,0.09375,0.390625,0.330475,0.754771,0.023438,0.331882,24.75,891.0
wpu-learned-observation,weak_anomaly,512,0.75,1.47973,-0.196155,25.5,32.0,0.1875,0.433594,0.311084,0.767536,0.066146,0.313896,25.5,918.0
wpu-calibrated-learned-observation,weak_anomaly,512,0.75,1.47973,-0.196155,31.75,32.0,3.65625,0.835938,0.144772,0.875636,0.776935,0.199616,31.75,1143.0
wpu-fixed-observation,weak_anomaly,512,0.75,1.47973,-0.196155,32.0,32.0,8.0,0.871094,0.129815,0.887114,0.830878,0.249815,32.0,1152.0
dense-state-copy,weak_anomaly,512,0.75,1.47973,-0.196155,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
wpu-hand-adaptive,weak_anomaly,2048,0.0,1.47973,-0.196155,24.0,24.0,0.0,0.941406,0.082809,0.924685,0.0,0.082809,24.0,864.0
wpu-learned-observation,weak_anomaly,2048,0.0,1.47973,-0.196155,24.0,24.0,0.0,0.921875,0.088848,0.920254,0.0,0.088848,24.0,864.0
wpu-calibrated-learned-observation,weak_anomaly,2048,0.0,1.47973,-0.196155,24.0,24.0,0.0,0.972656,0.068038,0.93686,0.0,0.068038,24.0,864.0
wpu-fixed-observation,weak_anomaly,2048,0.0,1.47973,-0.196155,32.0,32.0,8.0,0.941406,0.097738,0.911736,0.0,0.217738,32.0,1152.0
dense-state-copy,weak_anomaly,2048,0.0,1.47973,-0.196155,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-hand-adaptive,weak_anomaly,2048,0.25,1.47973,-0.196155,24.5,32.0,0.0625,0.734375,0.177844,0.852561,0.014063,0.178781,24.5,882.0
wpu-learned-observation,weak_anomaly,2048,0.25,1.47973,-0.196155,24.75,32.0,0.09375,0.742188,0.173412,0.854979,0.057292,0.174818,24.75,891.0
wpu-calibrated-learned-observation,weak_anomaly,2048,0.25,1.47973,-0.196155,26.0,32.0,0.40625,0.796875,0.150724,0.870784,0.213542,0.156818,26.0,936.0
wpu-fixed-observation,weak_anomaly,2048,0.25,1.47973,-0.196155,32.0,32.0,8.0,0.925781,0.105599,0.905984,0.661458,0.225599,32.0,1152.0
dense-state-copy,weak_anomaly,2048,0.25,1.47973,-0.196155,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-hand-adaptive,weak_anomaly,2048,0.5,1.47973,-0.196155,24.75,32.0,0.09375,0.53125,0.267439,0.791176,0.023438,0.268846,24.75,891.0
wpu-learned-observation,weak_anomaly,2048,0.5,1.47973,-0.196155,25.5,32.0,0.1875,0.589844,0.238846,0.811786,0.070312,0.241659,25.5,918.0
wpu-calibrated-learned-observation,weak_anomaly,2048,0.5,1.47973,-0.196155,30.25,32.0,1.90625,0.828125,0.141231,0.878243,0.547396,0.169825,30.25,1089.0
wpu-fixed-observation,weak_anomaly,2048,0.5,1.47973,-0.196155,32.0,32.0,8.0,0.894531,0.119934,0.894588,0.780729,0.239934,32.0,1152.0
dense-state-copy,weak_anomaly,2048,0.5,1.47973,-0.196155,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-hand-adaptive,weak_anomaly,2048,0.75,1.47973,-0.196155,25.0,32.0,0.125,0.425781,0.314965,0.762424,0.030729,0.31684,25.0,900.0
wpu-learned-observation,weak_anomaly,2048,0.75,1.47973,-0.196155,25.0,32.0,0.125,0.355469,0.345831,0.745231,0.026563,0.347706,25.0,900.0
wpu-calibrated-learned-observation,weak_anomaly,2048,0.75,1.47973,-0.196155,32.0,32.0,4.3125,0.839844,0.145232,0.876031,0.824926,0.209919,32.0,1152.0
wpu-fixed-observation,weak_anomaly,2048,0.75,1.47973,-0.196155,32.0,32.0,8.0,0.816406,0.15486,0.868043,0.725074,0.27486,32.0,1152.0
dense-state-copy,weak_anomaly,2048,0.75,1.47973,-0.196155,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-hand-adaptive,weak_anomaly,8192,0.0,1.47973,-0.196155,24.0,24.0,0.0,0.9375,0.080324,0.926718,0.0,0.080324,24.0,864.0
wpu-learned-observation,weak_anomaly,8192,0.0,1.47973,-0.196155,24.0,24.0,0.0,0.972656,0.065776,0.938767,0.0,0.065776,24.0,864.0
wpu-calibrated-learned-observation,weak_anomaly,8192,0.0,1.47973,-0.196155,24.25,32.0,0.03125,0.914062,0.093634,0.915804,0.0,0.094103,24.25,873.0
wpu-fixed-observation,weak_anomaly,8192,0.0,1.47973,-0.196155,32.0,32.0,8.0,0.960938,0.087909,0.920067,0.0,0.207909,32.0,1152.0
dense-state-copy,weak_anomaly,8192,0.0,1.47973,-0.196155,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,8192.0,294912.0
wpu-hand-adaptive,weak_anomaly,8192,0.25,1.47973,-0.196155,25.25,32.0,0.15625,0.75,0.171537,0.857664,0.085938,0.173881,25.25,909.0
wpu-learned-observation,weak_anomaly,8192,0.25,1.47973,-0.196155,25.0,32.0,0.125,0.808594,0.141332,0.878664,0.088542,0.143207,25.0,900.0
wpu-calibrated-learned-observation,weak_anomaly,8192,0.25,1.47973,-0.196155,26.5,32.0,0.625,0.820312,0.142803,0.876411,0.210938,0.152178,26.5,954.0
wpu-fixed-observation,weak_anomaly,8192,0.25,1.47973,-0.196155,32.0,32.0,8.0,0.929688,0.103487,0.907299,0.6875,0.223487,32.0,1152.0
dense-state-copy,weak_anomaly,8192,0.25,1.47973,-0.196155,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,8192.0,294912.0
wpu-hand-adaptive,weak_anomaly,8192,0.5,1.47973,-0.196155,25.75,32.0,0.21875,0.628906,0.223803,0.819305,0.072917,0.227084,25.75,927.0
wpu-learned-observation,weak_anomaly,8192,0.5,1.47973,-0.196155,26.25,32.0,0.3125,0.597656,0.240345,0.809452,0.132812,0.245032,26.25,945.0
wpu-calibrated-learned-observation,weak_anomaly,8192,0.5,1.47973,-0.196155,30.0,32.0,2.0625,0.796875,0.154875,0.867298,0.585938,0.185813,30.0,1080.0
wpu-fixed-observation,weak_anomaly,8192,0.5,1.47973,-0.196155,32.0,32.0,8.0,0.902344,0.114953,0.898457,0.818229,0.234953,32.0,1152.0
dense-state-copy,weak_anomaly,8192,0.5,1.47973,-0.196155,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,8192.0,294912.0
wpu-hand-adaptive,weak_anomaly,8192,0.75,1.47973,-0.196155,25.75,32.0,0.25,0.429688,0.31425,0.76377,0.054464,0.318,25.75,927.0
wpu-learned-observation,weak_anomaly,8192,0.75,1.47973,-0.196155,25.5,32.0,0.21875,0.414062,0.324015,0.757717,0.056771,0.327296,25.5,918.0
wpu-calibrated-learned-observation,weak_anomaly,8192,0.75,1.47973,-0.196155,31.25,32.0,3.65625,0.863281,0.129403,0.888209,0.770015,0.184247,31.25,1125.0
wpu-fixed-observation,weak_anomaly,8192,0.75,1.47973,-0.196155,32.0,32.0,8.0,0.84375,0.139176,0.880251,0.772619,0.259176,32.0,1152.0
dense-state-copy,weak_anomaly,8192,0.75,1.47973,-0.196155,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,8192.0,294912.0
