accuracy,base_oracle_loss,base_oracle_match_rate,budget,causal_k,excess_over_base_oracle,excess_over_generated_oracle,generated_candidates,generated_oracle_accuracy,generated_oracle_loss,generated_oracle_match_rate,interaction_mode,loss,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,static_generated_mode_from_validation,static_mode_from_validation,test_samples,total_objects_n,validation_reranker_loss,validation_samples,validation_static_loss
0.466667,0.962886,0.355556,4,8,0.019307,0.02494,4,0.511111,0.957253,0.288889,pairwise,0.982193,static_indexed,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,generated_2,learned,90,2048,0.940022,180,0.958614
0.488889,0.962886,0.266667,4,8,0.014234,0.019866,4,0.511111,0.957253,0.077778,pairwise,0.977119,static_proximity,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,generated_2,learned,90,2048,0.940022,180,0.958614
0.5,0.962886,0.355556,4,8,0.013696,0.019329,4,0.511111,0.957253,0.033333,pairwise,0.976582,static_interaction,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,generated_2,learned,90,2048,0.940022,180,0.958614
0.5,0.962886,0.022222,4,8,0.013478,0.019111,4,0.511111,0.957253,0.011111,pairwise,0.976364,static_learned,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,generated_2,learned,90,2048,0.940022,180,0.958614
0.5,0.962886,0.022222,4,8,0.013478,0.019111,4,0.511111,0.957253,0.011111,pairwise,0.976364,static_base_validation_choice,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,generated_2,learned,90,2048,0.940022,180,0.958614
0.477778,0.962886,0.0,4,8,0.014757,0.02039,4,0.511111,0.957253,0.111111,pairwise,0.977643,static_generated_validation_choice,40,600,400,0.005,,17,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,learned,90,2048,0.940022,180,0.958614
0.511111,0.962886,0.355556,4,8,0.006142,0.011775,4,0.511111,0.957253,0.344444,pairwise,0.969028,generated_set_reranker,40,600,400,0.005,,17,0.088889,0.222222,0.044444,0.077778,0.433333,0.233333,0.144444,0.011111,0.177778,generated_2,learned,90,2048,0.940022,180,0.958614
0.511111,0.962886,0.355556,4,8,0.006142,0.011775,4,0.511111,0.957253,0.344444,pairwise,0.969028,generated_margin_safe_reranker,40,600,400,0.005,1,17,0.088889,0.222222,0.044444,0.077778,0.433333,0.233333,0.144444,0.011111,0.177778,generated_2,learned,90,2048,0.940022,180,0.958614
0.511111,0.962886,1.0,4,8,0.0,0.005633,4,0.511111,0.957253,0.411111,pairwise,0.962886,base_oracle,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,0.355556,0.355556,0.022222,0.266667,generated_2,learned,90,2048,0.940022,180,0.958614
0.511111,0.962886,0.411111,4,8,-0.005633,0.0,4,0.511111,0.957253,1.0,pairwise,0.957253,generated_oracle,40,600,400,0.005,,17,0.088889,0.233333,0.111111,0.155556,0.588889,0.288889,0.033333,0.011111,0.077778,generated_2,learned,90,2048,0.940022,180,0.958614
0.511111,0.973841,0.5,4,8,0.025892,0.032958,4,0.644444,0.966774,0.444444,pairwise,0.999732,static_indexed,40,600,400,0.005,,19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,interaction,interaction,90,2048,0.935937,180,0.968328
