causal_k,compute_cost,dense_compute_ratio,dense_loss,hidden_dim,interaction_mode,layers,model,oracle_loss,policy,policy_accuracy,policy_delta_vs_sparse,policy_excess_over_oracle,policy_loss,propagation_steps,regret_steps,route_threshold,rule,samples,seed,sparse_loss,status,total_objects_n,validation_samples,verifier_trigger_rate,working_set_size
16,0.05,0.144444,1.073972,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.910711,structured_verifier_gate,0.466667,-0.003462,0.051433,0.962144,40,80,0.042719,interaction_density:le:0.220774,90,19,0.965606,ok,2048,90,0.866667,32
16,0.05,0.144444,1.073972,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.910711,physical_verifier_gate,0.466667,-0.003462,0.051433,0.962144,40,80,0.042719,interaction_density:le:0.220774,90,19,0.965606,ok,2048,90,0.866667,32
16,0.05,0.044444,1.05498,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.96277,calibrated_regret_route,0.533333,0.003387,0.031392,0.994162,40,80,0.037739,none,90,23,0.990775,ok,2048,90,0.0,32
16,0.05,0.044444,1.05498,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.96277,structured_verifier_gate,0.533333,0.003387,0.031392,0.994162,40,80,0.037739,none,90,23,0.990775,ok,2048,90,0.0,32
16,0.05,0.044444,1.05498,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.96277,physical_verifier_gate,0.533333,0.003387,0.031392,0.994162,40,80,0.037739,none,90,23,0.990775,ok,2048,90,0.0,32
32,0.05,0.122222,1.092481,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.970938,calibrated_regret_route,0.522222,-0.036104,0.0252,0.996137,40,80,-0.113693,none,90,11,1.032241,ok,2048,90,0.0,32
32,0.05,0.122222,1.092481,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.970938,structured_verifier_gate,0.522222,-0.036104,0.0252,0.996137,40,80,-0.113693,selector_confidence:ge:0.567056,90,11,1.032241,ok,2048,90,0.122222,32
32,0.05,0.122222,1.092481,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.970938,physical_verifier_gate,0.522222,-0.036104,0.0252,0.996137,40,80,-0.113693,none,90,11,1.032241,ok,2048,90,0.0,32
32,0.05,0.833333,1.022577,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.911501,calibrated_regret_route,0.511111,-0.007292,0.087626,0.999126,40,80,0.119186,none,90,13,1.006419,ok,2048,90,0.0,32
32,0.05,0.511111,1.022577,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.911501,structured_verifier_gate,0.466667,-0.005326,0.089592,1.001093,40,80,0.119186,mean_pair_distance:ge:0.166639 AND target_x:ge:0.562387,90,13,1.006419,ok,2048,90,0.633333,32
32,0.05,0.511111,1.022577,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.911501,physical_verifier_gate,0.466667,-0.005326,0.089592,1.001093,40,80,0.119186,mean_pair_distance:ge:0.166639 AND target_x:ge:0.562387,90,13,1.006419,ok,2048,90,0.633333,32
32,0.05,0.677778,1.049815,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.944029,calibrated_regret_route,0.522222,-0.031553,0.05302,0.997049,40,80,0.044084,none,90,17,1.028602,ok,2048,90,0.0,32
32,0.05,0.466667,1.049815,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.944029,structured_verifier_gate,0.511111,-0.017694,0.066879,1.010907,40,80,0.044084,regret_abs:ge:0.012757 AND selector_confidence:le:0.565321,90,17,1.028602,ok,2048,90,0.722222,32
32,0.05,0.5,1.049815,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.944029,physical_verifier_gate,0.511111,-0.017521,0.067052,1.011081,40,80,0.044084,target_x:le:0.914523 AND min_pair_distance:le:0.011000,90,17,1.028602,ok,2048,90,0.744444,32
32,0.05,0.111111,1.083922,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.934672,calibrated_regret_route,0.455556,-0.014063,0.041779,0.976451,40,80,-0.095329,none,90,19,0.990514,ok,2048,90,0.0,32
32,0.05,0.111111,1.083922,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.934672,structured_verifier_gate,0.455556,-0.014063,0.041779,0.976451,40,80,-0.095329,none,90,19,0.990514,ok,2048,90,0.0,32
32,0.05,0.111111,1.083922,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.934672,physical_verifier_gate,0.455556,-0.014063,0.041779,0.976451,40,80,-0.095329,none,90,19,0.990514,ok,2048,90,0.0,32
32,0.05,0.222222,1.000335,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.918556,calibrated_regret_route,0.488889,-0.038392,0.023388,0.941944,40,80,-0.040812,none,90,23,0.980337,ok,2048,90,0.0,32
32,0.05,0.188889,1.000335,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.918556,structured_verifier_gate,0.488889,-0.027651,0.03413,0.952686,40,80,-0.040812,target_x:ge:0.519312,90,23,0.980337,ok,2048,90,0.888889,32
32,0.05,0.188889,1.000335,128,pairwise,1,wpu-cws-indexed-regret-hybrid,0.918556,physical_verifier_gate,0.488889,-0.027651,0.03413,0.952686,40,80,-0.040812,target_x:ge:0.519312,90,23,0.980337,ok,2048,90,0.888889,32
