background_objects,branch_entropy_mean,branch_flip_rate,constraint_violations_per_step,correct_on_violation,correction_rate,delta_clip,delta_norm_mean,delta_norm_penalty,delta_target_norm_slack,escalation_model,escalation_rate,escalation_success_rate,final_majority_branch_ratio,horizon,integrity_projection,model,raw_delta_norm_mean,rollback_on_violation,rollback_rate,samples,seed,selected_k_mean,state_validity_penalty,unsafe_delta_reject_norm,unsafe_delta_rejection_rate
32,0.400405,0.057292,0.0,True,0.668333,0.0,1.627108,0.0,0.5,wpu-cws-indexed-local-dense,0.738333,0.094808,1.0,25,False,wpu-cws-indexed-sparse,1885269.647464,True,0.0,24,11,4.416667,0.0,0.0,0.0
32,0.478734,0.114583,0.0,True,0.753333,0.0,2.25753,0.0,0.5,wpu-cws-indexed-local-dense,0.873333,0.137405,1.0,25,False,wpu-cws-indexed-sparse,1993309.399851,True,0.0,24,13,4.416667,0.0,0.0,0.0
