row_type,model,seed,train_mechanism,eval_mechanism,temperature,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,graph-transformer,11,nominal+high_force+edge_shift+catch_heavy,edge_shift,0.384373,32,37,36,0.444444,0.527778,0.057666,1.072482,0.647023,0.132115,4.375,1.0,1.0,1
seed,graph-transformer,11,nominal+high_force+edge_shift+catch_heavy,catch_heavy,0.384373,32,37,36,0.333333,0.805556,0.017415,1.17602,0.756284,0.29384,4.8,1.0,1.0,1
seed,graph-transformer,13,nominal+high_force+edge_shift+catch_heavy,nominal,0.442314,32,37,36,0.388889,0.444444,0.036647,1.032633,0.644404,0.149064,4.35,1.0,1.0,1
seed,graph-transformer,13,nominal+high_force+edge_shift+catch_heavy,high_force,0.442314,32,37,36,0.472222,0.416667,0.092701,1.217603,0.707654,0.148183,4.35,1.0,1.0,1
seed,graph-transformer,13,nominal+high_force+edge_shift+catch_heavy,edge_shift,0.442314,32,37,36,0.388889,0.555556,0.076792,1.229147,0.710824,0.116177,4.35,1.0,1.0,1
seed,graph-transformer,13,nominal+high_force+edge_shift+catch_heavy,catch_heavy,0.442314,32,37,36,0.527778,0.805556,0.032177,0.904252,0.568237,0.126742,4.825,1.0,1.0,1
seed,graph-transformer,17,nominal+high_force+edge_shift+catch_heavy,nominal,2.857005,32,37,36,0.333333,0.444444,0.018778,1.084807,0.658132,0.031417,4.4,1.0,1.0,1
seed,graph-transformer,17,nominal+high_force+edge_shift+catch_heavy,high_force,2.857005,32,37,36,0.361111,0.361111,0.071979,1.083549,0.656328,0.118044,4.4,1.0,1.0,1
seed,graph-transformer,17,nominal+high_force+edge_shift+catch_heavy,edge_shift,2.857005,32,37,36,0.333333,0.555556,0.053971,1.081806,0.655614,0.031375,4.4,1.0,1.0,1
seed,graph-transformer,17,nominal+high_force+edge_shift+catch_heavy,catch_heavy,2.857005,32,37,36,0.527778,0.777778,0.014525,1.083374,0.657343,0.185587,4.8,1.0,1.0,1
seed,serialized-token,11,nominal+high_force+edge_shift+catch_heavy,nominal,0.25,32,37,36,0.472222,0.444444,0.031368,1.016353,0.639541,0.263549,4.375,1.0,1.0,1
seed,serialized-token,11,nominal+high_force+edge_shift+catch_heavy,high_force,0.25,32,37,36,0.444444,0.444444,0.083993,1.413815,0.791819,0.369323,4.375,1.0,1.0,1
seed,serialized-token,11,nominal+high_force+edge_shift+catch_heavy,edge_shift,0.25,32,37,36,0.527778,0.527778,0.065962,1.102775,0.60033,0.287988,4.375,1.0,1.0,1
seed,serialized-token,11,nominal+high_force+edge_shift+catch_heavy,catch_heavy,0.25,32,37,36,0.194444,0.805556,0.027679,1.149904,0.795959,0.39303,4.8,1.0,1.0,1
seed,serialized-token,13,nominal+high_force+edge_shift+catch_heavy,nominal,1.083164,32,37,36,0.361111,0.444444,0.023549,1.046848,0.643914,0.11174,4.35,1.0,1.0,1
seed,serialized-token,13,nominal+high_force+edge_shift+catch_heavy,high_force,1.083164,32,37,36,0.472222,0.416667,0.07337,1.071045,0.649629,0.071592,4.35,1.0,1.0,1
seed,serialized-token,13,nominal+high_force+edge_shift+catch_heavy,edge_shift,1.083164,32,37,36,0.277778,0.555556,0.060342,1.143419,0.693659,0.161709,4.35,1.0,1.0,1
seed,serialized-token,13,nominal+high_force+edge_shift+catch_heavy,catch_heavy,1.083164,32,37,36,0.611111,0.805556,0.019471,0.940804,0.571165,0.254861,4.825,1.0,1.0,1
seed,serialized-token,17,nominal+high_force+edge_shift+catch_heavy,nominal,0.88528,32,37,36,0.388889,0.444444,0.019657,0.992319,0.620114,0.076861,4.4,1.0,1.0,1
seed,serialized-token,17,nominal+high_force+edge_shift+catch_heavy,high_force,0.88528,32,37,36,0.416667,0.361111,0.067042,1.105293,0.671432,0.106795,4.4,1.0,1.0,1
