causal_k,compute_cost,expanded_dense_loss,expanded_path_loss,expanded_sparse_loss,expanded_working_set_size,expansion_cost,expansion_path,expansion_ratio,hidden_dim,initial_dense_loss,initial_dense_ratio,initial_working_set_size,interaction_mode,layers,max_expansion_rate,model,oracle_loss,policy,policy_accuracy,policy_delta_vs_sparse,policy_excess_over_oracle,policy_loss,propagation_steps,regret_steps,route_threshold,rule,samples,seed,sparse_loss,status,total_compute_ratio,total_objects_n,validation_samples
8,0.05,1.074503,1.021211,1.021211,32,0.02,sparse,0.0,128,1.054503,0.177778,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.937374,structured_expansion_gate,0.466667,-0.031105,0.032732,0.970106,40,80,-0.1,none,90,17,1.001211,ok,0.177778,2048,90
8,0.05,1.074503,1.021211,1.021211,32,0.02,sparse,0.0,128,1.054503,0.177778,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.937374,physical_expansion_gate,0.466667,-0.031105,0.032732,0.970106,40,80,-0.1,none,90,17,1.001211,ok,0.177778,2048,90
8,0.05,1.074503,1.074503,1.021211,32,0.02,dense,0.0,128,1.054503,0.177778,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.937374,structured_dense_expansion_gate,0.466667,-0.031105,0.032732,0.970106,40,80,-0.1,none,90,17,1.001211,ok,0.177778,2048,90
8,0.05,1.074503,1.074503,1.021211,32,0.02,dense,0.0,128,1.054503,0.177778,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.937374,physical_dense_expansion_gate,0.466667,-0.031105,0.032732,0.970106,40,80,-0.1,none,90,17,1.001211,ok,0.177778,2048,90
8,0.05,1.043654,1.009334,1.009334,32,0.02,sparse,0.0,128,1.023654,0.155556,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.889383,initial_calibrated_regret,0.5,-0.035164,0.064787,0.95417,40,80,-0.009123,none,90,19,0.989334,ok,0.155556,2048,90
8,0.05,1.043654,1.009334,1.009334,32,0.02,sparse,1.0,128,1.023654,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.889383,always_expand_sparse,0.5,0.02,0.119951,1.009334,40,80,-0.009123,always,90,19,0.989334,ok,1.0,2048,90
8,0.05,1.043654,1.043654,1.009334,32,0.02,dense,1.0,128,1.023654,0.0,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.889383,always_expand_dense,0.5,0.05432,0.154271,1.043654,40,80,-0.009123,always,90,19,0.989334,ok,1.0,2048,90
8,0.05,1.043654,1.009334,1.009334,32,0.02,sparse,0.0,128,1.023654,0.155556,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.889383,structured_expansion_gate,0.5,-0.035164,0.064787,0.95417,40,80,-0.009123,none,90,19,0.989334,ok,0.155556,2048,90
8,0.05,1.043654,1.009334,1.009334,32,0.02,sparse,0.0,128,1.023654,0.155556,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.889383,physical_expansion_gate,0.5,-0.035164,0.064787,0.95417,40,80,-0.009123,none,90,19,0.989334,ok,0.155556,2048,90
8,0.05,1.043654,1.043654,1.009334,32,0.02,dense,0.0,128,1.023654,0.155556,8,pairwise,1,0.5,wpu-cws-indexed-regret-hybrid,0.889383,structured_dense_expansion_gate,0.5,-0.035164,0.064787,0.95417,40,80,-0.009123,none,90,19,0.989334,ok,0.155556,2048,90
