mode,total_n,k_ref,true_relation_confidence,missing_rate,false_positive_rate,min_relation_confidence,selected_k,updated_k,escalation_required,recall,precision,f1,false_updates,missed_updates,touch_ratio
sparse_confident_relations,512,4,0.95,0.5,0.0,0.3,4,2,0,0.5,1.0,0.666667,0,2,0.01169591
hybrid_escalation_region,512,4,0.95,0.5,0.0,0.3,4,2,0,0.5,1.0,0.666667,0,2,0.01169591
sparse_confident_relations,512,4,0.95,0.5,0.25,0.3,4,3,1,0.75,1.0,0.857143,0,1,0.01553398
hybrid_escalation_region,512,4,0.95,0.5,0.25,0.3,4,4,1,1.0,1.0,1.0,0,0,0.01553398
sparse_confident_relations,512,4,0.2,0.0,0.0,0.3,4,1,1,0.25,1.0,0.4,0,3,0.01553398
hybrid_escalation_region,512,4,0.2,0.0,0.0,0.3,4,4,1,1.0,1.0,1.0,0,0,0.01553398
sparse_confident_relations,512,4,0.2,0.0,0.25,0.3,4,1,1,0.25,1.0,0.4,0,3,0.01744186
hybrid_escalation_region,512,4,0.2,0.0,0.25,0.3,4,4,1,1.0,1.0,1.0,0,0,0.01744186
sparse_confident_relations,512,4,0.2,0.5,0.0,0.3,4,1,1,0.25,1.0,0.4,0,3,0.01169591
hybrid_escalation_region,512,4,0.2,0.5,0.0,0.3,4,4,1,1.0,1.0,1.0,0,0,0.01169591
sparse_confident_relations,512,4,0.2,0.5,0.25,0.3,4,1,1,0.25,1.0,0.4,0,3,0.01553398
hybrid_escalation_region,512,4,0.2,0.5,0.25,0.3,4,4,1,1.0,1.0,1.0,0,0,0.01553398
sparse_confident_relations,512,8,0.95,0.0,0.0,0.3,8,8,0,1.0,1.0,1.0,0,0,0.03082852
hybrid_escalation_region,512,8,0.95,0.0,0.0,0.3,8,8,0,1.0,1.0,1.0,0,0,0.03082852
sparse_confident_relations,512,8,0.95,0.0,0.25,0.3,8,8,1,1.0,1.0,1.0,0,0,0.03454894
hybrid_escalation_region,512,8,0.95,0.0,0.25,0.3,8,8,1,1.0,1.0,1.0,0,0,0.03454894
sparse_confident_relations,512,8,0.95,0.5,0.0,0.3,8,5,0,0.625,1.0,0.769231,0,3,0.0251938
hybrid_escalation_region,512,8,0.95,0.5,0.0,0.3,8,5,0,0.625,1.0,0.769231,0,3,0.0251938
sparse_confident_relations,512,8,0.95,0.5,0.25,0.3,8,5,1,0.625,1.0,0.769231,0,3,0.02895753
hybrid_escalation_region,512,8,0.95,0.5,0.25,0.3,8,8,1,1.0,1.0,1.0,0,0,0.02895753
sparse_confident_relations,512,8,0.2,0.0,0.0,0.3,8,1,1,0.125,1.0,0.222222,0,7,0.03082852
hybrid_escalation_region,512,8,0.2,0.0,0.0,0.3,8,8,1,1.0,1.0,1.0,0,0,0.03082852
sparse_confident_relations,512,8,0.2,0.0,0.25,0.3,8,1,1,0.125,1.0,0.222222,0,7,0.03454894
hybrid_escalation_region,512,8,0.2,0.0,0.25,0.3,8,8,1,1.0,1.0,1.0,0,0,0.03454894
sparse_confident_relations,512,8,0.2,0.5,0.0,0.3,8,1,1,0.125,1.0,0.222222,0,7,0.0270793
hybrid_escalation_region,512,8,0.2,0.5,0.0,0.3,8,8,1,1.0,1.0,1.0,0,0,0.0270793
sparse_confident_relations,512,8,0.2,0.5,0.25,0.3,8,1,1,0.125,1.0,0.222222,0,7,0.02895753
hybrid_escalation_region,512,8,0.2,0.5,0.25,0.3,8,8,1,1.0,1.0,1.0,0,0,0.02895753
sparse_confident_relations,512,16,0.95,0.0,0.0,0.3,16,16,0,1.0,1.0,1.0,0,0,0.06072106
hybrid_escalation_region,512,16,0.95,0.0,0.0,0.3,16,16,0,1.0,1.0,1.0,0,0,0.06072106
sparse_confident_relations,512,16,0.95,0.0,0.25,0.3,16,16,1,1.0,1.0,1.0,0,0,0.06779661
hybrid_escalation_region,512,16,0.95,0.0,0.25,0.3,16,16,1,1.0,1.0,1.0,0,0,0.06779661
sparse_confident_relations,512,16,0.95,0.5,0.0,0.3,16,11,0,0.6875,1.0,0.814815,0,5,0.05172414
hybrid_escalation_region,512,16,0.95,0.5,0.0,0.3,16,11,0,0.6875,1.0,0.814815,0,5,0.05172414
sparse_confident_relations,512,16,0.95,0.5,0.25,0.3,16,6,1,0.375,1.0,0.545455,0,10,0.04990403
hybrid_escalation_region,512,16,0.95,0.5,0.25,0.3,16,16,1,1.0,1.0,1.0,0,0,0.04990403
sparse_confident_relations,512,16,0.2,0.0,0.0,0.3,16,1,1,0.0625,1.0,0.117647,0,15,0.06072106
hybrid_escalation_region,512,16,0.2,0.0,0.0,0.3,16,16,1,1.0,1.0,1.0,0,0,0.06072106
sparse_confident_relations,512,16,0.2,0.0,0.25,0.3,16,1,1,0.0625,1.0,0.117647,0,15,0.06779661
hybrid_escalation_region,512,16,0.2,0.0,0.25,0.3,16,16,1,1.0,1.0,1.0,0,0,0.06779661
sparse_confident_relations,512,16,0.2,0.5,0.0,0.3,16,1,1,0.0625,1.0,0.117647,0,15,0.04990403
hybrid_escalation_region,512,16,0.2,0.5,0.0,0.3,16,16,1,1.0,1.0,1.0,0,0,0.04990403
sparse_confident_relations,512,16,0.2,0.5,0.25,0.3,16,1,1,0.0625,1.0,0.117647,0,15,0.05353728
hybrid_escalation_region,512,16,0.2,0.5,0.25,0.3,16,16,1,1.0,1.0,1.0,0,0,0.05353728
sparse_confident_relations,2048,4,0.95,0.0,0.0,0.3,4,4,0,1.0,1.0,1.0,0,0,0.00390054
hybrid_escalation_region,2048,4,0.95,0.0,0.0,0.3,4,4,0,1.0,1.0,1.0,0,0,0.00390054
sparse_confident_relations,2048,4,0.95,0.0,0.25,0.3,4,4,1,1.0,1.0,1.0,0,0,0.00438596
