causal_k,compute_cost,dense_correct,dense_loss,dense_regret,event_norm,hidden_dim,interaction_density,interaction_mode,label,mean_pair_distance,min_pair_distance,predicted_regret,regret_abs,sample_index,seed,selected_fraction,selector_confidence,sparse_confidence,sparse_correct,sparse_delta_norm,sparse_dense_disagreement,sparse_entropy,sparse_loss,sparse_margin,sparse_uncertainty_mean,target_x,target_y,total_objects_n,working_set_size
8,0.05,1,0.185093,-0.399286,1.54233,128,0.128854,pairwise,0,0.251289,0.03209,-0.063762,0.063762,21,11,0.25,0.77248,0.557452,1,0.300214,0,0.942699,0.584379,0.232452,0.551784,0.623089,0.0,2048,32
8,0.05,0,1.581636,0.5468,1.736008,128,0.128447,pairwise,1,0.229842,0.044131,0.139801,0.139801,22,11,0.25,0.768059,0.403125,0,0.150157,0,1.077086,1.034836,0.047841,0.536709,0.612364,0.0,2048,32
8,0.05,1,0.913736,-0.114656,1.826222,128,0.183367,pairwise,2,0.223354,0.042334,0.162798,0.162798,23,11,0.25,0.748547,0.428774,0,0.191355,1,1.060579,1.028392,0.071193,0.532302,0.891436,0.0,2048,32
8,0.05,1,0.367555,-0.28363,1.591613,128,0.167092,pairwise,0,0.22586,0.009845,0.037657,0.037657,24,11,0.25,0.756336,0.521428,1,0.170944,0,0.972136,0.651185,0.172853,0.544896,0.738001,0.0,2048,32
8,0.05,0,2.358226,0.592033,1.640632,128,0.160451,pairwise,1,0.213752,0.038953,0.083619,0.083619,25,11,0.25,0.759699,0.443345,0,0.134429,0,1.030064,1.766193,0.057672,0.541349,0.777937,0.0,2048,32
8,0.05,0,1.064083,-0.004712,1.928748,128,0.12293,pairwise,2,0.223939,0.063963,0.179029,0.179029,26,11,0.25,0.749087,0.466079,0,0.249326,0,1.03872,1.068795,0.122657,0.528628,0.830966,0.0,2048,32
8,0.05,1,0.181203,-0.365712,1.541714,128,0.148922,pairwise,0,0.229182,0.042016,-0.079072,0.079072,27,11,0.25,0.729524,0.578732,1,0.264446,0,0.926172,0.546915,0.270972,0.5513,0.94271,0.0,2048,32
8,0.05,1,0.793317,0.002035,1.87602,128,0.200784,pairwise,1,0.197998,0.033581,0.173981,0.173981,28,11,0.25,0.747775,0.453263,1,0.221569,0,1.046692,0.791282,0.104529,0.530522,0.904597,0.0,2048,32
8,0.05,1,0.846875,-0.078137,1.756938,128,0.096697,pairwise,2,0.2586,0.054776,0.146486,0.146486,29,11,0.25,0.771991,0.396527,1,0.178746,0,1.071424,0.925012,0.02056,0.535855,0.554776,0.0,2048,32
8,0.05,0,1.697641,0.080667,1.862399,128,0.096865,pairwise,0,0.329048,0.043173,0.170366,0.170366,30,11,0.25,0.751624,0.4527,0,0.216117,0,1.047119,1.616974,0.103898,0.531137,0.956827,0.0,2048,32
8,0.05,0,1.257323,0.3331,1.778736,128,0.15641,pairwise,1,0.241365,0.029551,0.149842,0.149842,31,11,0.25,0.741222,0.39684,1,0.179821,1,1.074818,0.924223,0.028347,0.534093,0.965882,0.0,2048,32
8,0.05,0,1.000822,-0.056857,1.890592,128,0.145509,pairwise,2,0.240049,0.01052,0.17223,0.17223,32,11,0.25,0.757911,0.455726,0,0.219134,0,1.045474,1.057679,0.108465,0.530039,0.825914,0.0,2048,32
8,0.05,1,0.263229,-0.321912,1.560959,128,0.184164,pairwise,0,0.258734,0.020649,-0.01363,0.01363,33,11,0.25,0.742366,0.557027,1,0.211053,0,0.945075,0.585141,0.233736,0.547842,0.896467,0.0,2048,32
8,0.05,1,0.644714,-0.105942,1.936543,128,0.167538,pairwise,1,0.23966,0.036229,0.175358,0.175358,34,11,0.25,0.773166,0.472057,1,0.253779,0,1.032119,0.750656,0.126852,0.528968,0.624182,0.0,2048,32
8,0.05,0,0.963465,0.135895,1.687017,128,0.195685,pairwise,2,0.219549,0.016577,0.118719,0.118719,35,11,0.25,0.78337,0.43711,1,0.170301,1,1.069602,0.827569,0.115404,0.539319,0.531684,0.0,2048,32
8,0.05,0,0.930713,-0.393465,1.727338,128,0.235499,pairwise,0,0.20879,0.019312,0.134669,0.134669,36,11,0.25,0.784667,0.428123,0,0.1627,0,1.077785,1.324178,0.122268,0.537269,0.519312,0.0,2048,32
8,0.05,1,0.651887,-0.102787,1.928614,128,0.209244,pairwise,1,0.210157,0.014714,0.180796,0.180796,37,11,0.25,0.749745,0.470164,1,0.247563,0,1.035614,0.754674,0.127746,0.528751,0.783462,0.0,2048,32
8,0.05,0,1.056191,-0.005806,1.93442,128,0.271931,pairwise,2,0.188004,0.035232,0.175209,0.175209,38,11,0.25,0.774985,0.470368,0,0.250558,0,1.033358,1.061997,0.124603,0.52901,0.464768,0.0,2048,32
8,0.05,1,0.472253,-0.366421,1.617357,128,0.199259,pairwise,0,0.252627,0.02008,0.07638,0.07638,39,11,0.25,0.782421,0.432283,1,0.205733,0,1.024985,0.838674,0.028299,0.543654,0.46568,0.0,2048,32
8,0.05,1,0.627664,-0.125273,1.944512,128,0.124871,pairwise,1,0.274657,0.043924,0.174163,0.174163,40,11,0.25,0.769649,0.470981,1,0.244435,0,1.035281,0.752938,0.129262,0.528349,0.647873,0.0,2048,32
8,0.05,0,0.961423,-0.065688,1.882322,128,0.200063,pairwise,2,0.227365,0.013162,0.169136,0.169136,41,11,0.25,0.77988,0.450522,0,0.227106,0,1.043453,1.027111,0.092483,0.530964,0.486838,0.0,2048,32
8,0.05,1,0.224652,-0.382837,1.550514,128,0.164002,pairwise,0,0.233059,0.032238,-0.032421,0.032421,42,11,0.25,0.777929,0.544717,1,0.274531,0,0.952377,0.607489,0.210065,0.549919,0.538752,0.0,2048,32
8,0.05,0,2.113836,0.626332,1.668314,128,0.162216,pairwise,1,0.24999,0.034721,0.102026,0.102026,43,11,0.25,0.757049,0.401576,0,0.129691,1,1.070312,1.487504,0.029089,0.539668,0.829831,0.0,2048,32
8,0.05,1,0.831297,-0.105831,1.774519,128,0.100534,pairwise,2,0.278928,0.046296,0.15231,0.15231,44,11,0.25,0.774232,0.391752,1,0.18229,0,1.066839,0.937127,0.002253,0.535229,0.641618,0.0,2048,32
8,0.05,1,0.329564,-0.362435,1.577945,128,0.177951,pairwise,0,0.224463,0.049786,0.028179,0.028179,45,11,0.25,0.780413,0.500574,1,0.230921,0,0.983439,0.691999,0.134992,0.546689,0.552683,0.0,2048,32
8,0.05,0,1.453087,0.47001,1.750902,128,0.148987,pairwise,1,0.310723,0.032122,0.139764,0.139764,46,11,0.25,0.749088,0.377196,0,0.164019,0,1.081635,0.983078,0.003038,0.53541,0.954216,0.0,2048,32
8,0.05,0,1.261728,0.262972,1.613039,128,0.123156,pairwise,2,0.215651,0.078821,0.06141,0.06141,47,11,0.25,0.762051,0.489688,0,0.158549,0,0.99466,0.998756,0.12135,0.543302,0.794901,0.0,2048,32
8,0.05,1,0.353152,-0.328902,1.586058,128,0.196535,pairwise,0,0.200944,0.031899,0.035018,0.035018,48,11,0.25,0.776256,0.505578,1,0.207006,0,0.979381,0.682053,0.14258,0.545707,0.590828,0.0,2048,32
8,0.05,1,0.631858,-0.134098,1.939041,128,0.204198,pairwise,1,0.223567,0.026249,0.179662,0.179662,49,11,0.25,0.74941,0.464889,1,0.254053,0,1.039871,0.765956,0.121624,0.528183,0.918693,0.0,2048,32
8,0.05,0,1.09542,0.177673,1.653146,128,0.100243,pairwise,2,0.302569,0.049219,0.094478,0.094478,50,11,0.25,0.759396,0.406202,0,0.140307,0,1.050896,0.917747,0.006785,0.540707,0.794635,0.0,2048,32
8,0.05,1,0.344935,-0.288532,1.584569,128,0.173415,pairwise,0,0.217184,0.038978,0.029067,0.029067,51,11,0.25,0.750305,0.530749,1,0.179156,0,0.965752,0.633467,0.189005,0.545483,0.896357,0.0,2048,32
8,0.05,0,1.283575,0.403945,1.776823,128,0.142291,pairwise,1,0.324898,0.017136,0.152846,0.152846,52,11,0.25,0.753492,0.414936,1,0.17431,1,1.064434,0.879631,0.046908,0.534635,0.941649,0.0,2048,32
8,0.05,1,0.864938,-0.13351,1.816363,128,0.186097,pairwise,2,0.208286,0.019773,0.161826,0.161826,53,11,0.25,0.770829,0.428914,0,0.193686,1,1.054431,0.998447,0.060463,0.533333,0.519773,0.0,2048,32
8,0.05,1,0.713734,-0.439005,1.685288,128,0.158951,pairwise,0,0.214942,0.01088,0.116152,0.116152,54,11,0.25,0.758302,0.411458,0,0.137357,1,1.083759,1.152739,0.095687,0.538959,0.793237,0.0,2048,32
8,0.05,0,1.765494,0.58915,1.710977,128,0.155549,pairwise,1,0.228777,0.03962,0.125463,0.125463,55,11,0.25,0.765732,0.409961,0,0.131635,1,1.085221,1.176343,0.101557,0.537604,0.812775,0.0,2048,32
8,0.05,0,0.924989,0.08232,1.701698,128,0.137462,pairwise,2,0.271224,0.013322,0.12624,0.12624,56,11,0.25,0.776977,0.43056,1,0.159622,1,1.078002,0.842669,0.13876,0.538538,0.58887,0.0,2048,32
8,0.05,0,1.454355,-0.116581,1.819525,128,0.139632,pairwise,0,0.299474,0.022528,0.162822,0.162822,57,11,0.25,0.750605,0.435811,0,0.191456,1,1.056178,1.570936,0.079473,0.532762,0.977472,0.0,2048,32
8,0.05,0,1.183741,0.319075,1.791515,128,0.164373,pairwise,1,0.24774,0.018592,0.157064,0.157064,58,11,0.25,0.745207,0.421192,1,0.174475,1,1.063246,0.864666,0.058764,0.533827,0.862027,0.0,2048,32
8,0.05,1,0.848967,-0.078952,1.761916,128,0.111094,pairwise,2,0.245595,0.071494,0.147018,0.147018,59,11,0.25,0.773764,0.395376,1,0.163828,0,1.070954,0.927919,0.017222,0.535608,0.652293,0.0,2048,32
8,0.05,1,0.566159,-0.322824,1.647074,128,0.104735,pairwise,0,0.273843,0.04541,0.091748,0.091748,60,11,0.25,0.775869,0.412449,0,0.154578,1,1.036831,0.888983,0.001375,0.541326,0.668304,0.0,2048,32
8,0.05,0,1.018079,0.145044,1.827252,128,0.318685,pairwise,1,0.194899,0.00746,0.163378,0.163378,61,11,0.25,0.782904,0.417682,1,0.21457,1,1.056345,0.873035,0.038841,0.533214,0.531991,0.0,2048,32
8,0.05,0,0.950778,0.024868,1.710144,128,0.127804,pairwise,2,0.262856,0.016248,0.1248,0.1248,62,11,0.25,0.753399,0.396171,1,0.13728,1,1.088367,0.92591,0.072256,0.53747,0.895445,0.0,2048,32
8,0.05,1,0.311148,-0.300615,1.574514,128,0.166346,pairwise,0,0.208535,0.020679,0.013071,0.013071,63,11,0.25,0.74739,0.542394,1,0.190424,0,0.956614,0.611763,0.208505,0.546394,0.796396,0.0,2048,32
8,0.05,0,1.530581,0.436151,1.743243,128,0.259246,pairwise,1,0.218358,0.01368,0.143887,0.143887,64,11,0.25,0.78345,0.418655,0,0.186939,0,1.076108,1.09443,0.083925,0.536759,0.48632,0.0,2048,32
8,0.05,0,0.909603,0.069776,1.710829,128,0.234691,pairwise,2,0.20087,0.01031,0.129756,0.129756,65,11,0.25,0.781463,0.431785,1,0.167003,1,1.077661,0.839827,0.14624,0.538077,0.574148,0.0,2048,32
8,0.05,0,1.414832,-0.167346,1.812136,128,0.170018,pairwise,0,0.193452,0.055341,0.160246,0.160246,66,11,0.25,0.766398,0.429485,0,0.182477,1,1.056036,1.582177,0.064498,0.533325,0.569867,0.0,2048,32
8,0.05,1,0.61716,-0.144358,1.945022,128,0.194135,pairwise,1,0.199235,0.03482,0.182745,0.182745,67,11,0.25,0.742041,0.466957,1,0.264703,0,1.037968,0.761518,0.123595,0.527958,0.904074,0.0,2048,32
8,0.05,0,1.355909,0.348441,1.594184,128,0.14216,pairwise,2,0.222679,0.039401,0.044805,0.044805,68,11,0.25,0.768719,0.500609,0,0.187775,0,0.983835,1.007468,0.135467,0.544954,0.644188,0.0,2048,32
8,0.05,1,0.352702,-0.321234,1.585959,128,0.166919,pairwise,0,0.219216,0.011427,0.034668,0.034668,69,11,0.25,0.770186,0.509699,1,0.204674,0,0.977343,0.673935,0.150195,0.545669,0.609547,0.0,2048,32
8,0.05,1,0.755523,-0.050207,1.888942,128,0.129521,pairwise,1,0.300159,0.06912,0.171297,0.171297,70,11,0.25,0.750555,0.446762,1,0.230561,0,1.051757,0.80573,0.097715,0.529853,0.917386,0.0,2048,32
8,0.05,0,1.037758,-0.019284,1.908032,128,0.156976,pairwise,2,0.209283,0.047977,0.17433,0.17433,71,11,0.25,0.751176,0.452643,0,0.236293,0,1.047903,1.057043,0.105161,0.529183,0.856129,0.0,2048,32
8,0.05,1,0.285688,-0.328671,1.566709,128,0.154953,pairwise,0,0.200501,0.008927,0.001499,0.001499,72,11,0.25,0.759721,0.540988,1,0.21269,0,0.9554,0.614359,0.203815,0.547409,0.67044,0.0,2048,32
8,0.05,1,0.716987,-0.064514,1.902644,128,0.187444,pairwise,1,0.211392,0.030391,0.175558,0.175558,73,11,0.25,0.751558,0.457718,1,0.23073,0,1.044383,0.781501,0.111495,0.529517,0.871156,0.0,2048,32
8,0.05,0,1.405253,0.337175,1.58759,128,0.153681,pairwise,2,0.252044,0.022827,0.033909,0.033909,74,11,0.25,0.748511,0.526873,0,0.175174,0,0.969347,1.068078,0.183204,0.545241,0.836311,0.0,2048,32
8,0.05,1,0.283201,-0.380794,1.564695,128,0.153782,pairwise,0,0.253956,0.007645,0.00686,0.00686,75,11,0.25,0.780054,0.514791,1,0.254751,0,0.974479,0.663995,0.159355,0.548151,0.507645,0.0,2048,32
8,0.05,0,1.54551,0.453359,1.741245,128,0.186184,pairwise,1,0.239416,0.003931,0.143158,0.143158,76,11,0.25,0.781786,0.417867,0,0.193075,0,1.07629,1.092151,0.082373,0.536842,0.496069,0.0,2048,32
8,0.05,1,0.902949,-0.127203,1.822069,128,0.155585,pairwise,2,0.247093,0.019074,0.163307,0.163307,77,11,0.25,0.745819,0.431905,0,0.192355,1,1.058695,1.030153,0.074952,0.532523,0.906873,0.0,2048,32
8,0.05,1,0.797895,-0.467025,1.70614,128,0.143032,pairwise,0,0.284036,0.061095,0.12416,0.12416,78,11,0.25,0.754002,0.398887,0,0.138742,1,1.088103,1.26492,0.080035,0.537735,0.936135,0.0,2048,32
8,0.05,0,1.069145,0.200468,1.816255,128,0.232277,pairwise,1,0.203377,0.030862,0.160767,0.160767,79,11,0.25,0.777906,0.419506,1,0.192745,1,1.057058,0.868677,0.04396,0.533448,0.639637,0.0,2048,32
8,0.05,0,1.388708,0.311859,1.592322,128,0.140432,pairwise,2,0.249848,0.045503,0.034029,0.034029,80,11,0.25,0.746023,0.526918,0,0.169325,0,0.972168,1.076849,0.186251,0.544601,0.9209,0.0,2048,32
8,0.05,0,1.541205,-0.063887,1.834138,128,0.098996,pairwise,0,0.253116,0.089719,0.163735,0.163735,81,11,0.25,0.765499,0.440729,0,0.18832,1,1.051273,1.605093,0.082329,0.532436,0.688637,0.0,2048,32
8,0.05,0,1.069773,0.206337,1.815966,128,0.310469,pairwise,1,0.175396,0.01677,0.161455,0.161455,82,11,0.25,0.776435,0.421711,1,0.191137,1,1.05658,0.863436,0.048001,0.533413,0.560736,0.0,2048,32
8,0.05,1,0.876243,-0.121749,1.771104,128,0.140533,pairwise,2,0.267905,0.04294,0.149929,0.149929,83,11,0.25,0.746736,0.405123,0,0.166589,1,1.070171,0.997991,0.036504,0.534663,0.920658,0.0,2048,32
8,0.05,0,1.310274,-0.242057,1.795472,128,0.101751,pairwise,0,0.255488,0.041545,0.155151,0.155151,84,11,0.25,0.766977,0.417433,0,0.172688,1,1.061262,1.552331,0.04662,0.533978,0.765992,0.0,2048,32
8,0.05,0,1.481645,0.483836,1.749232,128,0.13916,pairwise,1,0.230498,0.04496,0.142124,0.142124,85,11,0.25,0.769871,0.395887,0,0.146371,0,1.075229,0.997809,0.0272,0.536002,0.645966,0.0,2048,32
8,0.05,0,1.047244,-0.011142,1.928923,128,0.129244,pairwise,2,0.255312,0.059178,0.173,0.173,86,11,0.25,0.776268,0.468064,0,0.245229,0,1.034722,1.058386,0.121048,0.529217,0.583359,0.0,2048,32
8,0.05,1,0.210549,-0.381229,1.546971,128,0.175576,pairwise,0,0.207718,0.02626,-0.042943,0.042943,87,11,0.25,0.764781,0.553343,1,0.272474,0,0.945642,0.591777,0.224982,0.550533,0.553326,0.0,2048,32
8,0.05,0,1.669548,0.552326,1.724416,128,0.206804,pairwise,1,0.208135,0.035753,0.136849,0.136849,88,11,0.25,0.772943,0.416624,0,0.158356,0,1.079213,1.117222,0.089437,0.537381,0.645286,0.0,2048,32
