accuracy,base_oracle_loss,base_oracle_match_rate,budget,causal_k,context_variant,cv_mean_delta,cv_min_win_rate,cv_safe_margin,cv_win_rate,diagnostic_dim,excess_over_base_oracle,excess_over_generated_oracle,generated_candidates,generated_oracle_accuracy,generated_oracle_loss,generated_oracle_match_rate,heldout_seed,interaction_mode,loss,normalized_utility_weight,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,static_generated_mode_from_train_seeds,static_mode_from_train_seeds,test_samples,total_objects_n,train_reranker_loss,train_seed_count,train_static_loss,validation_samples_per_seed
0.522222,0.968257,0.622222,4,8,full,0.001132,0.5,0.0,0.25,3,-0.003612,0.0,4,0.522222,0.964645,1.0,13,pairwise,0.964645,0.05,generated_oracle,40,600,400,0.005,,13,0.033333,0.322222,0.0,0.022222,0.377778,0.511111,0.011111,0.0,0.1,generated_2,interaction,90,2048,0.953811,4,0.979951,180
0.466667,0.968257,0.2,4,8,no_identity,0.00053,0.5,0.0,0.5,3,0.028113,0.031725,4,0.522222,0.964645,0.011111,13,pairwise,0.99637,0.05,diagnostic_cross_seed_static_base_choice,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,generated_2,interaction,90,2048,0.949268,4,0.979951,180
0.477778,0.968257,0.0,4,8,no_identity,0.00053,0.5,0.0,0.5,3,0.026543,0.030154,4,0.522222,0.964645,0.0,13,pairwise,0.994799,0.05,diagnostic_cross_seed_static_generated_choice,40,600,400,0.005,,13,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,interaction,90,2048,0.949268,4,0.979951,180
0.5,0.968257,0.366667,4,8,no_identity,0.00053,0.5,0.0,0.5,3,0.018824,0.022436,4,0.522222,0.964645,0.377778,13,pairwise,0.987081,0.05,diagnostic_cross_seed_generated_reranker,40,600,400,0.005,,13,0.088889,0.211111,0.033333,0.011111,0.344444,0.4,0.011111,0.011111,0.233333,generated_2,interaction,90,2048,0.949268,4,0.979951,180
0.5,0.968257,0.366667,4,8,no_identity,0.00053,0.5,0.0,0.5,3,0.018824,0.022436,4,0.522222,0.964645,0.377778,13,pairwise,0.987081,0.05,diagnostic_cross_seed_margin_safe_reranker,40,600,400,0.005,1,13,0.088889,0.211111,0.033333,0.011111,0.344444,0.4,0.011111,0.011111,0.233333,generated_2,interaction,90,2048,0.949268,4,0.979951,180
0.466667,0.968257,0.2,4,8,no_identity,0.00053,0.5,0.0,0.5,3,0.028113,0.031725,4,0.522222,0.964645,0.011111,13,pairwise,0.99637,0.05,diagnostic_cross_seed_cv_safe_reranker,40,600,400,0.005,0,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,generated_2,interaction,90,2048,0.949268,4,0.979951,180
0.511111,0.968257,1.0,4,8,no_identity,0.00053,0.5,0.0,0.5,3,0.0,0.003612,4,0.522222,0.964645,0.622222,13,pairwise,0.968257,0.05,base_oracle,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,0.522222,0.2,0.011111,0.266667,generated_2,interaction,90,2048,0.949268,4,0.979951,180
0.522222,0.968257,0.622222,4,8,no_identity,0.00053,0.5,0.0,0.5,3,-0.003612,0.0,4,0.522222,0.964645,1.0,13,pairwise,0.964645,0.05,generated_oracle,40,600,400,0.005,,13,0.033333,0.322222,0.0,0.022222,0.377778,0.511111,0.011111,0.0,0.1,generated_2,interaction,90,2048,0.949268,4,0.979951,180
0.466667,0.968257,0.2,4,8,set_only,0.000829,0.5,0.0,0.25,3,0.028113,0.031725,4,0.522222,0.964645,0.011111,13,pairwise,0.99637,0.05,diagnostic_cross_seed_static_base_choice,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,generated_2,interaction,90,2048,0.952499,4,0.979951,180
0.477778,0.968257,0.0,4,8,set_only,0.000829,0.5,0.0,0.25,3,0.026543,0.030154,4,0.522222,0.964645,0.0,13,pairwise,0.994799,0.05,diagnostic_cross_seed_static_generated_choice,40,600,400,0.005,,13,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,interaction,90,2048,0.952499,4,0.979951,180
0.488889,0.968257,0.3,4,8,set_only,0.000829,0.5,0.0,0.25,3,0.023679,0.027291,4,0.522222,0.964645,0.366667,13,pairwise,0.991936,0.05,diagnostic_cross_seed_generated_reranker,40,600,400,0.005,,13,0.044444,0.255556,0.077778,0.0,0.377778,0.4,0.055556,0.0,0.166667,generated_2,interaction,90,2048,0.952499,4,0.979951,180
0.488889,0.968257,0.3,4,8,set_only,0.000829,0.5,0.0,0.25,3,0.023679,0.027291,4,0.522222,0.964645,0.366667,13,pairwise,0.991936,0.05,diagnostic_cross_seed_margin_safe_reranker,40,600,400,0.005,1,13,0.044444,0.255556,0.077778,0.0,0.377778,0.4,0.055556,0.0,0.166667,generated_2,interaction,90,2048,0.952499,4,0.979951,180
0.466667,0.968257,0.2,4,8,set_only,0.000829,0.5,0.0,0.25,3,0.028113,0.031725,4,0.522222,0.964645,0.011111,13,pairwise,0.99637,0.05,diagnostic_cross_seed_cv_safe_reranker,40,600,400,0.005,0,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,generated_2,interaction,90,2048,0.952499,4,0.979951,180
0.511111,0.968257,1.0,4,8,set_only,0.000829,0.5,0.0,0.25,3,0.0,0.003612,4,0.522222,0.964645,0.622222,13,pairwise,0.968257,0.05,base_oracle,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,0.522222,0.2,0.011111,0.266667,generated_2,interaction,90,2048,0.952499,4,0.979951,180
0.522222,0.968257,0.622222,4,8,set_only,0.000829,0.5,0.0,0.25,3,-0.003612,0.0,4,0.522222,0.964645,1.0,13,pairwise,0.964645,0.05,generated_oracle,40,600,400,0.005,,13,0.033333,0.322222,0.0,0.022222,0.377778,0.511111,0.011111,0.0,0.1,generated_2,interaction,90,2048,0.952499,4,0.979951,180
0.466667,0.968257,0.2,4,8,diagnostics_only,0.001964,0.5,0.0,0.25,3,0.028113,0.031725,4,0.522222,0.964645,0.011111,13,pairwise,0.99637,0.05,diagnostic_cross_seed_static_base_choice,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,generated_2,interaction,90,2048,0.951586,4,0.979951,180
0.477778,0.968257,0.0,4,8,diagnostics_only,0.001964,0.5,0.0,0.25,3,0.026543,0.030154,4,0.522222,0.964645,0.0,13,pairwise,0.994799,0.05,diagnostic_cross_seed_static_generated_choice,40,600,400,0.005,,13,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,generated_2,interaction,90,2048,0.951586,4,0.979951,180
0.466667,0.968257,0.388889,4,8,diagnostics_only,0.001964,0.5,0.0,0.25,3,0.020145,0.023756,4,0.522222,0.964645,0.455556,13,pairwise,0.988401,0.05,diagnostic_cross_seed_generated_reranker,40,600,400,0.005,,13,0.055556,0.177778,0.044444,0.022222,0.3,0.522222,0.033333,0.011111,0.133333,generated_2,interaction,90,2048,0.951586,4,0.979951,180
0.466667,0.968257,0.388889,4,8,diagnostics_only,0.001964,0.5,0.0,0.25,3,0.020145,0.023756,4,0.522222,0.964645,0.455556,13,pairwise,0.988401,0.05,diagnostic_cross_seed_margin_safe_reranker,40,600,400,0.005,1,13,0.055556,0.177778,0.044444,0.022222,0.3,0.522222,0.033333,0.011111,0.133333,generated_2,interaction,90,2048,0.951586,4,0.979951,180
0.466667,0.968257,0.2,4,8,diagnostics_only,0.001964,0.5,0.0,0.25,3,0.028113,0.031725,4,0.522222,0.964645,0.011111,13,pairwise,0.99637,0.05,diagnostic_cross_seed_cv_safe_reranker,40,600,400,0.005,0,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,generated_2,interaction,90,2048,0.951586,4,0.979951,180
0.511111,0.968257,1.0,4,8,diagnostics_only,0.001964,0.5,0.0,0.25,3,0.0,0.003612,4,0.522222,0.964645,0.622222,13,pairwise,0.968257,0.05,base_oracle,40,600,400,0.005,,13,0.0,0.0,0.0,0.0,0.0,0.522222,0.2,0.011111,0.266667,generated_2,interaction,90,2048,0.951586,4,0.979951,180
0.522222,0.968257,0.622222,4,8,diagnostics_only,0.001964,0.5,0.0,0.25,3,-0.003612,0.0,4,0.522222,0.964645,1.0,13,pairwise,0.964645,0.05,generated_oracle,40,600,400,0.005,,13,0.033333,0.322222,0.0,0.022222,0.377778,0.511111,0.011111,0.0,0.1,generated_2,interaction,90,2048,0.951586,4,0.979951,180
0.466667,0.962886,0.355556,4,8,full,-0.005731,0.5,0.0,1.0,3,0.019307,0.02494,4,0.511111,0.957253,0.288889,17,pairwise,0.982193,0.05,diagnostic_cross_seed_static_base_choice,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,indexed,indexed,90,2048,0.951831,4,0.986334,180
0.466667,0.962886,0.355556,4,8,full,-0.005731,0.5,0.0,1.0,3,0.019307,0.02494,4,0.511111,0.957253,0.288889,17,pairwise,0.982193,0.05,diagnostic_cross_seed_static_generated_choice,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,indexed,indexed,90,2048,0.951831,4,0.986334,180
0.488889,0.962886,0.233333,4,8,full,-0.005731,0.5,0.0,1.0,3,0.017558,0.023191,4,0.511111,0.957253,0.266667,17,pairwise,0.980444,0.05,diagnostic_cross_seed_generated_reranker,40,600,400,0.005,,17,0.011111,0.244444,0.044444,0.011111,0.311111,0.511111,0.033333,0.0,0.144444,indexed,indexed,90,2048,0.951831,4,0.986334,180
0.488889,0.962886,0.233333,4,8,full,-0.005731,0.5,0.0,1.0,3,0.017558,0.023191,4,0.511111,0.957253,0.266667,17,pairwise,0.980444,0.05,diagnostic_cross_seed_margin_safe_reranker,40,600,400,0.005,1,17,0.011111,0.244444,0.044444,0.011111,0.311111,0.511111,0.033333,0.0,0.144444,indexed,indexed,90,2048,0.951831,4,0.986334,180
0.488889,0.962886,0.233333,4,8,full,-0.005731,0.5,0.0,1.0,3,0.017558,0.023191,4,0.511111,0.957253,0.266667,17,pairwise,0.980444,0.05,diagnostic_cross_seed_cv_safe_reranker,40,600,400,0.005,1,17,0.011111,0.244444,0.044444,0.011111,0.311111,0.511111,0.033333,0.0,0.144444,indexed,indexed,90,2048,0.951831,4,0.986334,180
0.511111,0.962886,1.0,4,8,full,-0.005731,0.5,0.0,1.0,3,0.0,0.005633,4,0.511111,0.957253,0.411111,17,pairwise,0.962886,0.05,base_oracle,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,0.355556,0.355556,0.022222,0.266667,indexed,indexed,90,2048,0.951831,4,0.986334,180
0.511111,0.962886,0.411111,4,8,full,-0.005731,0.5,0.0,1.0,3,-0.005633,0.0,4,0.511111,0.957253,1.0,17,pairwise,0.957253,0.05,generated_oracle,40,600,400,0.005,,17,0.088889,0.233333,0.111111,0.155556,0.588889,0.288889,0.033333,0.011111,0.077778,indexed,indexed,90,2048,0.951831,4,0.986334,180
0.466667,0.962886,0.355556,4,8,no_identity,-0.004565,0.5,0.0,0.75,3,0.019307,0.02494,4,0.511111,0.957253,0.288889,17,pairwise,0.982193,0.05,diagnostic_cross_seed_static_base_choice,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,indexed,indexed,90,2048,0.953562,4,0.986334,180
0.466667,0.962886,0.355556,4,8,no_identity,-0.004565,0.5,0.0,0.75,3,0.019307,0.02494,4,0.511111,0.957253,0.288889,17,pairwise,0.982193,0.05,diagnostic_cross_seed_static_generated_choice,40,600,400,0.005,,17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,indexed,indexed,90,2048,0.953562,4,0.986334,180
0.488889,0.962886,0.188889,4,8,no_identity,-0.004565,0.5,0.0,0.75,3,0.019451,0.025084,4,0.511111,0.957253,0.244444,17,pairwise,0.982337,0.05,diagnostic_cross_seed_generated_reranker,40,600,400,0.005,,17,0.044444,0.3,0.022222,0.011111,0.377778,0.522222,0.011111,0.0,0.088889,indexed,indexed,90,2048,0.953562,4,0.986334,180
0.488889,0.962886,0.188889,4,8,no_identity,-0.004565,0.5,0.0,0.75,3,0.019451,0.025084,4,0.511111,0.957253,0.244444,17,pairwise,0.982337,0.05,diagnostic_cross_seed_margin_safe_reranker,40,600,400,0.005,1,17,0.044444,0.3,0.022222,0.011111,0.377778,0.522222,0.011111,0.0,0.088889,indexed,indexed,90,2048,0.953562,4,0.986334,180
0.488889,0.962886,0.188889,4,8,no_identity,-0.004565,0.5,0.0,0.75,3,0.019451,0.025084,4,0.511111,0.957253,0.244444,17,pairwise,0.982337,0.05,diagnostic_cross_seed_cv_safe_reranker,40,600,400,0.005,1,17,0.044444,0.3,0.022222,0.011111,0.377778,0.522222,0.011111,0.0,0.088889,indexed,indexed,90,2048,0.953562,4,0.986334,180
