row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,route_regret_mean,route_regret_negative_ratio,route_regret_loss_weight,route_regret_compute_cost,route_regret_threshold,route_regret_threshold_policy,route_regret_selection_metric,route_regret_selection_score,seed_count
seed,wpu-cws-indexed-sparse,17,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.583333,0.5,0.157067,1.08923,0.659992,0.227912,4.083333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,17,nominal,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.083333,0.5,0.264765,1.137084,0.691896,0.260587,4.583333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,17,nominal,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.416667,0.75,0.093035,1.086647,0.65877,0.070915,4.916667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,19,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.0,0.666667,0.08519,1.074247,0.656084,0.387771,4.666667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,19,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.25,0.5,0.171888,1.096626,0.667947,0.140962,4.666667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,19,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.416667,0.583333,0.135003,1.033352,0.62565,0.029173,4.666667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,19,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.0,0.833333,0.090522,1.073081,0.655501,0.388382,4.833333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,19,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.166667,0.5,0.148206,1.153547,0.702386,0.213947,4.083333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,19,nominal,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.5,0.5,0.248739,1.076736,0.650249,0.10908,4.666667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,19,nominal,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.583333,0.583333,0.140295,1.027341,0.621387,0.19504,4.833333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,23,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.166667,0.583333,0.080846,1.150758,0.704336,0.229221,4.583333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,23,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.0,0.583333,0.258574,1.217801,0.75271,0.419974,4.583333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,23,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.333333,0.333333,0.181534,1.086334,0.659518,0.063139,4.583333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,23,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.0,0.833333,0.095687,1.198583,0.736931,0.401243,4.833333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,23,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.5,0.5,0.103112,1.056872,0.640233,0.182027,4.083333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,23,nominal,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.333333,0.416667,0.385943,1.07944,0.654993,0.087186,4.583333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-sparse,23,nominal,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.5,0.5,0.155817,1.043309,0.628675,0.098241,4.833333,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,11,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.916667,0.5,0.236813,0.928209,0.547968,0.515532,4.416667,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,11,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.416667,0.416667,0.270434,1.066527,0.644238,0.125296,4.416667,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,11,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.333333,0.75,0.258071,1.116699,0.680599,0.284475,4.416667,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,11,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,1.0,1.0,0.221101,0.868605,0.505442,0.580444,5.0,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,11,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.666667,0.666667,0.334887,1.019554,0.612155,0.283654,4.0,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,11,nominal,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.0,0.583333,0.417061,1.198599,0.736091,0.393944,4.416667,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,11,nominal,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.166667,0.833333,0.223176,1.161588,0.713033,0.255609,5.0,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,13,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.916667,0.5,0.12537,1.04726,0.632287,0.564225,4.5,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,13,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.5,0.333333,0.116308,1.080269,0.654246,0.144331,4.5,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,13,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.416667,0.75,0.140857,1.099513,0.667159,0.062546,4.5,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,13,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.583333,0.916667,0.14611,1.064191,0.643899,0.231292,4.916667,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,13,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.666667,0.583333,0.172222,1.071328,0.648498,0.314737,4.083333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,13,nominal,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.0,0.5,0.285815,1.136231,0.692118,0.357082,4.5,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,13,nominal,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.166667,0.75,0.161939,1.136373,0.691623,0.184539,4.916667,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,17,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.083333,0.583333,0.117942,1.11651,0.679529,0.277979,4.583333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,17,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.166667,0.416667,0.132173,1.127224,0.686217,0.191691,4.583333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,17,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.0,0.666667,0.134178,1.150907,0.70171,0.362103,4.583333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,17,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.166667,0.916667,0.129673,1.083619,0.657914,0.194666,4.916667,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,17,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.083333,0.5,0.191768,1.119936,0.681465,0.270138,4.083333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,17,nominal,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.0,0.5,0.259717,1.123936,0.68441,0.358243,4.583333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,17,nominal,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.0,0.75,0.145955,1.187918,0.724814,0.362004,4.916667,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,19,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.583333,0.666667,0.175139,1.028343,0.620853,0.213988,4.666667,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,19,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.416667,0.5,0.20955,1.075458,0.651834,0.058177,4.666667,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,19,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.666667,0.583333,0.227818,1.032775,0.624765,0.36757,4.666667,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,19,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.583333,0.833333,0.189116,1.018503,0.614405,0.210089,4.833333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,19,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.5,0.5,0.241796,1.029809,0.622057,0.127564,4.083333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,19,nominal,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.583333,0.5,0.291521,1.062382,0.643581,0.225032,4.666667,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,19,nominal,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.5,0.583333,0.24126,1.045713,0.635574,0.266381,4.833333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,23,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.583333,0.583333,0.102563,1.028695,0.620984,0.21734,4.583333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,23,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.083333,0.583333,0.250494,1.079897,0.657807,0.292157,4.583333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,23,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.416667,0.333333,0.202897,1.047388,0.633969,0.050787,4.583333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,23,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.75,0.833333,0.120245,1.011181,0.609168,0.38129,4.833333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,23,nominal,no_catch,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.416667,0.5,0.12089,1.062648,0.643715,0.055191,4.083333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,23,nominal,edge_high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.25,0.416667,0.37811,1.061671,0.644493,0.123748,4.583333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-local-dense,23,nominal,edge_catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.416667,0.5,0.181037,1.041736,0.63074,0.047382,4.833333,1.0,1.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,11,nominal,nominal,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.916667,0.5,0.05502,0.976474,0.583748,0.533454,4.416667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,11,nominal,high_force,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.416667,0.416667,0.104065,1.070069,0.647804,0.032993,4.416667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,11,nominal,edge_shift,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.333333,0.75,0.079072,1.031897,0.623219,0.049217,4.416667,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
seed,wpu-cws-indexed-mechanism-conditioned,11,nominal,catch_heavy,1.0,none,0.0,none,,,0.000000;0.000000;0.000000,512,517,12,0.75,1.0,0.046743,1.012162,0.609608,0.383486,5.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,fixed,,,1
