eval_mechanism,base_best_wpu,adapted_best_wpu,base_best_baseline,adapted_best_baseline,base_wpu_accuracy,adapted_wpu_accuracy,wpu_accuracy_change,base_baseline_accuracy,adapted_baseline_accuracy,baseline_accuracy_change,base_wpu_minus_baseline,adapted_wpu_minus_baseline,wpu_margin_change,majority_accuracy,base_majority_minus_wpu,adapted_majority_minus_wpu,base_wpu_ece,adapted_wpu_ece,wpu_ece_change,base_wpu_brier,adapted_wpu_brier,wpu_brier_change,base_prior_dominated,adapted_prior_dominated
catch_heavy,wpu-cws-indexed-local-dense,wpu-cws-indexed-sparse,serialized-token,serialized-token,0.40873,0.753968,0.345238,0.349206,0.738095,0.388889,0.059524,0.015873,-0.043651,0.753968,0.345238,0.0,0.264469,0.123364,-0.141105,0.688479,0.413073,-0.275406,True,False
edge_shift,wpu-cws-indexed-sparse,wpu-cws-indexed-local-dense,serialized-token,graph-transformer,0.527778,0.607143,0.079365,0.571428,0.623016,0.051588,-0.04365,-0.015873,0.027777,0.515873,-0.011905,-0.09127,0.212969,0.240886,0.027917,0.60769,0.594803,-0.012887,False,False
high_force,wpu-cws-indexed-local-dense,wpu-cws-indexed-local-dense,serialized-token,graph-transformer,0.43254,0.424603,-0.007937,0.460318,0.424603,-0.035715,-0.027778,0.0,0.027778,0.424603,-0.007937,0.0,0.31382,0.501466,0.187646,0.736105,1.005751,0.269646,False,False
nominal,wpu-cws-indexed-sparse,wpu-cws-indexed-local-dense,serialized-token,graph-transformer,0.444445,0.448413,0.003968,0.5,0.5,0.0,-0.055555,-0.051587,0.003968,0.468254,0.023809,0.019841,0.118385,0.230146,0.111761,0.628308,0.680749,0.052441,False,False
