accuracy,base_oracle_loss,base_oracle_match_rate,budget,causal_k,excess_over_base_oracle,excess_over_generated_oracle,generated_candidates,generated_oracle_accuracy,generated_oracle_loss,generated_oracle_match_rate,interaction_mode,loss,policy,propagation_steps,reranker_steps,retriever_steps,safe_margin,safe_uses_reranker,seed,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_4_rate,selected_generated_5_rate,selected_generated_6_rate,selected_generated_7_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,static_generated_mode_from_validation,static_mode_from_validation,test_samples,total_objects_n,validation_reranker_loss,validation_samples,validation_static_loss
0.488889,0.962886,0.266667,4,8,0.014234,0.0155,1,0.511111,0.96162,0.266667,pairwise,0.977119,static_proximity,40,600,400,0.005,,17,0.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,learned,learned,90,2048,0.944123,180,0.958614
0.5,0.962886,0.355556,4,8,0.013696,0.014962,1,0.511111,0.96162,0.211111,pairwise,0.976582,static_interaction,40,600,400,0.005,,17,0.0,,,,,,,,0.0,0.0,1.0,0.0,0.0,learned,learned,90,2048,0.944123,180,0.958614
0.5,0.962886,0.022222,4,8,0.013478,0.014744,1,0.511111,0.96162,0.022222,pairwise,0.976364,static_learned,40,600,400,0.005,,17,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,learned,learned,90,2048,0.944123,180,0.958614
0.5,0.962886,0.022222,4,8,0.013478,0.014744,1,0.511111,0.96162,0.022222,pairwise,0.976364,static_base_validation_choice,40,600,400,0.005,,17,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,learned,learned,90,2048,0.944123,180,0.958614
0.5,0.962886,0.022222,4,8,0.013478,0.014744,1,0.511111,0.96162,0.022222,pairwise,0.976364,static_generated_validation_choice,40,600,400,0.005,,17,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,learned,learned,90,2048,0.944123,180,0.958614
0.511111,0.962886,0.333333,4,8,0.010805,0.012071,1,0.511111,0.96162,0.355556,pairwise,0.973691,generated_set_reranker,40,600,400,0.005,,17,0.188889,,,,,,,,0.188889,0.255556,0.233333,0.044444,0.277778,learned,learned,90,2048,0.944123,180,0.958614
0.511111,0.962886,0.333333,4,8,0.010805,0.012071,1,0.511111,0.96162,0.355556,pairwise,0.973691,generated_margin_safe_reranker,40,600,400,0.005,1,17,0.188889,,,,,,,,0.188889,0.255556,0.233333,0.044444,0.277778,learned,learned,90,2048,0.944123,180,0.958614
0.511111,0.962886,1.0,4,8,0.0,0.001266,1,0.511111,0.96162,0.833333,pairwise,0.962886,base_oracle,40,600,400,0.005,,17,0.0,,,,,,,,0.0,0.355556,0.355556,0.022222,0.266667,learned,learned,90,2048,0.944123,180,0.958614
0.511111,0.962886,0.833333,4,8,-0.001266,0.0,1,0.511111,0.96162,1.0,pairwise,0.96162,generated_oracle,40,600,400,0.005,,17,0.166667,,,,,,,,0.166667,0.333333,0.211111,0.022222,0.266667,learned,learned,90,2048,0.944123,180,0.958614
0.511111,0.973841,0.5,4,8,0.025892,0.027116,1,0.633333,0.972616,0.444444,pairwise,0.999732,static_indexed,40,600,400,0.005,,19,0.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,interaction,interaction,90,2048,0.941382,180,0.968328
0.522222,0.973841,0.3,4,8,0.029262,0.030487,1,0.633333,0.972616,0.233333,pairwise,1.003103,static_proximity,40,600,400,0.005,,19,0.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,interaction,interaction,90,2048,0.941382,180,0.968328
0.533333,0.973841,0.177778,4,8,0.028924,0.030148,1,0.633333,0.972616,0.166667,pairwise,1.002764,static_interaction,40,600,400,0.005,,19,0.0,,,,,,,,0.0,0.0,1.0,0.0,0.0,interaction,interaction,90,2048,0.941382,180,0.968328
0.533333,0.973841,0.022222,4,8,0.028959,0.030183,1,0.633333,0.972616,0.011111,pairwise,1.002799,static_learned,40,600,400,0.005,,19,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,interaction,interaction,90,2048,0.941382,180,0.968328
0.533333,0.973841,0.177778,4,8,0.028924,0.030148,1,0.633333,0.972616,0.166667,pairwise,1.002764,static_base_validation_choice,40,600,400,0.005,,19,0.0,,,,,,,,0.0,0.0,1.0,0.0,0.0,interaction,interaction,90,2048,0.941382,180,0.968328
0.533333,0.973841,0.177778,4,8,0.028924,0.030148,1,0.633333,0.972616,0.166667,pairwise,1.002764,static_generated_validation_choice,40,600,400,0.005,,19,0.0,,,,,,,,0.0,0.0,1.0,0.0,0.0,interaction,interaction,90,2048,0.941382,180,0.968328
0.577778,0.973841,0.477778,4,8,0.013358,0.014582,1,0.633333,0.972616,0.544444,pairwise,0.987199,generated_set_reranker,40,600,400,0.005,,19,0.177778,,,,,,,,0.177778,0.377778,0.088889,0.022222,0.333333,interaction,interaction,90,2048,0.941382,180,0.968328
0.577778,0.973841,0.477778,4,8,0.013358,0.014582,1,0.633333,0.972616,0.544444,pairwise,0.987199,generated_margin_safe_reranker,40,600,400,0.005,1,19,0.177778,,,,,,,,0.177778,0.377778,0.088889,0.022222,0.333333,interaction,interaction,90,2048,0.941382,180,0.968328
0.622222,0.973841,1.0,4,8,0.0,0.001224,1,0.633333,0.972616,0.855556,pairwise,0.973841,base_oracle,40,600,400,0.005,,19,0.0,,,,,,,,0.0,0.5,0.177778,0.022222,0.3,interaction,interaction,90,2048,0.941382,180,0.968328
0.633333,0.973841,0.855556,4,8,-0.001224,0.0,1,0.633333,0.972616,1.0,pairwise,0.972616,generated_oracle,40,600,400,0.005,,19,0.144444,,,,,,,,0.144444,0.444444,0.166667,0.011111,0.233333,interaction,interaction,90,2048,0.941382,180,0.968328
0.544444,0.960229,0.533333,4,8,0.037345,0.038401,1,0.6,0.959173,0.533333,pairwise,0.997574,static_indexed,40,600,400,0.005,,23,0.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,indexed,indexed,90,2048,0.967243,180,1.00984
0.511111,0.960229,0.255556,4,8,0.040922,0.041978,1,0.6,0.959173,0.233333,pairwise,1.001151,static_proximity,40,600,400,0.005,,23,0.0,,,,,,,,0.0,0.0,0.0,0.0,1.0,indexed,indexed,90,2048,0.967243,180,1.00984
0.544444,0.960229,0.177778,4,8,0.036391,0.037447,1,0.6,0.959173,0.133333,pairwise,0.99662,static_interaction,40,600,400,0.005,,23,0.0,,,,,,,,0.0,0.0,1.0,0.0,0.0,indexed,indexed,90,2048,0.967243,180,1.00984
0.544444,0.960229,0.033333,4,8,0.035906,0.036962,1,0.6,0.959173,0.022222,pairwise,0.996135,static_learned,40,600,400,0.005,,23,0.0,,,,,,,,0.0,0.0,0.0,1.0,0.0,indexed,indexed,90,2048,0.967243,180,1.00984
0.544444,0.960229,0.533333,4,8,0.037345,0.038401,1,0.6,0.959173,0.533333,pairwise,0.997574,static_base_validation_choice,40,600,400,0.005,,23,0.0,,,,,,,,0.0,1.0,0.0,0.0,0.0,indexed,indexed,90,2048,0.967243,180,1.00984
