mode,shift,total_n,escape_rate,mean_selected_k,max_selected_k,mean_observation_budget,causal_recall,trajectory_mse,state_integrity,observation_hit_rate,objective,work_proxy,bytes_proxy
wpu-learned-observation,weak_anomaly,512,0.75,26.75,32.0,0.40625,0.457031,0.300766,0.772384,0.099479,0.30686,26.75,963.0
dense-state-copy,weak_anomaly,512,0.75,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,512.0,18432.0
wpu-neighbor-only,weak_anomaly,2048,0.0,24.0,24.0,0.0,0.949219,0.07863,0.928091,0.0,0.07863,24.0,864.0
wpu-fixed-observation,weak_anomaly,2048,0.0,32.0,32.0,8.0,0.957031,0.090812,0.917362,0.0,0.210812,32.0,1152.0
wpu-adaptive-observation,weak_anomaly,2048,0.0,24.0,24.0,0.0,0.960938,0.071736,0.933703,0.0,0.071736,24.0,864.0
wpu-learned-observation,weak_anomaly,2048,0.0,24.0,24.0,0.0,0.945312,0.081101,0.925704,0.0,0.081101,24.0,864.0
dense-state-copy,weak_anomaly,2048,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,weak_anomaly,2048,0.25,24.0,24.0,0.0,0.75,0.169485,0.857567,0.0,0.169485,24.0,864.0
wpu-fixed-observation,weak_anomaly,2048,0.25,32.0,32.0,8.0,0.933594,0.100809,0.909394,0.773438,0.220809,32.0,1152.0
wpu-adaptive-observation,weak_anomaly,2048,0.25,24.5,32.0,0.0625,0.75,0.169166,0.857918,0.046875,0.170103,24.5,882.0
wpu-learned-observation,weak_anomaly,2048,0.25,24.25,32.0,0.03125,0.761719,0.163842,0.862671,0.03125,0.16431,24.25,873.0
dense-state-copy,weak_anomaly,2048,0.25,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,weak_anomaly,2048,0.5,24.0,24.0,0.0,0.597656,0.232968,0.814484,0.0,0.232968,24.0,864.0
wpu-fixed-observation,weak_anomaly,2048,0.5,32.0,32.0,8.0,0.847656,0.13952,0.879857,0.755729,0.25952,32.0,1152.0
wpu-adaptive-observation,weak_anomaly,2048,0.5,25.75,32.0,0.21875,0.59375,0.240936,0.808238,0.061979,0.244217,25.75,927.0
wpu-learned-observation,weak_anomaly,2048,0.5,25.5,32.0,0.21875,0.59375,0.238918,0.810703,0.078125,0.2422,25.5,918.0
dense-state-copy,weak_anomaly,2048,0.5,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,weak_anomaly,2048,0.75,24.0,24.0,0.0,0.421875,0.314841,0.762054,0.0,0.314841,24.0,864.0
wpu-fixed-observation,weak_anomaly,2048,0.75,32.0,32.0,8.0,0.835938,0.145434,0.874417,0.800595,0.265434,32.0,1152.0
wpu-adaptive-observation,weak_anomaly,2048,0.75,25.25,32.0,0.15625,0.425781,0.312346,0.764205,0.031771,0.314689,25.25,909.0
wpu-learned-observation,weak_anomaly,2048,0.75,25.0,32.0,0.1875,0.457031,0.302358,0.771083,0.036458,0.30517,25.0,900.0
dense-state-copy,weak_anomaly,2048,0.75,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,2048.0,73728.0
wpu-neighbor-only,weak_anomaly,8192,0.0,24.0,24.0,0.0,0.90625,0.097606,0.912897,0.0,0.097606,24.0,864.0
wpu-fixed-observation,weak_anomaly,8192,0.0,32.0,32.0,8.0,0.953125,0.091826,0.917055,0.0,0.211826,32.0,1152.0
wpu-adaptive-observation,weak_anomaly,8192,0.0,24.0,24.0,0.0,0.960938,0.070941,0.934774,0.0,0.070941,24.0,864.0
wpu-learned-observation,weak_anomaly,8192,0.0,24.0,24.0,0.0,0.945312,0.078544,0.928162,0.0,0.078544,24.0,864.0
dense-state-copy,weak_anomaly,8192,0.0,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,weak_anomaly,8192,0.25,24.0,24.0,0.0,0.71875,0.185767,0.845866,0.0,0.185767,24.0,864.0
wpu-fixed-observation,weak_anomaly,8192,0.25,32.0,32.0,8.0,0.910156,0.11518,0.898807,0.783854,0.23518,32.0,1152.0
wpu-adaptive-observation,weak_anomaly,8192,0.25,24.25,32.0,0.03125,0.785156,0.150433,0.872716,0.015625,0.150902,24.25,873.0
wpu-learned-observation,weak_anomaly,8192,0.25,24.25,32.0,0.0625,0.761719,0.163699,0.861293,0.020833,0.164637,24.25,873.0
dense-state-copy,weak_anomaly,8192,0.25,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,weak_anomaly,8192,0.5,24.0,24.0,0.0,0.566406,0.250421,0.802216,0.0,0.250421,24.0,864.0
wpu-fixed-observation,weak_anomaly,8192,0.5,32.0,32.0,8.0,0.902344,0.116248,0.896817,0.797396,0.236248,32.0,1152.0
wpu-adaptive-observation,weak_anomaly,8192,0.5,24.25,32.0,0.03125,0.609375,0.22714,0.817393,0.007812,0.227609,24.25,873.0
wpu-learned-observation,weak_anomaly,8192,0.5,25.5,32.0,0.1875,0.5625,0.258566,0.798363,0.058333,0.261378,25.5,918.0
dense-state-copy,weak_anomaly,8192,0.5,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,8192.0,294912.0
wpu-neighbor-only,weak_anomaly,8192,0.75,24.0,24.0,0.0,0.414062,0.321009,0.762137,0.0,0.321009,24.0,864.0
wpu-fixed-observation,weak_anomaly,8192,0.75,32.0,32.0,8.0,0.875,0.128615,0.887795,0.824405,0.248615,32.0,1152.0
wpu-adaptive-observation,weak_anomaly,8192,0.75,25.5,32.0,0.1875,0.429688,0.316375,0.762188,0.04375,0.319188,25.5,918.0
wpu-learned-observation,weak_anomaly,8192,0.75,26.25,32.0,0.28125,0.398438,0.330543,0.754705,0.076562,0.334762,26.25,945.0
dense-state-copy,weak_anomaly,8192,0.75,8.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,8192.0,294912.0
