accept_rate,accuracy,budget,candidate_oracle_loss,causal_k,composition_steps,excess_over_candidate_oracle,gate_steps,generated_candidates,harmful_accept_rate,heldout_seed,interaction_mode,loss,no_harm_margin,oracle_match_rate,policy,predicted_regret_mean,predicted_sigma_mean,propagation_steps,regret_corr,regret_retriever_steps,reject_margin,retriever_steps,risk_penalty,seed,selected_composition_argmax_rate,selected_composition_count_only_rate,selected_composition_expected_rate,selected_composition_rate,selected_generated_0_rate,selected_generated_1_rate,selected_generated_2_rate,selected_generated_3_rate,selected_generated_rate,selected_indexed_rate,selected_interaction_rate,selected_learned_rate,selected_proximity_rate,test_samples,total_objects_n,train_candidate_regret_accept_rate,train_candidate_regret_gate_loss,train_seed_count,train_static_learned_loss,train_uncertainty_regret_accept_rate,train_uncertainty_regret_gate_loss,validation_samples_per_seed
0.977778,0.555556,4,0.966375,8,600,0.025254,600,4,0.322222,19,pairwise,0.991628,0.0,0.255556,candidate_regret_gate,-0.001357,0.049787,40,0.181291,600,0.0,400,0.5,19,0.677778,0.1,0.022222,0.8,0.011111,0.044444,0.0,0.0,0.055556,0.022222,0.0,0.022222,0.1,90,2048,0.969444,0.971956,4,0.984641,0.231944,0.978143,180
0.244444,0.522222,4,0.966375,8,600,0.035705,600,4,0.122222,19,pairwise,1.00208,0.0,0.055556,uncertainty_regret_gate,-0.001357,0.049787,40,0.181291,600,0.0,400,0.5,19,0.233333,0.011111,0.0,0.244444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.755556,0.0,90,2048,0.969444,0.971956,4,0.984641,0.231944,0.978143,180
,0.633333,4,0.966375,8,600,0.0,600,4,,19,pairwise,0.966375,0.0,1.0,generated_plus_composition_oracle,,,40,,600,0.0,400,0.5,19,0.266667,0.033333,0.055556,0.355556,0.033333,0.211111,0.033333,0.044444,0.322222,0.222222,0.022222,0.0,0.077778,90,2048,0.969444,0.971956,4,0.984641,0.231944,0.978143,180
,0.544444,4,0.951125,8,600,0.045011,600,4,,23,pairwise,0.996135,0.0,0.0,static_learned_interaction,,,40,,600,0.0,400,0.5,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90,2048,0.973611,0.961058,4,0.974007,0.15,0.96982,180
0.977778,0.555556,4,0.951125,8,600,0.04909,600,4,0.455556,23,pairwise,1.000214,0.0,0.2,candidate_regret_gate,-0.000366,0.049809,40,-0.074882,600,0.0,400,0.5,23,0.533333,0.033333,0.155556,0.722222,0.0,0.133333,0.011111,0.0,0.144444,0.088889,0.0,0.022222,0.022222,90,2048,0.973611,0.961058,4,0.974007,0.15,0.96982,180
0.111111,0.555556,4,0.951125,8,600,0.044735,600,4,0.066667,23,pairwise,0.995859,0.0,0.033333,uncertainty_regret_gate,-0.000366,0.049809,40,-0.074882,600,0.0,400,0.5,23,0.077778,0.0,0.011111,0.088889,0.0,0.022222,0.0,0.0,0.022222,0.0,0.0,0.888889,0.0,90,2048,0.973611,0.961058,4,0.974007,0.15,0.96982,180
,0.6,4,0.951125,8,600,0.0,600,4,,23,pairwise,0.951125,0.0,1.0,generated_plus_composition_oracle,,,40,,600,0.0,400,0.5,23,0.133333,0.011111,0.033333,0.177778,0.011111,0.233333,0.055556,0.022222,0.322222,0.377778,0.0,0.0,0.122222,90,2048,0.973611,0.961058,4,0.974007,0.15,0.96982,180
,0.5,4,0.934236,16,600,0.037585,600,4,,11,pairwise,0.971821,0.0,0.011111,static_learned_interaction,,,40,,600,0.0,400,0.5,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90,2048,0.975,0.891338,4,0.912281,0.505556,0.896291,180
0.966667,0.5,4,0.934236,16,600,0.026249,600,4,0.288889,11,pairwise,0.960485,0.0,0.322222,candidate_regret_gate,-0.002823,0.058379,40,0.156738,600,0.0,400,0.5,11,0.655556,0.122222,0.033333,0.811111,0.022222,0.055556,0.022222,0.0,0.1,0.011111,0.011111,0.033333,0.033333,90,2048,0.975,0.891338,4,0.912281,0.505556,0.896291,180
0.555556,0.488889,4,0.934236,16,600,0.02633,600,4,0.155556,11,pairwise,0.960566,0.0,0.2,uncertainty_regret_gate,-0.002823,0.058379,40,0.156738,600,0.0,400,0.5,11,0.422222,0.088889,0.044444,0.555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444444,0.0,90,2048,0.975,0.891338,4,0.912281,0.505556,0.896291,180
