model,total_n,k_ref,true_relation_confidence,missing_rate,false_positive_rate,delta_mse,delta_mae,mean_selected_k,max_selected_k,mean_updated_k,work_proxy,bytes_proxy,accuracy_per_kwork
serialized-token,128,8,0.95,0.0,0.0,0.003078,0.03619,8.0,8,8.0,135.0,5632.0,2406.233999
graph-transformer-proxy,128,8,0.95,0.0,0.0,0.003041,0.038089,8.0,8,8.0,18225.0,65536.0,18.041885
wpu-hybrid,128,8,0.95,0.0,0.25,0.002568,0.036738,8.0,8,8.0,8.0,288.0,48672.399334
wpu-hybrid-context,128,8,0.95,0.0,0.25,0.002664,0.034419,8.0,8,8.0,9.0,416.0,41713.699046
wpu-region-guard,128,8,0.95,0.0,0.25,0.002227,0.033746,8.0,8,8.0,8.0,288.0,56139.569482
dense-graph,128,8,0.95,0.0,0.25,0.003279,0.037751,8.0,8,8.0,137.0,4608.0,2226.370663
serialized-token,128,8,0.95,0.0,0.25,0.003192,0.035682,8.0,8,8.0,137.0,5632.0,2286.785088
graph-transformer-proxy,128,8,0.95,0.0,0.25,0.003279,0.037751,8.0,8,8.0,18769.0,65536.0,16.250881
wpu-hybrid,128,8,0.95,0.5,0.0,0.137434,0.262792,8.0,8,4.234375,4.234375,152.4375,1718.364746
wpu-hybrid-context,128,8,0.95,0.5,0.0,0.137666,0.262649,8.0,8,4.234375,5.234375,220.1875,1387.740015
wpu-region-guard,128,8,0.95,0.5,0.0,0.002186,0.0339,8.0,8,8.0,8.0,288.0,57175.350178
dense-graph,128,8,0.95,0.5,0.0,0.003282,0.039541,8.0,8,8.0,131.234375,4608.0,2321.918285
serialized-token,128,8,0.95,0.5,0.0,0.003101,0.03577,8.0,8,8.0,131.234375,5632.0,2457.346247
graph-transformer-proxy,128,8,0.95,0.5,0.0,0.003282,0.039541,8.0,8,8.0,17223.984375,65536.0,17.691348
wpu-hybrid,128,8,0.95,0.5,0.25,0.002165,0.035465,8.0,8,8.0,8.0,288.0,57735.832576
wpu-hybrid-context,128,8,0.95,0.5,0.25,0.002043,0.031133,8.0,8,8.0,9.0,416.0,54389.594761
wpu-region-guard,128,8,0.95,0.5,0.25,0.001838,0.031907,8.0,8,8.0,8.0,288.0,68008.205261
dense-graph,128,8,0.95,0.5,0.25,0.002693,0.036925,8.0,8,8.0,133.3125,4608.0,2785.45677
serialized-token,128,8,0.95,0.5,0.25,0.002503,0.032234,8.0,8,8.0,133.3125,5632.0,2996.764834
graph-transformer-proxy,128,8,0.95,0.5,0.25,0.002693,0.036925,8.0,8,8.0,17773.875,65536.0,20.892248
wpu-hybrid,128,8,0.2,0.0,0.0,0.00242,0.035581,8.0,8,8.0,8.0,288.0,51644.256673
wpu-hybrid-context,128,8,0.2,0.0,0.0,0.002424,0.033703,8.0,8,8.0,9.0,416.0,45838.788668
wpu-region-guard,128,8,0.2,0.0,0.0,0.00217,0.034226,8.0,8,8.0,8.0,288.0,57596.313119
