model,total_n,k_ref,true_relation_confidence,missing_rate,false_positive_rate,delta_mse,delta_mae,mean_selected_k,max_selected_k,mean_updated_k,work_proxy,bytes_proxy,accuracy_per_kwork
dense-graph,512,8,0.2,0.0,0.25,0.003249,0.040367,8.0,8,8.0,521.0,18432.0,590.75999
serialized-token,512,8,0.2,0.0,0.25,0.002919,0.038436,8.0,8,8.0,521.0,22528.0,657.598797
graph-transformer-proxy,512,8,0.2,0.0,0.25,0.003249,0.040367,8.0,8,8.0,271441.0,1048576.0,1.133896
wpu-hybrid,512,8,0.2,0.5,0.0,0.002582,0.03714,8.0,8,8.0,8.0,288.0,48405.614661
wpu-hybrid-context,512,8,0.2,0.5,0.0,0.002468,0.03389,8.0,8,8.0,9.0,416.0,45018.061601
wpu-region-guard,512,8,0.2,0.5,0.0,0.002251,0.034488,8.0,8,8.0,8.0,288.0,55528.803117
dense-graph,512,8,0.2,0.5,0.0,0.003262,0.039559,8.0,8,8.0,515.5625,18432.0,594.646032
serialized-token,512,8,0.2,0.5,0.0,0.002861,0.035535,8.0,8,8.0,515.5625,22528.0,677.911225
graph-transformer-proxy,512,8,0.2,0.5,0.0,0.003262,0.039559,8.0,8,8.0,265806.6875,1048576.0,1.153384
wpu-hybrid,512,8,0.2,0.5,0.25,0.002451,0.037,8.0,8,8.0,8.0,288.0,50999.760515
wpu-hybrid-context,512,8,0.2,0.5,0.25,0.00236,0.03442,8.0,8,8.0,9.0,416.0,47075.58263
wpu-region-guard,512,8,0.2,0.5,0.25,0.002191,0.035373,8.0,8,8.0,8.0,288.0,57053.006239
dense-graph,512,8,0.2,0.5,0.25,0.003067,0.039567,8.0,8,8.0,517.3125,18432.0,630.354204
serialized-token,512,8,0.2,0.5,0.25,0.00268,0.035862,8.0,8,8.0,517.3125,22528.0,721.380536
graph-transformer-proxy,512,8,0.2,0.5,0.25,0.003067,0.039567,8.0,8,8.0,267613.84375,1048576.0,1.21851
wpu-hybrid,512,16,0.95,0.0,0.0,0.002247,0.037526,16.0,16,16.0,16.0,576.0,27816.049875
wpu-hybrid-context,512,16,0.95,0.0,0.0,0.002249,0.036415,16.0,16,16.0,17.0,832.0,26154.007023
wpu-region-guard,512,16,0.95,0.0,0.0,0.002015,0.035919,16.0,16,16.0,16.0,576.0,31012.886464
dense-graph,512,16,0.95,0.0,0.0,0.002349,0.036866,16.0,16,16.0,527.0,18432.0,807.958294
serialized-token,512,16,0.95,0.0,0.0,0.002078,0.033222,16.0,16,16.0,527.0,22528.0,912.977431
graph-transformer-proxy,512,16,0.95,0.0,0.0,0.002349,0.036866,16.0,16,16.0,277729.0,1048576.0,1.533128
wpu-hybrid,512,16,0.95,0.0,0.25,0.002595,0.040481,16.0,16,16.0,16.0,576.0,24087.310076
wpu-hybrid-context,512,16,0.95,0.0,0.25,0.002752,0.041049,16.0,16,16.0,17.0,832.0,21376.793685
wpu-region-guard,512,16,0.95,0.0,0.25,0.002333,0.038587,16.0,16,16.0,16.0,576.0,26787.776617
dense-graph,512,16,0.95,0.0,0.25,0.002699,0.038886,16.0,16,16.0,531.0,18432.0,697.771984
serialized-token,512,16,0.95,0.0,0.25,0.002486,0.036404,16.0,16,16.0,531.0,22528.0,757.588141
graph-transformer-proxy,512,16,0.95,0.0,0.25,0.002699,0.038886,16.0,16,16.0,281961.0,1048576.0,1.314072
wpu-hybrid,512,16,0.95,0.5,0.0,0.118336,0.246239,16.0,16,8.328125,8.328125,299.8125,1014.697845
wpu-hybrid-context,512,16,0.95,0.5,0.0,0.118443,0.246244,16.0,16,8.328125,9.328125,433.0625,905.097866
wpu-region-guard,512,16,0.95,0.5,0.0,0.002149,0.037004,16.0,16,16.0,16.0,576.0,29085.885505
dense-graph,512,16,0.95,0.5,0.0,0.002743,0.040815,16.0,16,16.0,519.328125,18432.0,702.044754
serialized-token,512,16,0.95,0.5,0.0,0.001981,0.032094,16.0,16,16.0,519.328125,22528.0,971.786144
graph-transformer-proxy,512,16,0.95,0.5,0.0,0.002743,0.040815,16.0,16,16.0,269704.859375,1048576.0,1.351817
wpu-hybrid,512,16,0.95,0.5,0.25,0.002643,0.041213,16.0,16,16.0,16.0,576.0,23646.355534
wpu-hybrid-context,512,16,0.95,0.5,0.25,0.002544,0.039123,16.0,16,16.0,17.0,832.0,23126.063071
wpu-region-guard,512,16,0.95,0.5,0.25,0.002344,0.038473,16.0,16,16.0,16.0,576.0,26661.307974
dense-graph,512,16,0.95,0.5,0.25,0.003012,0.042243,16.0,16,16.0,522.984375,18432.0,634.765009
serialized-token,512,16,0.95,0.5,0.25,0.002224,0.033956,16.0,16,16.0,522.984375,22528.0,859.949583
graph-transformer-proxy,512,16,0.95,0.5,0.25,0.003012,0.042243,16.0,16,16.0,273516.828125,1048576.0,1.213718
wpu-hybrid,512,16,0.2,0.0,0.0,0.002053,0.0347,16.0,16,16.0,16.0,576.0,30449.544455
wpu-hybrid-context,512,16,0.2,0.0,0.0,0.001892,0.032345,16.0,16,16.0,17.0,832.0,31086.109415
wpu-region-guard,512,16,0.2,0.0,0.0,0.002065,0.03548,16.0,16,16.0,16.0,576.0,30270.965568
dense-graph,512,16,0.2,0.0,0.0,0.002493,0.037017,16.0,16,16.0,527.0,18432.0,761.075198
serialized-token,512,16,0.2,0.0,0.0,0.00183,0.030543,16.0,16,16.0,527.0,22528.0,1036.968091
graph-transformer-proxy,512,16,0.2,0.0,0.0,0.002493,0.037017,16.0,16,16.0,277729.0,1048576.0,1.444165
wpu-hybrid,512,16,0.2,0.0,0.25,0.002265,0.036609,16.0,16,16.0,16.0,576.0,27598.398348
wpu-hybrid-context,512,16,0.2,0.0,0.25,0.002029,0.03388,16.0,16,16.0,17.0,832.0,28993.052322
wpu-region-guard,512,16,0.2,0.0,0.25,0.002202,0.036813,16.0,16,16.0,16.0,576.0,28383.620979
dense-graph,512,16,0.2,0.0,0.25,0.002729,0.039128,16.0,16,16.0,531.0,18432.0,690.194908
serialized-token,512,16,0.2,0.0,0.25,0.00198,0.032162,16.0,16,16.0,531.0,22528.0,951.252561
graph-transformer-proxy,512,16,0.2,0.0,0.25,0.002729,0.039128,16.0,16,16.0,281961.0,1048576.0,1.299802
wpu-hybrid,512,16,0.2,0.5,0.0,0.002557,0.040019,16.0,16,16.0,16.0,576.0,24442.706122
wpu-hybrid-context,512,16,0.2,0.5,0.0,0.00222,0.036495,16.0,16,16.0,17.0,832.0,26493.66069
wpu-region-guard,512,16,0.2,0.5,0.0,0.002346,0.038457,16.0,16,16.0,16.0,576.0,26636.667716
dense-graph,512,16,0.2,0.5,0.0,0.003054,0.042704,16.0,16,16.0,519.453125,18432.0,630.313245
serialized-token,512,16,0.2,0.5,0.0,0.00211,0.033524,16.0,16,16.0,519.453125,22528.0,912.471335
graph-transformer-proxy,512,16,0.2,0.5,0.0,0.003054,0.042704,16.0,16,16.0,269834.796875,1048576.0,1.213402
wpu-hybrid,512,16,0.2,0.5,0.25,0.002381,0.038686,16.0,16,16.0,16.0,576.0,26253.541441
wpu-hybrid-context,512,16,0.2,0.5,0.25,0.002109,0.035374,16.0,16,16.0,17.0,832.0,27889.436777
wpu-region-guard,512,16,0.2,0.5,0.25,0.002211,0.037355,16.0,16,16.0,16.0,576.0,28262.085024
dense-graph,512,16,0.2,0.5,0.25,0.002872,0.041331,16.0,16,16.0,523.625,18432.0,665.059465
serialized-token,512,16,0.2,0.5,0.25,0.001948,0.032107,16.0,16,16.0,523.625,22528.0,980.600766
graph-transformer-proxy,512,16,0.2,0.5,0.25,0.002872,0.041331,16.0,16,16.0,274186.46875,1048576.0,1.270091
wpu-hybrid,2048,4,0.95,0.0,0.0,0.004281,0.054284,4.0,4,4.0,4.0,144.0,58400.874653
wpu-hybrid-context,2048,4,0.95,0.0,0.0,0.0048,0.052879,4.0,4,4.0,5.0,208.0,41666.618274
wpu-region-guard,2048,4,0.95,0.0,0.0,0.00373,0.049985,4.0,4,4.0,4.0,144.0,67018.634847
dense-graph,2048,4,0.95,0.0,0.0,0.00587,0.061368,4.0,4,4.0,2051.0,73728.0,83.059269
serialized-token,2048,4,0.95,0.0,0.0,0.004554,0.050655,4.0,4,4.0,2051.0,90112.0,107.05501
graph-transformer-proxy,2048,4,0.95,0.0,0.0,0.00587,0.061368,4.0,4,4.0,4206601.0,16777216.0,0.040497
wpu-hybrid,2048,4,0.95,0.0,0.25,0.004186,0.05206,4.0,4,4.0,4.0,144.0,59717.870499
wpu-hybrid-context,2048,4,0.95,0.0,0.25,0.004566,0.049333,4.0,4,4.0,5.0,208.0,43803.711493
wpu-region-guard,2048,4,0.95,0.0,0.25,0.003668,0.048212,4.0,4,4.0,4.0,144.0,68153.556854
dense-graph,2048,4,0.95,0.0,0.25,0.005782,0.058777,4.0,4,4.0,2052.0,73728.0,84.283342
serialized-token,2048,4,0.95,0.0,0.25,0.00457,0.048428,4.0,4,4.0,2052.0,90112.0,106.646867
graph-transformer-proxy,2048,4,0.95,0.0,0.25,0.005782,0.058777,4.0,4,4.0,4210704.0,16777216.0,0.041074
wpu-hybrid,2048,4,0.95,0.5,0.0,0.155678,0.274205,4.0,4,2.359375,2.359375,84.9375,2722.557221
wpu-hybrid-context,2048,4,0.95,0.5,0.0,0.156509,0.275688,4.0,4,2.359375,3.359375,122.6875,1901.96016
wpu-region-guard,2048,4,0.95,0.5,0.0,0.003461,0.046816,4.0,4,4.0,4.0,144.0,72243.517492
dense-graph,2048,4,0.95,0.5,0.0,0.005481,0.057373,4.0,4,4.0,2049.359375,73728.0,89.029373
serialized-token,2048,4,0.95,0.5,0.0,0.004384,0.047563,4.0,4,4.0,2049.359375,90112.0,111.295639
graph-transformer-proxy,2048,4,0.95,0.5,0.0,0.005481,0.057373,4.0,4,4.0,4199874.484375,16777216.0,0.043443
wpu-hybrid,2048,4,0.95,0.5,0.25,0.00433,0.054061,4.0,4,4.0,4.0,144.0,57734.283123
wpu-hybrid-context,2048,4,0.95,0.5,0.25,0.004501,0.050139,4.0,4,4.0,5.0,208.0,44430.810909
wpu-region-guard,2048,4,0.95,0.5,0.25,0.003674,0.048995,4.0,4,4.0,4.0,144.0,68049.366064
dense-graph,2048,4,0.95,0.5,0.25,0.00577,0.059972,4.0,4,4.0,2050.34375,73728.0,84.526772
serialized-token,2048,4,0.95,0.5,0.25,0.004584,0.049484,4.0,4,4.0,2050.34375,90112.0,106.394879
graph-transformer-proxy,2048,4,0.95,0.5,0.25,0.00577,0.059972,4.0,4,4.0,4203910.375,16777216.0,0.041226
wpu-hybrid,2048,4,0.2,0.0,0.0,0.003554,0.046456,4.0,4,4.0,4.0,144.0,70344.464706
wpu-hybrid-context,2048,4,0.2,0.0,0.0,0.003747,0.046563,4.0,4,4.0,5.0,208.0,53371.052772
wpu-region-guard,2048,4,0.2,0.0,0.0,0.00305,0.044008,4.0,4,4.0,4.0,144.0,81979.239214
dense-graph,2048,4,0.2,0.0,0.0,0.004687,0.051632,4.0,4,4.0,2051.0,73728.0,104.018565
serialized-token,2048,4,0.2,0.0,0.0,0.003717,0.045926,4.0,4,4.0,2051.0,90112.0,131.177623
graph-transformer-proxy,2048,4,0.2,0.0,0.0,0.004687,0.051632,4.0,4,4.0,4206601.0,16777216.0,0.050716
wpu-hybrid,2048,4,0.2,0.0,0.25,0.004223,0.04951,4.0,4,4.0,4.0,144.0,59197.596629
wpu-hybrid-context,2048,4,0.2,0.0,0.25,0.004514,0.050407,4.0,4,4.0,5.0,208.0,44303.353535
wpu-region-guard,2048,4,0.2,0.0,0.25,0.003613,0.046678,4.0,4,4.0,4.0,144.0,69190.166012
dense-graph,2048,4,0.2,0.0,0.25,0.005741,0.056035,4.0,4,4.0,2052.0,73728.0,84.883537
serialized-token,2048,4,0.2,0.0,0.25,0.004709,0.05016,4.0,4,4.0,2052.0,90112.0,103.481875
graph-transformer-proxy,2048,4,0.2,0.0,0.25,0.005741,0.056035,4.0,4,4.0,4210704.0,16777216.0,0.041366
wpu-hybrid,2048,4,0.2,0.5,0.0,0.036618,0.10143,4.0,4,3.578125,3.578125,128.8125,7632.284322
wpu-hybrid-context,2048,4,0.2,0.5,0.0,0.036791,0.100943,4.0,4,3.578125,4.578125,186.0625,5937.068901
wpu-region-guard,2048,4,0.2,0.5,0.0,0.003538,0.045894,4.0,4,4.0,4.0,144.0,70661.434932
dense-graph,2048,4,0.2,0.5,0.0,0.005648,0.055677,4.0,4,4.0,2049.46875,73728.0,86.39562
serialized-token,2048,4,0.2,0.5,0.0,0.004722,0.048697,4.0,4,4.0,2049.46875,90112.0,103.324437
graph-transformer-proxy,2048,4,0.2,0.5,0.0,0.005648,0.055677,4.0,4,4.0,4200322.90625,16777216.0,0.042155
wpu-hybrid,2048,4,0.2,0.5,0.25,0.003733,0.048444,4.0,4,4.0,4.0,144.0,66979.151648
wpu-hybrid-context,2048,4,0.2,0.5,0.25,0.003848,0.046068,4.0,4,4.0,5.0,208.0,51971.376892
wpu-region-guard,2048,4,0.2,0.5,0.25,0.003175,0.044643,4.0,4,4.0,4.0,144.0,78742.38321
dense-graph,2048,4,0.2,0.5,0.25,0.004921,0.053099,4.0,4,4.0,2050.421875,73728.0,99.105065
serialized-token,2048,4,0.2,0.5,0.25,0.004022,0.046658,4.0,4,4.0,2050.421875,90112.0,121.269839
graph-transformer-proxy,2048,4,0.2,0.5,0.25,0.004921,0.053099,4.0,4,4.0,4204230.578125,16777216.0,0.048334
wpu-hybrid,2048,8,0.95,0.0,0.0,0.002208,0.035259,8.0,8,8.0,8.0,288.0,56615.483788
wpu-hybrid-context,2048,8,0.95,0.0,0.0,0.00231,0.033534,8.0,8,8.0,9.0,416.0,48110.40505
wpu-region-guard,2048,8,0.95,0.0,0.0,0.001939,0.032828,8.0,8,8.0,8.0,288.0,64480.81661
dense-graph,2048,8,0.95,0.0,0.0,0.002771,0.036426,8.0,8,8.0,2055.0,73728.0,175.613151
serialized-token,2048,8,0.95,0.0,0.0,0.002298,0.032189,8.0,8,8.0,2055.0,90112.0,211.745183
graph-transformer-proxy,2048,8,0.95,0.0,0.0,0.002771,0.036426,8.0,8,8.0,4223025.0,16777216.0,0.085457
wpu-hybrid,2048,8,0.95,0.0,0.25,0.002103,0.033816,8.0,8,8.0,8.0,288.0,59450.352686
wpu-hybrid-context,2048,8,0.95,0.0,0.25,0.002096,0.031012,8.0,8,8.0,9.0,416.0,53003.653139
wpu-region-guard,2048,8,0.95,0.0,0.25,0.001808,0.030704,8.0,8,8.0,8.0,288.0,69124.681736
dense-graph,2048,8,0.95,0.0,0.25,0.002683,0.034779,8.0,8,8.0,2057.0,73728.0,181.221878
serialized-token,2048,8,0.95,0.0,0.25,0.002267,0.030622,8.0,8,8.0,2057.0,90112.0,214.431251
graph-transformer-proxy,2048,8,0.95,0.0,0.25,0.002683,0.034779,8.0,8,8.0,4231249.0,16777216.0,0.0881
wpu-hybrid,2048,8,0.95,0.5,0.0,0.133835,0.252966,8.0,8,4.46875,4.46875,160.875,1672.031408
wpu-hybrid-context,2048,8,0.95,0.5,0.0,0.134043,0.252648,8.0,8,4.46875,5.46875,232.375,1364.165933
wpu-region-guard,2048,8,0.95,0.5,0.0,0.002204,0.034478,8.0,8,8.0,8.0,288.0,56723.755499
dense-graph,2048,8,0.95,0.5,0.0,0.003263,0.039823,8.0,8,8.0,2051.46875,73728.0,149.393378
serialized-token,2048,8,0.95,0.5,0.0,0.002595,0.033042,8.0,8,8.0,2051.46875,90112.0,187.810567
graph-transformer-proxy,2048,8,0.95,0.5,0.0,0.003263,0.039823,8.0,8,8.0,4208525.8125,16777216.0,0.072823
wpu-hybrid,2048,8,0.95,0.5,0.25,0.002255,0.036629,8.0,8,8.0,8.0,288.0,55437.973392
wpu-hybrid-context,2048,8,0.95,0.5,0.25,0.002187,0.033746,8.0,8,8.0,9.0,416.0,50797.411937
wpu-region-guard,2048,8,0.95,0.5,0.25,0.001942,0.033903,8.0,8,8.0,8.0,288.0,64378.736685
dense-graph,2048,8,0.95,0.5,0.25,0.002717,0.038024,8.0,8,8.0,2053.609375,73728.0,179.221898
serialized-token,2048,8,0.95,0.5,0.25,0.002132,0.032067,8.0,8,8.0,2053.609375,90112.0,228.385535
graph-transformer-proxy,2048,8,0.95,0.5,0.25,0.002717,0.038024,8.0,8,8.0,4217313.640625,16777216.0,0.087272
wpu-hybrid,2048,8,0.2,0.0,0.0,0.00247,0.036356,8.0,8,8.0,8.0,288.0,50598.041156
wpu-hybrid-context,2048,8,0.2,0.0,0.0,0.00241,0.034192,8.0,8,8.0,9.0,416.0,46098.035042
wpu-region-guard,2048,8,0.2,0.0,0.0,0.002257,0.035262,8.0,8,8.0,8.0,288.0,55378.738589
dense-graph,2048,8,0.2,0.0,0.0,0.003165,0.039148,8.0,8,8.0,2055.0,73728.0,153.737824
serialized-token,2048,8,0.2,0.0,0.0,0.002461,0.033012,8.0,8,8.0,2055.0,90112.0,197.732859
graph-transformer-proxy,2048,8,0.2,0.0,0.0,0.003165,0.039148,8.0,8,8.0,4223025.0,16777216.0,0.074812
wpu-hybrid,2048,8,0.2,0.0,0.25,0.002297,0.035304,8.0,8,8.0,8.0,288.0,54407.118478
wpu-hybrid-context,2048,8,0.2,0.0,0.25,0.00222,0.033334,8.0,8,8.0,9.0,416.0,50050.518421
wpu-region-guard,2048,8,0.2,0.0,0.25,0.002114,0.034608,8.0,8,8.0,8.0,288.0,59125.895915
dense-graph,2048,8,0.2,0.0,0.25,0.002918,0.037888,8.0,8,8.0,2057.0,73728.0,166.614803
serialized-token,2048,8,0.2,0.0,0.25,0.002233,0.031843,8.0,8,8.0,2057.0,90112.0,217.754677
graph-transformer-proxy,2048,8,0.2,0.0,0.25,0.002918,0.037888,8.0,8,8.0,4231249.0,16777216.0,0.080999
wpu-hybrid,2048,8,0.2,0.5,0.0,0.002417,0.036526,8.0,8,8.0,8.0,288.0,51724.015976
wpu-hybrid-context,2048,8,0.2,0.5,0.0,0.00232,0.033462,8.0,8,8.0,9.0,416.0,47888.40358
wpu-region-guard,2048,8,0.2,0.5,0.0,0.002124,0.034389,8.0,8,8.0,8.0,288.0,58842.941244
dense-graph,2048,8,0.2,0.5,0.0,0.00307,0.03913,8.0,8,8.0,2051.578125,73728.0,158.792024
serialized-token,2048,8,0.2,0.5,0.0,0.002399,0.032492,8.0,8,8.0,2051.578125,90112.0,203.212932
graph-transformer-proxy,2048,8,0.2,0.5,0.0,0.00307,0.03913,8.0,8,8.0,4208974.359375,16777216.0,0.0774
wpu-hybrid,2048,8,0.2,0.5,0.25,0.002529,0.038558,8.0,8,8.0,8.0,288.0,49432.798484
wpu-hybrid-context,2048,8,0.2,0.5,0.25,0.002361,0.034126,8.0,8,8.0,9.0,416.0,47052.51792
wpu-region-guard,2048,8,0.2,0.5,0.25,0.002136,0.034464,8.0,8,8.0,8.0,288.0,58522.82232
dense-graph,2048,8,0.2,0.5,0.25,0.003191,0.041081,8.0,8,8.0,2053.625,73728.0,152.577266
serialized-token,2048,8,0.2,0.5,0.25,0.002437,0.032388,8.0,8,8.0,2053.625,90112.0,199.836061
graph-transformer-proxy,2048,8,0.2,0.5,0.25,0.003191,0.041081,8.0,8,8.0,4217377.09375,16777216.0,0.074297
wpu-hybrid,2048,16,0.95,0.0,0.0,0.002531,0.03991,16.0,16,16.0,16.0,576.0,24693.215346
wpu-hybrid-context,2048,16,0.95,0.0,0.0,0.002649,0.039596,16.0,16,16.0,17.0,832.0,22207.14031
wpu-region-guard,2048,16,0.95,0.0,0.0,0.002278,0.038167,16.0,16,16.0,16.0,576.0,27435.152865
dense-graph,2048,16,0.95,0.0,0.0,0.002637,0.03854,16.0,16,16.0,2063.0,73728.0,183.792242
serialized-token,2048,16,0.95,0.0,0.0,0.002527,0.0383,16.0,16,16.0,2063.0,90112.0,191.82069
graph-transformer-proxy,2048,16,0.95,0.0,0.0,0.002637,0.03854,16.0,16,16.0,4255969.0,16777216.0,0.08909
wpu-hybrid,2048,16,0.95,0.0,0.25,0.002324,0.038654,16.0,16,16.0,16.0,576.0,26897.37647
wpu-hybrid-context,2048,16,0.95,0.0,0.25,0.002437,0.038927,16.0,16,16.0,17.0,832.0,24138.805026
wpu-region-guard,2048,16,0.95,0.0,0.25,0.002111,0.037064,16.0,16,16.0,16.0,576.0,29611.046489
dense-graph,2048,16,0.95,0.0,0.25,0.002443,0.037787,16.0,16,16.0,2067.0,73728.0,198.031391
serialized-token,2048,16,0.95,0.0,0.25,0.002277,0.036452,16.0,16,16.0,2067.0,90112.0,212.504393
graph-transformer-proxy,2048,16,0.95,0.0,0.25,0.002443,0.037787,16.0,16,16.0,4272489.0,16777216.0,0.095806
wpu-hybrid,2048,16,0.95,0.5,0.0,0.121176,0.247568,16.0,16,8.359375,8.359375,300.9375,987.21091
wpu-hybrid-context,2048,16,0.95,0.5,0.0,0.12135,0.248224,16.0,16,8.359375,9.359375,434.6875,880.469116
wpu-region-guard,2048,16,0.95,0.5,0.0,0.00223,0.037843,16.0,16,16.0,16.0,576.0,28026.457642
dense-graph,2048,16,0.95,0.5,0.0,0.002811,0.041217,16.0,16,16.0,2055.359375,73728.0,173.083685
serialized-token,2048,16,0.95,0.5,0.0,0.002153,0.034714,16.0,16,16.0,2055.359375,90112.0,226.021151
graph-transformer-proxy,2048,16,0.95,0.5,0.0,0.002811,0.041217,16.0,16,16.0,4224505.953125,16777216.0,0.084211
wpu-hybrid,2048,16,0.95,0.5,0.25,0.002469,0.040113,16.0,16,16.0,16.0,576.0,25316.318971
wpu-hybrid-context,2048,16,0.95,0.5,0.25,0.002342,0.038146,16.0,16,16.0,17.0,832.0,25112.804706
wpu-region-guard,2048,16,0.95,0.5,0.25,0.002166,0.037585,16.0,16,16.0,16.0,576.0,28852.731128
dense-graph,2048,16,0.95,0.5,0.25,0.002775,0.041079,16.0,16,16.0,2059.921875,73728.0,174.962563
serialized-token,2048,16,0.95,0.5,0.25,0.002122,0.034721,16.0,16,16.0,2059.921875,90112.0,228.802896
graph-transformer-proxy,2048,16,0.95,0.5,0.25,0.002775,0.041079,16.0,16,16.0,4243281.703125,16777216.0,0.084936
wpu-hybrid,2048,16,0.2,0.0,0.0,0.002367,0.037553,16.0,16,16.0,16.0,576.0,26405.993641
wpu-hybrid-context,2048,16,0.2,0.0,0.0,0.002098,0.034619,16.0,16,16.0,17.0,832.0,28043.66871
wpu-region-guard,2048,16,0.2,0.0,0.0,0.002284,0.037553,16.0,16,16.0,16.0,576.0,27365.303445
dense-graph,2048,16,0.2,0.0,0.0,0.002849,0.04009,16.0,16,16.0,2063.0,73728.0,170.168455
serialized-token,2048,16,0.2,0.0,0.0,0.001999,0.032769,16.0,16,16.0,2063.0,90112.0,242.474069
graph-transformer-proxy,2048,16,0.2,0.0,0.0,0.002849,0.04009,16.0,16,16.0,4255969.0,16777216.0,0.082486
wpu-hybrid,2048,16,0.2,0.0,0.25,0.002463,0.038091,16.0,16,16.0,16.0,576.0,25377.326004
wpu-hybrid-context,2048,16,0.2,0.0,0.25,0.002229,0.035405,16.0,16,16.0,17.0,832.0,26385.621481
wpu-region-guard,2048,16,0.2,0.0,0.25,0.002415,0.038466,16.0,16,16.0,16.0,576.0,25878.42084
dense-graph,2048,16,0.2,0.0,0.25,0.00298,0.040727,16.0,16,16.0,2067.0,73728.0,162.359384
serialized-token,2048,16,0.2,0.0,0.25,0.002151,0.03386,16.0,16,16.0,2067.0,90112.0,224.94069
graph-transformer-proxy,2048,16,0.2,0.0,0.25,0.00298,0.040727,16.0,16,16.0,4272489.0,16777216.0,0.078548
wpu-hybrid,2048,16,0.2,0.5,0.0,0.002576,0.040817,16.0,16,16.0,16.0,576.0,24262.643032
wpu-hybrid-context,2048,16,0.2,0.5,0.0,0.002309,0.037247,16.0,16,16.0,17.0,832.0,25471.320378
wpu-region-guard,2048,16,0.2,0.5,0.0,0.002352,0.03865,16.0,16,16.0,16.0,576.0,26575.533354
dense-graph,2048,16,0.2,0.5,0.0,0.00313,0.043614,16.0,16,16.0,2055.140625,73728.0,155.451466
serialized-token,2048,16,0.2,0.5,0.0,0.002076,0.033652,16.0,16,16.0,2055.140625,90112.0,234.383057
graph-transformer-proxy,2048,16,0.2,0.5,0.0,0.00313,0.043614,16.0,16,16.0,4223607.484375,16777216.0,0.07564
wpu-hybrid,2048,16,0.2,0.5,0.25,0.002593,0.040516,16.0,16,16.0,16.0,576.0,24102.495921
wpu-hybrid-context,2048,16,0.2,0.5,0.25,0.002337,0.03716,16.0,16,16.0,17.0,832.0,25168.112923
wpu-region-guard,2048,16,0.2,0.5,0.25,0.002421,0.038984,16.0,16,16.0,16.0,576.0,25819.081631
dense-graph,2048,16,0.2,0.5,0.25,0.003159,0.043356,16.0,16,16.0,2059.140625,73728.0,153.74065
serialized-token,2048,16,0.2,0.5,0.25,0.002163,0.034281,16.0,16,16.0,2059.140625,90112.0,224.547421
graph-transformer-proxy,2048,16,0.2,0.5,0.25,0.003159,0.043356,16.0,16,16.0,4240063.046875,16777216.0,0.074662
wpu-hybrid,8192,4,0.95,0.0,0.0,0.004474,0.053298,4.0,4,4.0,4.0,144.0,55876.639889
wpu-hybrid-context,8192,4,0.95,0.0,0.0,0.004944,0.051679,4.0,4,4.0,5.0,208.0,40453.852596
wpu-region-guard,8192,4,0.95,0.0,0.0,0.003922,0.04935,4.0,4,4.0,4.0,144.0,63742.802881
dense-graph,8192,4,0.95,0.0,0.0,0.006234,0.060626,4.0,4,4.0,8195.0,294912.0,19.574965
serialized-token,8192,4,0.95,0.0,0.0,0.004913,0.05326,4.0,4,4.0,8195.0,360448.0,24.839703
graph-transformer-proxy,8192,4,0.95,0.0,0.0,0.006234,0.060626,4.0,4,4.0,67158025.0,268435456.0,0.002389
wpu-hybrid,8192,4,0.95,0.0,0.25,0.003846,0.050039,4.0,4,4.0,4.0,144.0,65010.830454
wpu-hybrid-context,8192,4,0.95,0.0,0.25,0.004177,0.046447,4.0,4,4.0,5.0,208.0,47880.833836
wpu-region-guard,8192,4,0.95,0.0,0.25,0.003366,0.046044,4.0,4,4.0,4.0,144.0,74262.048268
dense-graph,8192,4,0.95,0.0,0.25,0.005221,0.056384,4.0,4,4.0,8196.0,294912.0,23.369161
serialized-token,8192,4,0.95,0.0,0.25,0.0041,0.049286,4.0,4,4.0,8196.0,360448.0,29.7613
graph-transformer-proxy,8192,4,0.95,0.0,0.25,0.005221,0.056384,4.0,4,4.0,67174416.0,268435456.0,0.002851
wpu-hybrid,8192,4,0.95,0.5,0.0,0.145002,0.258991,4.0,4,2.484375,2.484375,89.4375,2775.929076
wpu-hybrid-context,8192,4,0.95,0.5,0.0,0.145732,0.260285,4.0,4,2.484375,3.484375,129.1875,1969.332754
wpu-region-guard,8192,4,0.95,0.5,0.0,0.003347,0.0465,4.0,4,4.0,4.0,144.0,74688.935785
dense-graph,8192,4,0.95,0.5,0.0,0.005222,0.05693,4.0,4,4.0,8193.484375,294912.0,23.370658
serialized-token,8192,4,0.95,0.5,0.0,0.004161,0.049895,4.0,4,4.0,8193.484375,360448.0,29.328861
graph-transformer-proxy,8192,4,0.95,0.5,0.0,0.005222,0.05693,4.0,4,4.0,67133186.890625,268435456.0,0.002852
wpu-hybrid,8192,4,0.95,0.5,0.25,0.004078,0.052597,4.0,4,4.0,4.0,144.0,61300.739146
wpu-hybrid-context,8192,4,0.95,0.5,0.25,0.004139,0.048478,4.0,4,4.0,5.0,208.0,48318.845513
wpu-region-guard,8192,4,0.95,0.5,0.25,0.003437,0.047006,4.0,4,4.0,4.0,144.0,72728.861109
dense-graph,8192,4,0.95,0.5,0.25,0.0054,0.057611,4.0,4,4.0,8194.34375,294912.0,22.600246
serialized-token,8192,4,0.95,0.5,0.25,0.004323,0.050437,4.0,4,4.0,8194.34375,360448.0,28.232452
