row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,wpu-cws-indexed-sparse,29,nominal,high_force,1.0,mechanism_prior,0.0,selected,nll_ece,1.117004,0.000000;0.000000;0.000000,32,37,36,0.472222,0.472222,0.648523,0.986319,0.587005,0.280555,4.3,1.0,0.0,1
seed,wpu-cws-indexed-sparse,29,nominal,edge_shift,1.0,mechanism_prior,0.5,selected,nll_ece,1.118414,-0.008978;0.520718;-0.511739,32,37,36,0.583333,0.472222,0.570537,0.887221,0.527804,0.054111,4.3,1.0,0.0,1
seed,wpu-cws-indexed-sparse,29,nominal,catch_heavy,1.0,mechanism_prior,1.0,selected,nll_ece,0.698372,-0.102550;-1.058061;1.160612,32,37,36,0.694444,0.694444,0.010738,0.767275,0.455018,0.080896,4.775,1.0,0.0,1
seed,wpu-cws-indexed-sparse,31,nominal,nominal,1.0,mechanism_prior,0.0,selected,nll_ece,1.14557,0.000000;0.000000;0.000000,32,37,36,0.416667,0.527778,0.045216,0.968732,0.591445,0.071508,4.35,1.0,0.0,1
seed,wpu-cws-indexed-sparse,31,nominal,high_force,1.0,mechanism_prior,0.0,selected,nll_ece,1.071604,0.000000;0.000000;0.000000,32,37,36,0.444444,0.444444,0.647945,0.988661,0.59332,0.182687,4.35,1.0,0.0,1
seed,wpu-cws-indexed-sparse,31,nominal,edge_shift,1.0,mechanism_prior,0.25,selected,nll_ece,1.217022,0.001264;0.260494;-0.261759,32,37,36,0.777778,0.5,0.533678,0.858988,0.498325,0.315255,4.35,1.0,0.0,1
seed,wpu-cws-indexed-sparse,31,nominal,catch_heavy,1.0,mechanism_prior,1.0,selected,nll_ece,0.707507,-0.079536;-1.057520;1.137056,32,37,36,0.694444,0.694444,0.01401,0.721554,0.442799,0.046073,4.825,1.0,0.0,1
seed,wpu-cws-indexed-local-dense,11,nominal,nominal,1.0,mechanism_prior,0.5,selected,nll_ece,0.981065,0.093539;0.126518;-0.220056,32,37,36,0.5,0.444444,0.311852,1.056512,0.646245,0.125652,4.375,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal,high_force,1.0,mechanism_prior,0.0,selected,nll_ece,1.103295,0.000000;0.000000;0.000000,32,37,36,0.472222,0.444444,0.656813,1.225881,0.733453,0.321546,4.375,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal,edge_shift,1.0,mechanism_prior,1.0,selected,nll_ece,1.063071,0.204288;1.170622;-1.374910,32,37,36,0.555556,0.527778,0.530514,1.08377,0.619039,0.271055,4.375,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal,catch_heavy,1.0,mechanism_prior,1.0,selected,nll_ece,0.86531,0.035095;-0.833256;0.798161,32,37,36,0.722222,0.805556,0.313938,0.754108,0.459396,0.182678,4.8,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,13,nominal,nominal,1.0,mechanism_prior,0.0,selected,nll_ece,1.209953,0.000000;0.000000;0.000000,32,37,36,0.333333,0.444444,0.225678,1.122326,0.702743,0.246846,4.35,1.0,1.0,1
