row_type,model,seed,train_mechanism,eval_mechanism,temperature,calibration_mode,mechanism_prior_strength,mechanism_prior_policy,mechanism_prior_selection_metric,mechanism_prior_selection_score,calibration_bias,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,wpu-cws-indexed-sparse,31,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.650982,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.333333,0.527778,0.187102,1.08427,0.65794,0.088843,4.825,1.0,0.0,1
seed,wpu-cws-indexed-local-dense,11,nominal+high_force+edge_shift+catch_heavy,no_catch,0.897142,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.472222,0.666667,0.345879,0.992228,0.59333,0.231356,4.025,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.897142,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.583333,0.583333,1.071843,1.026593,0.599019,0.069524,4.375,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,11,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.897142,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.333333,0.555556,0.321148,1.116568,0.683506,0.108684,4.8,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,13,nominal+high_force+edge_shift+catch_heavy,no_catch,1.108234,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.722222,0.666667,0.207333,0.961274,0.569996,0.288808,4.025,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,13,nominal+high_force+edge_shift+catch_heavy,edge_high_force,1.108234,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.583333,0.583333,1.035087,1.010979,0.596749,0.086372,4.35,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,13,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,1.108234,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.416667,0.583333,0.177141,1.091864,0.664526,0.080934,4.825,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,17,nominal+high_force+edge_shift+catch_heavy,no_catch,0.406732,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.777778,0.694444,0.217887,0.759093,0.434918,0.267264,4.025,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,17,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.406732,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.583333,0.555556,0.87555,0.941792,0.573331,0.137393,4.4,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,17,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.406732,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.472222,0.583333,0.184766,1.042582,0.631221,0.042138,4.8,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,19,nominal+high_force+edge_shift+catch_heavy,no_catch,0.416653,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.555556,0.694444,0.376829,0.98802,0.578526,0.174546,4.025,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,19,nominal+high_force+edge_shift+catch_heavy,edge_high_force,0.416653,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.555556,0.555556,0.946189,1.21142,0.676007,0.259389,4.4,1.0,1.0,1
seed,wpu-cws-indexed-local-dense,19,nominal+high_force+edge_shift+catch_heavy,edge_catch_heavy,0.416653,temperature,0.0,none,,,0.000000;0.000000;0.000000,32,37,36,0.388889,0.583333,0.343742,1.246381,0.758668,0.223092,4.825,1.0,1.0,1
