accuracy,budget,causal_k,delta_vs_static_validation_choice,excess_over_oracle,interaction_mode,loss,mode,oracle_accuracy,oracle_loss,oracle_mode_rate,policy,propagation_steps,retriever_steps,samples,seed,static_mode_from_validation,static_validation_accuracy,static_validation_loss,total_objects_n
0.522222,4,16,-0.026644,0.0,pairwise,0.905333,oracle,0.522222,0.905333,1.0,oracle_over_retrievers,40,400,90,17,learned,0.5,0.931978,2048
0.488889,4,16,0.008675,0.043594,pairwise,0.979695,indexed,0.588889,0.9361,0.444444,static_indexed,40,400,90,19,proximity,0.5,0.971019,2048
0.5,4,16,0.0,0.034919,pairwise,0.971019,proximity,0.588889,0.9361,0.388889,static_proximity,40,400,90,19,proximity,0.5,0.971019,2048
0.488889,4,16,0.001764,0.036683,pairwise,0.972783,interaction,0.588889,0.9361,0.144444,static_interaction,40,400,90,19,proximity,0.5,0.971019,2048
0.488889,4,16,0.001932,0.036851,pairwise,0.972951,learned,0.588889,0.9361,0.022222,static_learned,40,400,90,19,proximity,0.5,0.971019,2048
0.588889,4,16,-0.034919,0.0,pairwise,0.9361,oracle,0.588889,0.9361,1.0,oracle_over_retrievers,40,400,90,19,proximity,0.5,0.971019,2048
0.522222,4,16,0.0,0.082766,pairwise,0.969598,indexed,0.655556,0.886832,0.377778,static_indexed,40,400,90,23,indexed,0.522222,0.969598,2048
0.488889,4,16,0.045146,0.127912,pairwise,1.014745,proximity,0.655556,0.886832,0.388889,static_proximity,40,400,90,23,indexed,0.522222,0.969598,2048
0.511111,4,16,0.038993,0.121759,pairwise,1.008591,interaction,0.655556,0.886832,0.188889,static_interaction,40,400,90,23,indexed,0.522222,0.969598,2048
0.511111,4,16,0.038738,0.121504,pairwise,1.008336,learned,0.655556,0.886832,0.044444,static_learned,40,400,90,23,indexed,0.522222,0.969598,2048
0.655556,4,16,-0.082766,0.0,pairwise,0.886832,oracle,0.655556,0.886832,1.0,oracle_over_retrievers,40,400,90,23,indexed,0.522222,0.969598,2048
0.466667,4,32,0.000471,0.027789,pairwise,1.025025,indexed,0.511111,0.997236,0.377778,static_indexed,40,400,90,11,learned,0.466667,1.024553,2048
0.455556,4,32,0.012369,0.039687,pairwise,1.036922,proximity,0.511111,0.997236,0.311111,static_proximity,40,400,90,11,learned,0.466667,1.024553,2048
0.477778,4,32,-7.4e-05,0.027243,pairwise,1.024479,interaction,0.511111,0.997236,0.266667,static_interaction,40,400,90,11,learned,0.466667,1.024553,2048
0.466667,4,32,0.0,0.027318,pairwise,1.024553,learned,0.511111,0.997236,0.044444,static_learned,40,400,90,11,learned,0.466667,1.024553,2048
0.511111,4,32,-0.027318,0.0,pairwise,0.997236,oracle,0.511111,0.997236,1.0,oracle_over_retrievers,40,400,90,11,learned,0.466667,1.024553,2048
0.5,4,32,0.0,0.028076,pairwise,0.990135,indexed,0.555556,0.962059,0.455556,static_indexed,40,400,90,13,indexed,0.5,0.990135,2048
0.477778,4,32,-0.000662,0.027414,pairwise,0.989473,proximity,0.555556,0.962059,0.4,static_proximity,40,400,90,13,indexed,0.5,0.990135,2048
0.477778,4,32,-0.00096,0.027116,pairwise,0.989175,interaction,0.555556,0.962059,0.144444,static_interaction,40,400,90,13,indexed,0.5,0.990135,2048
0.466667,4,32,-0.000984,0.027092,pairwise,0.989151,learned,0.555556,0.962059,0.0,static_learned,40,400,90,13,indexed,0.5,0.990135,2048
0.555556,4,32,-0.028076,0.0,pairwise,0.962059,oracle,0.555556,0.962059,1.0,oracle_over_retrievers,40,400,90,13,indexed,0.5,0.990135,2048
0.544444,4,32,0.006737,0.0235,pairwise,1.013619,indexed,0.544444,0.990119,0.322222,static_indexed,40,400,90,17,proximity,0.455556,1.006883,2048
0.455556,4,32,0.0,0.016764,pairwise,1.006883,proximity,0.544444,0.990119,0.211111,static_proximity,40,400,90,17,proximity,0.455556,1.006883,2048
0.455556,4,32,-0.001104,0.015659,pairwise,1.005778,interaction,0.544444,0.990119,0.411111,static_interaction,40,400,90,17,proximity,0.455556,1.006883,2048
0.455556,4,32,-0.000872,0.015891,pairwise,1.00601,learned,0.544444,0.990119,0.055556,static_learned,40,400,90,17,proximity,0.455556,1.006883,2048
0.544444,4,32,-0.016764,0.0,pairwise,0.990119,oracle,0.544444,0.990119,1.0,oracle_over_retrievers,40,400,90,17,proximity,0.455556,1.006883,2048
0.488889,4,32,0.010266,0.045078,pairwise,1.013423,indexed,0.555556,0.968346,0.366667,static_indexed,40,400,90,19,proximity,0.477778,1.003158,2048
0.477778,4,32,0.0,0.034812,pairwise,1.003158,proximity,0.555556,0.968346,0.4,static_proximity,40,400,90,19,proximity,0.477778,1.003158,2048
0.5,4,32,6.4e-05,0.034876,pairwise,1.003221,interaction,0.555556,0.968346,0.2,static_interaction,40,400,90,19,proximity,0.477778,1.003158,2048
0.5,4,32,-0.000339,0.034473,pairwise,1.002818,learned,0.555556,0.968346,0.033333,static_learned,40,400,90,19,proximity,0.477778,1.003158,2048
0.555556,4,32,-0.034812,0.0,pairwise,0.968346,oracle,0.555556,0.968346,1.0,oracle_over_retrievers,40,400,90,19,proximity,0.477778,1.003158,2048
0.488889,4,32,0.011824,0.054917,pairwise,1.009765,indexed,0.711111,0.954848,0.4,static_indexed,40,400,90,23,learned,0.488889,0.997941,2048
0.533333,4,32,0.000982,0.044075,pairwise,0.998923,proximity,0.711111,0.954848,0.333333,static_proximity,40,400,90,23,learned,0.488889,0.997941,2048
0.488889,4,32,-9.5e-05,0.042998,pairwise,0.997846,interaction,0.711111,0.954848,0.211111,static_interaction,40,400,90,23,learned,0.488889,0.997941,2048
0.488889,4,32,0.0,0.043093,pairwise,0.997941,learned,0.711111,0.954848,0.055556,static_learned,40,400,90,23,learned,0.488889,0.997941,2048
0.711111,4,32,-0.043093,0.0,pairwise,0.954848,oracle,0.711111,0.954848,1.0,oracle_over_retrievers,40,400,90,23,learned,0.488889,0.997941,2048
