adversarial_distractors,background_objects,balanced_labels,branch_accuracy,causal_k,causal_recall_mean,checkpoint,cuda_peak_mb,hidden_dim,layers,majority_accuracy,model,ms_per_sample_forward,mse,params,seed,selected_k_mean,status,total_objects_n,train_loss
0,4088,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_graph4096/checkpoints/graph-transformer_N4096_K8_D0_seed13.pt,713.385254,512,2,0.333333,graph-transformer,9.959394,2.2e-05,7375894,13,8.0,ok,4096,1.111339
0,4088,True,0.666667,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n4096_extra/checkpoints/wpu-cws-oracle_N4096_K8_D0_seed17.pt,512.831543,512,2,0.333333,wpu-cws-oracle,2.034085,5e-06,6853655,17,8.0,ok,4096,1.224043
0,4088,True,0.693333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n4096_extra/checkpoints/wpu-cws-oracle_N4096_K8_D0_seed19.pt,513.831543,512,2,0.333333,wpu-cws-oracle,2.414873,3e-06,6853655,19,8.0,ok,4096,0.285269
0,4088,True,0.77,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n4096_extra/checkpoints/wpu-cws-oracle_N4096_K8_D0_seed23.pt,513.831543,512,2,0.333333,wpu-cws-oracle,2.064353,2e-06,6853655,23,8.0,ok,4096,0.613536
0,4088,True,0.773333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n4096_extra/checkpoints/wpu-cws-learned_N4096_K8_D0_seed17.pt,513.831543,512,2,0.333333,wpu-cws-learned,1.670203,2e-06,6853655,17,16.0,ok,4096,0.859034
0,4088,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n4096_extra/checkpoints/wpu-cws-learned_N4096_K8_D0_seed19.pt,513.831543,512,2,0.333333,wpu-cws-learned,1.63644,1e-06,6853655,19,16.0,ok,4096,1.102354
0,4088,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n4096_extra/checkpoints/wpu-cws-learned_N4096_K8_D0_seed23.pt,513.831543,512,2,0.333333,wpu-cws-learned,1.644555,2e-06,6853655,23,16.0,ok,4096,1.080346
0,4088,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n4096_extra/checkpoints/serialized-token_N4096_K8_D0_seed17.pt,763.138184,512,2,0.333333,serialized-token,7.711526,0.000203,6325778,17,8.0,ok,4096,1.162252
0,4088,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n4096_extra/checkpoints/serialized-token_N4096_K8_D0_seed19.pt,763.075684,512,2,0.333333,serialized-token,7.714317,0.00022,6325778,19,8.0,ok,4096,1.113366
0,4088,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n4096_graph_extra/checkpoints/graph-transformer_N4096_K8_D0_seed17.pt,710.510254,512,2,0.333333,graph-transformer,9.957336,0.0001,7375894,17,8.0,ok,4096,1.111526
0,4088,True,0.45,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n4096_graph_extra/checkpoints/graph-transformer_N4096_K8_D0_seed19.pt,713.385254,512,2,0.333333,graph-transformer,9.971081,0.000808,7375894,19,8.0,ok,4096,1.077646
0,4088,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n4096_graph_extra/checkpoints/graph-transformer_N4096_K8_D0_seed23.pt,713.385254,512,2,0.333333,graph-transformer,9.951298,4.5e-05,7375894,23,8.0,ok,4096,1.108321
0,4088,True,0.333333,8,1.0,artifacts/cws_balanced_branch_8m_gpu_event_conditioned_n4096_token_seed23/checkpoints/serialized-token_N4096_K8_D0_seed23.pt,761.263184,512,2,0.333333,serialized-token,7.753065,0.000232,6325778,23,8.0,ok,4096,1.149377
