mode,total_n,dual_omission,escape_rate,horizon,streams,mean_selected_k,max_selected_k,causal_recall,causal_precision,trajectory_mse,state_integrity,false_updates,escalation_rate,correction_cost,work_proxy,bytes_proxy
wpu-selective-region-guard,512,0.75,0.0,25,24,16.0,16.0,0.223958,0.111979,0.387946,0.722718,14.208333,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,512,0.75,0.0,25,24,24.0,24.0,0.958333,0.319444,0.071418,0.934221,16.333333,1.0,133.75,24.0,864.0
dense-state-copy,512,0.75,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,512.0,18432.0
wpu-selective-region-guard,512,0.75,0.25,25,24,16.0,16.0,0.208333,0.104167,0.393066,0.71868,14.333333,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,512,0.75,0.25,25,24,24.0,24.0,0.78125,0.260417,0.152678,0.871664,17.75,1.0,132.75,24.0,864.0
dense-state-copy,512,0.75,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,512.0,18432.0
wpu-selective-region-guard,2048,0.0,0.0,25,24,16.0,16.0,1.0,0.5,0.032096,0.968906,8.0,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,2048,0.0,0.0,25,24,16.0,16.0,1.0,0.5,0.03305,0.968011,8.0,0.0,0.0,16.0,576.0
dense-state-copy,2048,0.0,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-selective-region-guard,2048,0.0,0.25,25,24,16.0,16.0,1.0,0.5,0.032419,0.968607,8.0,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,2048,0.0,0.25,25,24,16.0,16.0,1.0,0.5,0.031961,0.969033,8.0,0.0,0.0,16.0,576.0
dense-state-copy,2048,0.0,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-selective-region-guard,2048,0.25,0.0,25,24,16.0,16.0,0.739583,0.369792,0.151667,0.87028,10.083333,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,2048,0.25,0.0,25,24,23.0,24.0,0.895833,0.319444,0.099262,0.912437,15.833333,0.875,113.708333,23.0,828.0
dense-state-copy,2048,0.25,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-selective-region-guard,2048,0.25,0.25,25,24,16.0,16.0,0.776042,0.388021,0.133902,0.884574,9.791667,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,2048,0.25,0.25,25,24,23.666667,24.0,0.75,0.256944,0.163365,0.862617,17.666667,0.958333,124.041667,23.666667,852.0
dense-state-copy,2048,0.25,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-selective-region-guard,2048,0.5,0.0,25,24,16.0,16.0,0.546875,0.273438,0.239252,0.810078,11.625,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,2048,0.5,0.0,25,24,24.0,24.0,0.880208,0.293403,0.106309,0.905853,16.958333,1.0,132.125,24.0,864.0
dense-state-copy,2048,0.5,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-selective-region-guard,2048,0.5,0.25,25,24,16.0,16.0,0.473958,0.236979,0.272881,0.787737,12.208333,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,2048,0.5,0.25,25,24,24.0,24.0,0.744792,0.248264,0.168034,0.858075,18.041667,1.0,130.916667,24.0,864.0
dense-state-copy,2048,0.5,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-selective-region-guard,2048,0.75,0.0,25,24,16.0,16.0,0.208333,0.104167,0.395512,0.719372,14.333333,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,2048,0.75,0.0,25,24,24.0,24.0,0.958333,0.319444,0.072663,0.932817,16.333333,1.0,133.875,24.0,864.0
dense-state-copy,2048,0.75,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-selective-region-guard,2048,0.75,0.25,25,24,16.0,16.0,0.286458,0.143229,0.358214,0.738495,13.708333,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,2048,0.75,0.25,25,24,24.0,24.0,0.734375,0.244792,0.173567,0.855346,18.125,1.0,132.625,24.0,864.0
dense-state-copy,2048,0.75,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-selective-region-guard,8192,0.0,0.0,25,24,16.0,16.0,1.0,0.5,0.032147,0.968862,8.0,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,8192,0.0,0.0,25,24,16.0,16.0,1.0,0.5,0.031951,0.969047,8.0,0.0,0.0,16.0,576.0
dense-state-copy,8192,0.0,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-selective-region-guard,8192,0.0,0.25,25,24,16.0,16.0,1.0,0.5,0.032905,0.96815,8.0,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,8192,0.0,0.25,25,24,16.0,16.0,1.0,0.5,0.032648,0.968389,8.0,0.0,0.0,16.0,576.0
dense-state-copy,8192,0.0,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-selective-region-guard,8192,0.25,0.0,25,24,16.0,16.0,0.817708,0.408854,0.116051,0.898576,9.458333,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,8192,0.25,0.0,25,24,23.666667,24.0,0.859375,0.293403,0.117635,0.897052,16.791667,0.958333,124.666667,23.666667,852.0
dense-state-copy,8192,0.25,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-selective-region-guard,8192,0.25,0.25,25,24,16.0,16.0,0.755208,0.377604,0.144405,0.878646,9.958333,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,8192,0.25,0.25,25,24,23.666667,24.0,0.78125,0.267361,0.14904,0.873251,17.416667,0.958333,124.041667,23.666667,852.0
dense-state-copy,8192,0.25,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-selective-region-guard,8192,0.5,0.0,25,24,16.0,16.0,0.4375,0.21875,0.293854,0.777159,12.5,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,8192,0.5,0.0,25,24,24.0,24.0,0.911458,0.303819,0.095659,0.914504,16.708333,1.0,132.333333,24.0,864.0
dense-state-copy,8192,0.5,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-selective-region-guard,8192,0.5,0.25,25,24,16.0,16.0,0.526042,0.263021,0.255623,0.800278,11.791667,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,8192,0.5,0.25,25,24,24.0,24.0,0.765625,0.255208,0.159261,0.865864,17.875,1.0,130.75,24.0,864.0
dense-state-copy,8192,0.5,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-selective-region-guard,8192,0.75,0.0,25,24,16.0,16.0,0.15625,0.078125,0.416213,0.708323,14.75,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,8192,0.75,0.0,25,24,24.0,24.0,0.932292,0.310764,0.084905,0.922703,16.541667,1.0,134.25,24.0,864.0
dense-state-copy,8192,0.75,0.0,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
wpu-selective-region-guard,8192,0.75,0.25,25,24,16.0,16.0,0.244792,0.122396,0.377478,0.727911,14.041667,0.0,0.0,16.0,576.0
wpu-escalating-neighbor-guard,8192,0.75,0.25,25,24,24.0,24.0,0.75,0.25,0.163802,0.862282,18.0,1.0,132.541667,24.0,864.0
dense-state-copy,8192,0.75,0.25,25,24,8.0,8.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,8192.0,294912.0
