adversarial_distractors,background_objects,balanced_labels,branch_accuracy,causal_k,causal_recall_mean,checkpoint,cuda_peak_mb,dense_compute_ratio,hidden_dim,index_depth,interaction_dense_threshold,interaction_mode,layers,local_dense_ratio,majority_accuracy,model,ms_per_sample_forward,mse,params,pre_tensor_indexed,route_compute_loss_weight,route_distill_loss_weight,seed,selected_k_mean,selector_confidence_mean,sparse_ratio,status,total_objects_n,train_loss
0,2040,True,0.4,8,1.0,,22.211426,0.0,128,1,0.15,pairwise,1,0.0,0.333333,wpu-cws-indexed-learned-selective-hybrid,1.864683,0.023468,257141,True,0.0,1.0,11,8.0,0.671009,1.0,ok,2048,1.153266
0,2040,True,0.455556,8,1.0,,22.211426,0.0,128,1,0.15,pairwise,1,0.0,0.333333,wpu-cws-indexed-learned-selective-hybrid,1.761427,0.017535,257141,True,0.0,1.0,13,8.0,0.030161,1.0,ok,2048,1.092077
0,2032,True,0.377778,16,1.0,,22.382812,0.322222,128,1,0.15,pairwise,1,0.050159,0.333333,wpu-cws-indexed-learned-selective-hybrid,4.47341,0.041814,257141,True,0.0,1.0,11,16.0,0.953389,0.949841,ok,2048,0.803178
0,2032,True,0.555556,16,1.0,,22.382812,0.0,128,1,0.15,pairwise,1,0.0,0.333333,wpu-cws-indexed-learned-selective-hybrid,3.843947,0.019632,257141,True,0.0,1.0,13,16.0,0.020269,1.0,ok,2048,0.917406
0,2016,True,0.366667,32,1.0,,22.731934,0.011111,128,1,0.15,pairwise,1,0.001669,0.333333,wpu-cws-indexed-learned-selective-hybrid,6.784367,0.05945,257141,True,0.0,1.0,11,32.0,0.912962,0.998331,ok,2048,0.932569
0,2016,True,0.444444,32,1.0,,22.731934,0.111111,128,1,0.15,pairwise,1,0.0173,0.333333,wpu-cws-indexed-learned-selective-hybrid,6.4226,0.010557,257141,True,0.0,1.0,13,32.0,0.028971,0.9827,ok,2048,1.108135
